bps,et
2693360,1714924512
2719520,1714924513
2767440,1714924514
2739120,1714924515
2727920,1714924516
2675760,1714924517
264456000,1714924518
2612960,1714924519
2638880,1714924520
2687040,1714924521
2669840,1714924522
2719120,1714924523
2648000,1714924524
2693760,1714924525
2739680,1714924526
2728000,1714924527
2718080,1714924528
2669760,1714924529
26952000,1714924530
2684720,1714924531
2788320,1714924532
2833840,1714924533
2821680,1714924534
2781120,1714924535
27320000,1714924536
2764640,1714924537
2757600,1714924538
2758080,1714924539
2677680,1714924540
2646480,1714924541
26464000,1714924542
2699600,1714924543
2694640,1714924544
2630800,1714924545
2618240,1714924546
2589600,1714924547
2653680,1714924548
2637440,1714924549
2629920,1714924550
2572880,1714924551
2572720,1714924552
2657120,1714924553
2657120,1714924554
2684400,1714924556
2693920,1714924558
2736320,1714924559
2810720,1714924561
2853760,1714924562
2820880,1714924563
2740080,1714924564
2746320,1714924565
27424000,1714924566
2696320,1714924567
2388000,1714924568
2067600,1714924569
1750480,1714924570
1443280,1714924571
1195760,1714924572
564400,1714924573
272240,1714924574
239120,1714924575
239840,1714924576
761520,1714924577
751200,1714924578
736000,1714924580
723680,1714924581
712480,1714924582
695440,1714924583
684640,1714924584
148480,1714924585
151120,1714924586
156640,1714924587
161680,1714924588
1640000,1714924589
166720,1714924590
174320,1714924591
182800,1714924592
1880000,1714924593
190880,1714924594
195840,1714924595
20256000,1714924596
210240,1714924597
2128000,1714924598
21848000,1714924599
220640,1714924600
227040,1714924601
231680,1714924602
238320,1714924603
239760,1714924604
247360,1714924605
254000,1714924606
25848000,1714924607
265280,1714924608
269280,1714924609
287760,1714924610
295840,1714924611
313840,1714924612
331280,1714924613
3552000,1714924614
379040,1714924615
407760,1714924616
446480,1714924617
478640,1714924618
504960,1714924619
504960,1714924620
538560,1714924621
558480,1714924622
576080,1714924623
608160,1714924624
651600,1714924625
704080,1714924626
748480,1714924627
811680,1714924628
880560,1714924629
970480,1714924630
1072720,1714924631
1187120,1714924632
1252240,1714924633
1300640,1714924634
1382800,1714924635
1466400,1714924636
1523680,1714924637
1605280,1714924638
1633600,1714924639
16360000,1714924641
1695600,1714924642
1731760,1714924643
1763440,1714924644
1487280,1714924645
1269040,1714924646
1094240,1714924647
91864000,1714924648
715360,1714924649
535600,1714924650
330400,1714924651
239920,1714924652
576400,1714924653
571840,1714924654
568000,1714924655
562720,1714924656
561680,1714924657
553280,1714924658
548240,1714924659
546000,1714924660
213120,1714924661
214560,1714924662
215360,1714924663
225680,1714924664
234800,1714924665
239840,1714924666
243280,1714924667
249040,1714924668
254720,1714924669
263840,1714924670
277360,1714924671
2840000,1714924672
294080,1714924673
307200,1714924674
307200,1714924675
322800,1714924676
337440,1714924677
345680,1714924678
366480,1714924679
388880,1714924680
412160,1714924681
440640,1714924682
484000,1714924683
515039,1714924684
559440,1714924685
608960,1714924686
643360,1714924687
696240,1714924688
750720,1714924689
804080,1714924690
872000,1714924691
872000,1714924692
948480,1714924693
1033520,1714924694
1103920,1714924695
1193280,1714924696
1275760,1714924697
1368240,1714924698
1455600,1714924699
1530000,1714924700
1530800,1714924701
1380880,1714924702
1240880,1714924703
1093760,1714924704
929360,1714924705
1549520,1714924706
563520,1714924707
367600,1714924708
240320,1714924709
451040,1714924710
441760,1714924711
433040,1714924712
425360,1714924713
420960,1714924714
413520,1714924715
407680,1714924716
403040,1714924717
403040,1714924718
192160,1714924719
197680,1714924720
2024000,1714924721
212960,1714924722
208720,1714924723
217360,1714924724
217200,1714924725
228560,1714924726
226800,1714924727
230160,1714924728
238000,1714924729
248320,1714924730
257839,1714924731
262960,1714924732
269360,1714924733
286720,1714924734
306560,1714924735
324960,1714924736
347920,1714924737
36296000,1714924738
388240,1714924739
416240,1714924740
459920,1714924741
484320,1714924742
524640,1714924743
567600,1714924744
616640,1714924745
666560,1714924746
711040,1714924747
763520,1714924748
796720,1714924749
873520,1714924750
91496000,1714924751
971920,1714924752
992880,1714924753
