et,brisque,piqe
1718614354,55.98811,39.82899
1718614355,55.80147,40.02373
1718614356,55.30996,39.4279
1718614357,57.24558,30.7764
1718614358,56.37917,31.81824
1718614359,55.95797,30.36089
1718614360,55.79797,29.82356
1718614361,55.92939,30.74628
1718614362,55.27685,30.26479
1718614363,55.07326,29.1197
1718614364,54.78193,28.62344
1718614365,54.80099,29.3782
1718614366,60.12203,40.83128
1718614367,57.15771,41.11463
1718614368,57.00012,41.56937
1718614369,56.49088,39.21817
1718614370,56.87917,39.37728
1718614371,57.23229,40.33021
1718614372,56.72536,40.69676
1718614373,55.875,40.31557
1718614374,60.24984,35.36036
1718614375,57.03898,30.95733
1718614376,57.02232,31.65916
1718614377,56.69845,32.17456
1718614378,55.47216,30.47351
1718614379,55.37201,31.79776
1718614380,55.16815,30.8539
1718614381,55.34277,28.72419
1718614382,54.81086,29.66636
1718614383,59.4209,42.60744
1718614384,57.46184,41.62249
1718614385,56.90629,40.61491
1718614386,57.09832,39.57209
1718614387,56.24579,39.89922
1718614388,56.85715,40.2554
1718614389,56.87792,40.22886
1718614390,56.59348,41.07565
1718614391,56.01983,39.49532
1718614392,55.78743,39.50912
1718614393,56.52976,30.04927
1718614394,55.87287,31.09965
1718614395,56.02175,31.5433
1718614396,54.88957,30.1413
1718614397,54.26429,30.99522
1718614398,54.52418,29.51428
1718614399,56.54395,40.75945
1718614400,55.41773,40.84989
1718614401,55.28447,40.06667
1718614402,55.43676,39.74982
1718614403,55.34882,38.87322
1718614404,55.52389,38.50397
1718614405,55.24677,39.30397
1718614406,55.04266,40.41083
1718614407,55.37252,39.78239
1718614408,57.79946,32.50167
1718614409,56.07326,31.92877
1718614410,56.001,31.7856
1718614411,55.2315,30.33441
1718614412,55.3747,30.47529
1718614413,54.93737,30.54479
1718614414,55.46752,29.20451
1718614415,54.99407,30.85525
1718614416,57.20376,41.49673
1718614417,57.78486,41.94125
1718614418,56.64096,41.05334
1718614419,57.44214,40.41136
1718614420,55.12573,37.83639
1718614421,55.6078,39.63145
1718614422,56.01242,39.70251
1718614423,56.08346,40.21499
1718614424,56.52914,38.84288
1718614425,56.08974,38.75088
1718614426,55.28803,40.04745
1718614427,55.08565,39.10255
1718614428,57.18829,31.37239
1718614429,56.95809,32.26529
1718614430,56.9035,31.23917
1718614431,56.3737,32.09739
1718614432,55.13524,31.11014
1718614433,55.26116,30.52842
1718614434,55.20633,28.25209
1718614435,57.35037,41.02216
1718614436,56.44892,39.09999
1718614437,56.13783,39.79275
1718614438,56.33545,40.83865
1718614439,56.13551,40.62661
1718614440,56.15623,39.91056
1718614441,56.69025,39.94036
1718614442,56.93241,40.71705
1718614443,56.40416,40.35715
1718614444,57.77166,32.14859
1718614445,56.54377,29.94375
1718614446,55.64179,30.22184
1718614447,56.19954,29.52523
1718614448,56.01951,29.67145
1718614449,56.10486,31.6146
1718614450,55.3634,29.07058
1718614451,54.89113,29.46261
1718614452,59.95217,41.76863
1718614453,57.73601,40.30126
1718614454,56.0528,40.10859
1718614455,56.24197,39.19678
1718614456,56.09513,40.95439
1718614457,55.90154,40.3064
1718614458,55.9675,39.89722
1718614459,56.23928,40.49759
1718614460,56.43339,40.79477
1718614461,55.57663,40.56664
1718614462,60.38304,33.78036
1718614463,57.72439,31.96066
1718614464,55.95308,31.06734
1718614465,55.60613,31.70724
1718614466,55.74098,31.887
1718614467,55.52979,30.07321
1718614468,55.95664,31.02418
1718614469,55.42057,30.50164
1718614470,55.35455,30.07623
1718614471,57.55734,40.80639
1718614472,57.04003,40.47302
1718614473,56.90159,40.99167
1718614474,56.40502,40.43547
1718614475,56.77826,40.00523
1718614476,56.65609,40.35169
1718614477,56.39044,40.77886
1718614478,56.47485,39.64744
1718614479,58.2489,32.47984
1718614480,56.76079,30.74764
1718614481,56.55079,30.01551
1718614482,55.60807,31.49412
1718614483,55.72163,28.69076
1718614484,55.22138,28.79902
1718614485,55.29232,30.70675
1718614486,60.51394,41.85907
1718614487,59.25116,42.01921
1718614488,57.73246,41.15587
1718614489,57.12146,39.67166
1718614490,56.75896,40.93442
1718614491,56.60253,39.69237
1718614492,55.76099,40.34562
1718614493,60.20192,32.36878
1718614494,56.92071,30.7518
1718614495,56.21421,29.80805
1718614496,55.85395,31.25325
1718614497,55.71005,30.52623
1718614498,55.39533,29.44796
1718614499,55.11244,28.85774
1718614500,58.64334,41.61264
1718614501,56.98729,39.62665
1718614502,56.15151,39.39137
1718614503,57.00196,41.28867
1718614504,56.11797,40.9243
1718614505,56.30131,38.87064
1718614506,55.23545,38.16631
1718614507,55.59327,40.8195
1718614508,60.57982,34.25653
1718614509,56.77919,29.92999
1718614510,56.02609,31.66019
1718614511,55.39149,29.42874
1718614512,54.86679,30.71113
1718614513,54.55026,30.40864
1718614514,54.65332,29.65191
1718614515,54.75476,28.21236
1718614516,54.74439,30.25483
1718614517,57.4391,40.45619
1718614518,56.36549,40.90694
1718614519,56.48901,39.80586
1718614520,56.30265,40.84003
1718614521,55.9631,39.86712
1718614522,56.35713,38.79129
1718614523,56.38854,40.411
1718614524,55.76071,40.09123
1718614525,57.1102,32.58947
1718614526,56.24914,30.85726
1718614527,55.78264,29.84212
1718614528,55.50106,30.62221
1718614529,55.27905,29.48431
1718614530,54.72809,29.58074
1718614531,54.39703,29.91904
1718614532,59.50998,42.9091
1718614533,57.33414,41.15079
1718614534,56.61866,40.24604
1718614535,56.24895,40.84268
1718614536,55.98315,40.98857
1718614537,56.2211,40.70709
1718614538,55.94984,40.06112
1718614539,55.48084,40.35887
1718614540,60.76689,34.13759
1718614541,57.71533,31.39878
1718614542,56.80798,30.64535
1718614543,55.94348,30.05248
1718614544,56.0182,29.46529
1718614545,55.28568,29.4303
1718614546,55.11567,28.30283
1718614547,54.97988,29.43581
1718614548,54.95458,30.22334
1718614549,57.52107,40.54402
1718614550,56.70024,41.31292
1718614551,56.30606,40.5504
1718614552,56.44893,40.96712
1718614553,56.06945,39.72595
1718614554,56.22518,40.03294
1718614555,55.79062,40.53906
1718614556,55.02349,40.19942
1718614557,57.62992,31.60601
1718614558,56.83249,31.66734
1718614559,56.33852,31.26576
1718614560,55.06307,30.77041
1718614561,54.79401,29.38324
1718614562,55.71241,30.00872
1718614563,55.1038,30.63531
1718614564,56.84357,39.46639
1718614565,55.93495,39.78124
1718614566,55.822,39.32513
1718614567,55.93603,40.11221
1718614568,55.66617,39.86354
1718614569,55.53799,38.9529
1718614570,54.90149,39.60777
1718614571,54.53991,39.23993
1718614572,57.18874,32.6683
1718614573,56.66836,31.76891
1718614574,59.67229,34.3215
1718614575,59.42548,33.15844
1718614576,56.05357,31.17443
1718614577,55.46021,30.09245
1718614578,55.12122,30.11255
1718614579,58.81727,41.33909
1718614580,56.03908,40.51695
1718614581,56.89234,41.45969
1718614582,57.12093,40.5364
1718614583,57.79094,40.80018
1718614584,56.73953,39.28459
1718614585,57.22363,38.71474
1718614586,56.92942,39.22805
1718614587,56.55056,39.5842
1718614588,56.70721,39.4641
1718614589,56.54062,30.33083
1718614590,55.79432,29.90481
1718614591,54.20861,28.63987
1718614592,54.41084,30.42262
1718614593,54.28938,29.97137
1718614594,53.40165,29.88266
1718614595,54.25057,29.67573
