fps,et
10,1716743010
22,1716743011
15,1716743012
20,1716743013
19,1716743014
21,1716743015
18,1716743016
23,1716743017
23,1716743018
16,1716743019
18,1716743020
19,1716743021
25,1716743022
20,1716743023
15,1716743024
21,1716743025
19,1716743026
22,1716743027
21,1716743028
19,1716743029
20,1716743030
21,1716743031
15,1716743032
18,1716743033
7,1716743034
22,1716743035
20,1716743036
18,1716743037
14,1716743038
15,1716743039
20,1716743040
19,1716743041
20,1716743042
20,1716743043
20,1716743044
20,1716743045
20,1716743046
19,1716743047
20,1716743048
19,1716743049
19,1716743050
20,1716743051
19,1716743052
19,1716743053
20,1716743054
19,1716743055
15,1716743056
5,1716743057
22,1716743058
21,1716743059
18,1716743060
18,1716743061
10,1716743062
17,1716743063
22,1716743064
15,1716743065
12,1716743066
22,1716743067
23,1716743068
13,1716743069
23,1716743070
19,1716743071
16,1716743072
20,1716743073
18,1716743074
20,1716743075
14,1716743076
17,1716743077
21,1716743078
20,1716743079
19,1716743080
20,1716743081
17,1716743082
20,1716743083
21,1716743084
19,1716743085
22,1716743086
19,1716743087
20,1716743088
20,1716743089
19,1716743090
19,1716743091
20,1716743092
20,1716743093
20,1716743094
19,1716743095
20,1716743096
19,1716743097
19,1716743098
19,1716743099
19,1716743100
18,1716743101
20,1716743102
20,1716743103
19,1716743104
19,1716743105
20,1716743106
20,1716743107
19,1716743108
19,1716743109
20,1716743110
20,1716743111
20,1716743112
20,1716743113
18,1716743114
20,1716743115
19,1716743116
20,1716743117
19,1716743118
19,1716743119
20,1716743120
20,1716743121
18,1716743122
20,1716743123
20,1716743124
19,1716743125
19,1716743126
20,1716743127
19,1716743128
19,1716743129
19,1716743130
19,1716743131
20,1716743132
18,1716743133
21,1716743134
20,1716743135
15,1716743136
21,1716743137
14,1716743138
18,1716743139
22,1716743140
22,1716743141
21,1716743142
19,1716743143
19,1716743144
20,1716743145
18,1716743146
20,1716743147
21,1716743148
19,1716743149
19,1716743150
19,1716743151
19,1716743152
21,1716743153
19,1716743154
20,1716743155
20,1716743156
20,1716743157
21,1716743158
19,1716743159
19,1716743160
20,1716743161
19,1716743162
19,1716743163
19,1716743164
19,1716743165
19,1716743166
20,1716743167
19,1716743168
19,1716743169
19,1716743170
19,1716743171
20,1716743172
20,1716743173
19,1716743174
18,1716743175
17,1716743176
21,1716743177
20,1716743178
20,1716743179
19,1716743180
20,1716743181
19,1716743182
20,1716743183
20,1716743184
19,1716743185
19,1716743186
19,1716743187
22,1716743188
18,1716743189
19,1716743190
19,1716743191
19,1716743192
5,1716743193
11,1716743194
22,1716743195
22,1716743196
19,1716743197
20,1716743198
19,1716743199
19,1716743200
20,1716743201
20,1716743202
20,1716743203
18,1716743204
19,1716743205
20,1716743206
15,1716743207
13,1716743208
12,1716743209
19,1716743210
22,1716743211
19,1716743212
10,1716743213
21,1716743214
22,1716743215
21,1716743216
20,1716743217
19,1716743218
19,1716743219
20,1716743220
17,1716743221
20,1716743222
20,1716743223
20,1716743224
20,1716743225
20,1716743226
19,1716743227
19,1716743228
20,1716743229
21,1716743230
19,1716743231
20,1716743232
20,1716743233
14,1716743234
19,1716743235
8,1716743236
22,1716743237
18,1716743238
17,1716743239
19,1716743240
20,1716743241
20,1716743242
19,1716743243
20,1716743244
20,1716743245
18,1716743246
19,1716743247
14,1716743248
8,1716743249
23,1716743250
19,1716743251
10,1716743252
