,precision,recall,f1
0,0.12742019884877026,0.19447779111644656,0.10692640692640694
1,0.46981074481074486,0.49150913436627724,0.4775168514894543
2,0.031055900621118012,0.017006802721088433,0.021978021978021976
3,0.055555555555555546,0.04047619047619048,0.04676870748299321
4,0.46860282574568285,0.4905416012558869,0.4684172969887256
5,0.4356215213358071,0.46726096203448125,0.4419815773199232
6,0.6447845804988662,0.5293040293040293,0.5569627962399046
7,0.08043345543345544,0.10187728937728938,0.06718281718281717
8,0.07142857142857142,0.16692830978545262,0.056151691445809095
9,0.036281179138321996,0.021825396825396828,0.025396825396825393
