fps,et
18,1716734228
21,1716734229
18,1716734230
21,1716734231
20,1716734232
19,1716734233
21,1716734234
18,1716734235
20,1716734236
20,1716734237
20,1716734238
19,1716734239
19,1716734240
20,1716734241
20,1716734242
19,1716734243
21,1716734244
20,1716734245
20,1716734246
21,1716734247
20,1716734248
18,1716734249
19,1716734250
19,1716734251
20,1716734252
20,1716734253
20,1716734254
19,1716734255
20,1716734256
20,1716734257
19,1716734258
19,1716734259
19,1716734260
18,1716734261
19,1716734262
20,1716734263
20,1716734264
19,1716734265
20,1716734266
20,1716734267
20,1716734268
20,1716734269
20,1716734270
19,1716734271
20,1716734272
20,1716734273
20,1716734274
19,1716734275
18,1716734276
21,1716734277
19,1716734278
18,1716734279
20,1716734280
18,1716734281
18,1716734282
20,1716734283
20,1716734284
19,1716734285
17,1716734286
22,1716734287
19,1716734288
20,1716734289
20,1716734290
20,1716734291
20,1716734292
19,1716734293
20,1716734294
20,1716734295
18,1716734296
0,1716734297
0,1716734298
0,1716734299
0,1716734300
0,1716734301
0,1716734302
6,1716734303
6,1716734304
8,1716734305
17,1716734306
20,1716734307
23,1716734308
23,1716734309
22,1716734310
20,1716734311
20,1716734312
20,1716734313
20,1716734314
19,1716734315
20,1716734316
19,1716734317
20,1716734318
19,1716734319
18,1716734320
19,1716734321
20,1716734322
19,1716734323
19,1716734324
18,1716734325
21,1716734326
19,1716734327
19,1716734328
19,1716734329
19,1716734330
21,1716734331
20,1716734332
19,1716734333
19,1716734334
19,1716734335
20,1716734336
20,1716734337
18,1716734338
19,1716734339
19,1716734340
19,1716734341
20,1716734342
20,1716734343
19,1716734344
20,1716734345
19,1716734346
19,1716734347
18,1716734348
20,1716734349
20,1716734350
18,1716734351
20,1716734352
21,1716734353
19,1716734354
19,1716734355
19,1716734356
20,1716734357
20,1716734358
20,1716734359
20,1716734360
18,1716734361
21,1716734362
19,1716734363
19,1716734364
21,1716734365
18,1716734366
20,1716734367
19,1716734368
20,1716734369
20,1716734370
18,1716734371
20,1716734372
20,1716734373
19,1716734374
19,1716734375
20,1716734376
18,1716734377
21,1716734378
19,1716734379
19,1716734380
20,1716734381
20,1716734382
19,1716734383
21,1716734384
17,1716734385
21,1716734386
18,1716734387
20,1716734388
20,1716734389
20,1716734390
20,1716734391
18,1716734392
19,1716734393
20,1716734394
20,1716734395
18,1716734396
22,1716734397
19,1716734398
20,1716734399
19,1716734400
20,1716734401
18,1716734402
20,1716734403
19,1716734404
20,1716734405
20,1716734406
20,1716734407
20,1716734408
19,1716734409
20,1716734410
19,1716734411
20,1716734412
19,1716734413
20,1716734414
21,1716734415
19,1716734416
20,1716734417
18,1716734418
20,1716734419
19,1716734420
20,1716734421
20,1716734422
21,1716734423
20,1716734424
18,1716734425
20,1716734426
19,1716734427
21,1716734428
20,1716734429
19,1716734430
20,1716734431
19,1716734432
20,1716734433
20,1716734434
20,1716734435
19,1716734436
20,1716734437
19,1716734438
20,1716734439
18,1716734440
19,1716734441
21,1716734442
20,1716734443
20,1716734444
18,1716734445
22,1716734446
19,1716734447
20,1716734448
20,1716734449
20,1716734450
19,1716734451
21,1716734452
19,1716734453
21,1716734454
19,1716734455
20,1716734456
19,1716734457
19,1716734458
20,1716734459
19,1716734460
20,1716734461
20,1716734462
20,1716734463
20,1716734464
18,1716734465
20,1716734466
19,1716734467
19,1716734468
20,1716734469
3,1716734470
