fps,et
2,1714921491
20,1714921492
20,1714921493
20,1714921494
20,1714921495
19,1714921496
19,1714921497
18,1714921498
20,1714921499
19,1714921500
19,1714921501
19,1714921502
19,1714921503
19,1714921504
19,1714921505
20,1714921506
19,1714921507
20,1714921508
20,1714921509
20,1714921510
19,1714921511
19,1714921512
19,1714921513
20,1714921514
21,1714921515
20,1714921516
19,1714921517
20,1714921518
20,1714921519
20,1714921520
20,1714921521
18,1714921522
21,1714921523
19,1714921524
19,1714921525
15,1714921526
19,1714921527
17,1714921528
19,1714921529
19,1714921530
3,1714921531
1,1714921532
1,1714921533
2,1714921534
1,1714921535
2,1714921536
1,1714921537
0,1714921538
1,1714921539
3,1714921540
3,1714921541
2,1714921542
1,1714921543
14,1714921544
10,1714921545
16,1714921546
18,1714921547
16,1714921548
16,1714921549
15,1714921550
15,1714921551
14,1714921552
15,1714921553
13,1714921554
17,1714921555
15,1714921556
15,1714921557
15,1714921558
13,1714921559
17,1714921560
15,1714921561
15,1714921562
16,1714921563
11,1714921564
15,1714921565
15,1714921566
16,1714921567
14,1714921568
13,1714921569
17,1714921570
13,1714921571
15,1714921572
15,1714921573
15,1714921574
14,1714921575
15,1714921576
17,1714921577
21,1714921578
18,1714921579
19,1714921580
20,1714921581
20,1714921582
18,1714921583
18,1714921584
20,1714921585
19,1714921586
20,1714921587
19,1714921588
17,1714921589
21,1714921590
19,1714921591
19,1714921592
13,1714921593
23,1714921594
19,1714921595
18,1714921596
20,1714921597
20,1714921598
19,1714921599
19,1714921600
20,1714921601
19,1714921602
19,1714921603
19,1714921604
19,1714921605
20,1714921606
20,1714921607
20,1714921608
18,1714921609
21,1714921610
19,1714921611
19,1714921612
20,1714921613
18,1714921614
20,1714921615
19,1714921616
18,1714921617
20,1714921618
19,1714921619
19,1714921620
18,1714921621
21,1714921622
20,1714921623
18,1714921624
19,1714921625
21,1714921626
20,1714921627
20,1714921628
19,1714921629
20,1714921630
20,1714921631
20,1714921632
14,1714921633
2,1714921634
2,1714921635
3,1714921636
1,1714921637
1,1714921638
3,1714921639
16,1714921640
16,1714921641
16,1714921642
17,1714921643
16,1714921644
16,1714921645
16,1714921646
14,1714921647
16,1714921648
13,1714921649
16,1714921650
15,1714921651
15,1714921652
15,1714921653
15,1714921654
14,1714921655
16,1714921656
14,1714921657
13,1714921658
14,1714921659
16,1714921660
15,1714921661
14,1714921662
15,1714921663
13,1714921664
14,1714921665
15,1714921666
16,1714921667
15,1714921668
15,1714921669
15,1714921670
19,1714921671
19,1714921672
18,1714921673
21,1714921674
20,1714921675
20,1714921676
19,1714921677
19,1714921678
18,1714921679
20,1714921680
20,1714921681
18,1714921682
20,1714921683
19,1714921684
19,1714921685
20,1714921686
20,1714921687
20,1714921688
20,1714921689
20,1714921690
19,1714921691
19,1714921692
20,1714921693
19,1714921694
18,1714921695
19,1714921696
21,1714921697
18,1714921698
19,1714921699
19,1714921700
20,1714921701
20,1714921702
20,1714921703
19,1714921704
19,1714921705
18,1714921706
21,1714921707
19,1714921708
20,1714921709
20,1714921710
20,1714921711
19,1714921712
20,1714921713
20,1714921714
19,1714921715
20,1714921716
19,1714921717
20,1714921718
20,1714921719
20,1714921720
19,1714921721
19,1714921722
20,1714921723
20,1714921724
20,1714921725
19,1714921726
20,1714921727
19,1714921728
20,1714921729
19,1714921730
19,1714921731
19,1714921732
16,1714921733
