et,brisque,piqe
1718630768,82.84279,47.50411
1718630769,85.91416,49.24686
1718630770,83.91177,50.26562
1718630771,81.79537,49.86154
1718630772,81.00665,50.24002
1718630773,83.91346,48.08569
1718630774,81.69235,49.82458
1718630775,81.67502,49.36538
1718630776,81.66017,49.95507
1718630777,85.80998,48.64012
1718630778,83.19991,50.93172
1718630779,82.20253,49.76073
1718630780,81.40926,49.20099
1718630781,81.04745,51.60265
1718630782,83.05599,49.48687
1718630783,82.0591,50.64326
1718630784,81.82383,47.531
1718630785,81.80618,49.43149
1718630786,84.50345,47.48099
1718630787,82.92663,50.1917
1718630788,81.82474,48.48545
1718630789,85.23624,49.40988
1718630790,82.53153,49.096
1718630791,81.35498,47.93005
1718630792,80.60891,50.1747
1718630793,80.00343,47.85901
1718630794,82.02831,47.64226
1718630795,81.27473,49.97311
1718630796,81.09177,48.76931
1718630797,82.17763,50.58
1718630798,83.70944,51.02382
1718630799,82.12036,49.78916
1718630800,81.29424,50.40396
1718630801,81.12937,49.32587
1718630802,81.72289,48.11504
1718630803,80.80331,49.87465
1718630804,81.63479,52.22486
1718630805,81.69308,47.60722
1718630806,86.21203,49.71437
1718630807,83.02253,48.65331
1718630808,82.00918,50.85094
1718630809,81.63629,50.1885
1718630810,84.83122,49.99185
1718630811,82.13352,48.05064
1718630812,81.15585,49.80008
1718630813,80.59692,47.81812
1718630814,82.10931,51.60098
1718630815,80.02936,50.52852
1718630816,79.42329,50.38955
1718630817,79.32403,48.81508
1718630818,79.14507,48.92215
1718630819,84.71196,49.23123
1718630820,83.16186,49.71758
1718630821,81.95065,48.46976
1718630822,81.73347,48.84547
1718630823,84.70367,50.64891
1718630824,82.62914,50.58189
1718630825,81.55077,50.34898
1718630826,84.94986,51.39847
1718630827,81.75422,48.63249
1718630828,80.44751,49.19326
1718630829,80.07732,51.22837
1718630830,82.89036,50.67162
1718630831,80.70961,50.54135
1718630832,80.21078,48.21486
1718630833,80.4866,47.9599
1718630834,80.54443,51.05184
1718630835,84.70486,51.694
1718630836,82.62879,47.53874
1718630837,82.99013,49.1383
1718630838,82.36096,49.46561
1718630839,83.04642,50.63425
1718630840,81.44803,49.56161
1718630841,80.46896,49.16046
1718630842,84.65334,50.60746
1718630843,80.81357,49.18194
1718630844,80.34893,48.33826
1718630845,79.84438,50.93242
1718630846,79.5119,49.54527
1718630847,85.44926,51.20483
1718630848,82.77419,48.85752
1718630849,82.35171,49.05545
1718630850,82.02743,49.13912
1718630851,84.43783,49.17145
1718630852,82.51804,49.72921
1718630853,81.30996,51.13255
1718630854,80.65889,48.98242
1718630855,81.66241,49.40535
1718630856,80.58453,50.7217
1718630857,81.26418,49.48801
1718630858,83.01849,50.4983
1718630859,86.09058,48.2099
1718630860,84.05929,50.33866
1718630861,83.67218,50.23897
1718630862,83.38982,49.77105
1718630863,83.76303,51.10471
1718630864,82.60088,50.88686
1718630865,81.90027,50.77235
1718630866,82.61356,48.53764
1718630867,83.96893,49.89097
1718630868,82.58312,50.3267
1718630869,81.67422,48.48903
1718630870,81.68096,50.99621
1718630871,86.28951,50.75763
1718630872,84.13887,49.03775
1718630873,83.04751,49.74121
1718630874,82.53373,47.93212
1718630875,84.67385,50.64345
1718630876,84.18831,48.11953
1718630877,82.32018,49.35598
1718630878,81.60777,49.9105
1718630879,80.79705,49.13816
1718630880,83.40549,49.52273
1718630881,81.75506,49.12417
