fps,et,screenshots_num
14,1718547953,36
16,1718547954,40
16,1718547955,42
15,1718547956,42
16,1718547957,44
14,1718547958,45
14,1718547959,39
16,1718547960,43
14,1718547961,42
14,1718547962,46
10,1718547963,47
15,1718547964,41
17,1718547965,42
16,1718547966,42
17,1718547967,42
16,1718547968,43
14,1718547969,42
16,1718547970,43
14,1718547971,45
14,1718547972,42
16,1718547973,43
14,1718547974,45
12,1718547975,47
13,1718547976,44
17,1718547977,41
16,1718547978,42
17,1718547979,42
15,1718547980,46
15,1718547981,43
15,1718547982,44
15,1718547983,43
14,1718547984,46
14,1718547985,44
10,1718547986,47
11,1718547987,46
17,1718547988,42
16,1718547989,41
17,1718547990,42
16,1718547991,34
16,1718547992,35
17,1718547993,42
16,1718547994,42
15,1718547995,44
15,1718547996,42
10,1718547997,49
10,1718547998,47
15,1718547999,45
14,1718548000,43
17,1718548001,44
16,1718548002,41
16,1718548003,41
17,1718548004,42
16,1718548005,40
17,1718548006,41
16,1718548007,41
17,1718548008,43
13,1718548009,46
10,1718548010,48
14,1718548011,45
17,1718548012,41
16,1718548013,41
17,1718548014,42
16,1718548015,42
16,1718548016,41
15,1718548017,44
15,1718548018,42
15,1718548019,44
15,1718548020,43
11,1718548021,43
9,1718548022,49
11,1718548023,46
16,1718548024,43
16,1718548025,43
17,1718548026,43
16,1718548027,41
16,1718548028,45
16,1718548029,44
17,1718548030,41
16,1718548031,41
16,1718548032,43
14,1718548033,44
10,1718548034,47
13,1718548035,45
14,1718548036,43
16,1718548037,41
17,1718548038,41
16,1718548039,41
17,1718548040,41
16,1718548041,44
17,1718548042,42
16,1718548043,44
11,1718548044,47
14,1718548045,43
16,1718548046,42
17,1718548047,40
16,1718548048,44
16,1718548049,41
15,1718548050,43
15,1718548051,43
15,1718548052,46
15,1718548053,43
15,1718548054,43
15,1718548055,42
9,1718548056,49
10,1718548057,47
16,1718548058,41
16,1718548059,37
16,1718548060,40
17,1718548061,40
16,1718548062,41
17,1718548063,41
16,1718548064,42
15,1718548065,45
15,1718548066,45
15,1718548067,43
9,1718548068,48
13,1718548069,45
17,1718548070,42
16,1718548071,42
17,1718548072,41
16,1718548073,42
16,1718548074,41
14,1718548075,45
16,1718548076,42
14,1718548077,45
16,1718548078,42
15,1718548079,43
10,1718548080,48
9,1718548081,45
16,1718548082,42
17,1718548083,42
16,1718548084,43
16,1718548085,43
16,1718548086,41
17,1718548087,43
16,1718548088,43
15,1718548089,42
14,1718548090,44
15,1718548091,42
14,1718548092,45
10,1718548093,47
12,1718548094,46
16,1718548095,42
17,1718548096,41
16,1718548097,43
17,1718548098,41
16,1718548099,41
16,1718548100,43
16,1718548101,44
14,1718548102,44
16,1718548103,42
12,1718548104,46
6,1718548105,52
11,1718548106,47
13,1718548107,44
16,1718548108,41
17,1718548109,42
16,1718548110,41
17,1718548111,42
16,1718548112,43
17,1718548113,41
16,1718548114,42
16,1718548115,42
17,1718548116,41
16,1718548117,42
16,1718548118,44
11,1718548119,47
12,1718548120,47
16,1718548121,41
17,1718548122,43
16,1718548123,42
16,1718548124,43
17,1718548125,42
16,1718548126,42
16,1718548127,44
14,1718548128,43
15,1718548129,43
14,1718548130,43
10,1718548131,49
11,1718548132,45
16,1718548133,42
17,1718548134,44
16,1718548135,42
17,1718548136,40
16,1718548137,42
17,1718548138,43
16,1718548139,43
15,1718548140,43
12,1718548141,44
10,1718548142,48
16,1718548143,42
17,1718548144,41
16,1718548145,41
16,1718548146,42
17,1718548147,41
15,1718548148,44
14,1718548149,43
15,1718548150,46
16,1718548151,42
15,1718548152,42
12,1718548153,46
8,1718548154,52
10,1718548155,48
16,1718548156,41
16,1718548157,41
17,1718548158,45
17,1718548159,42
16,1718548160,42
16,1718548161,42
16,1718548162,42
16,1718548163,42
15,1718548164,42
17,1718548165,43
15,1718548166,42
16,1718548167,44
10,1718548168,48
9,1718548169,50
15,1718548170,45
16,1718548171,42
16,1718548172,44
16,1718548173,43
17,1718548174,41
16,1718548175,42
17,1718548176,42
16,1718548177,43
16,1718548178,43
16,1718548179,43
14,1718548180,43
9,1718548181,50
10,1718548182,49
16,1718548183,41
17,1718548184,43
16,1718548185,43
16,1718548186,41
17,1718548187,41
16,1718548188,45
17,1718548189,42
15,1718548190,37
16,1718548191,41
14,1718548192,44
12,1718548193,43
10,1718548194,49
