bps,et
2002080,1717508656
1995520,1717508657
2002320,1717508658
2003600,1717508659
2000560,1717508660
2000400,1717508661
2000880,1717508662
2000480,1717508663
2004240,1717508664
1992000,1717508665
1996800,1717508666
1992000,1717508667
1969440,1717508668
1977360,1717508669
1991760,1717508670
2000160,1717508671
1996160,1717508672
1963360,1717508673
1749360,1717508674
1525840,1717508675
1336000,1717508676
1108960,1717508677
874160,1717508678
652160,1717508679
432400,1717508680
241920,1717508681
239760,1717508682
240880,1717508683
242560,1717508684
240560,1717508685
238480,1717508686
240080,1717508687
239280,1717508688
242480,1717508689
251280,1717508690
263360,1717508691
272880,1717508692
286320,1717508693
307440,1717508694
327120,1717508695
358080,1717508696
3824000,1717508697
409600,1717508698
434400,1717508699
462240,1717508700
502960,1717508701
538720,1717508702
581760,1717508703
581760,1717508704
619040,1717508705
665040,1717508706
718240,1717508707
774160,1717508708
774160,1717508709
829200,1717508710
878000,1717508711
962400,1717508712
1009600,1717508713
1054560,1717508714
1054560,1717508715
1090160,1717508716
1136640,1717508717
1174800,1717508718
1210720,1717508719
1249120,1717508720
1285680,1717508721
1306960,1717508722
1325680,1717508723
1346080,1717508724
1344400,1717508725
1357200,1717508726
1357680,1717508727
1358720,1717508728
1363200,1717508729
1362400,1717508730
1367920,1717508731
1355200,1717508732
1218800,1717508733
1076000,1717508734
940080,1717508735
800320,1717508736
658800,1717508737
523200,1717508738
379520,1717508739
265680,1717508740
253600,1717508741
248240,1717508742
244480,1717508743
241600,1717508744
233600,1717508745
232320,1717508746
230080,1717508747
206960,1717508748
222720,1717508749
234240,1717508750
247760,1717508751
260079,1717508752
282320,1717508753
301600,1717508754
330000,1717508755
353920,1717508756
374640,1717508757
407200,1717508758
438320,1717508759
477440,1717508760
513760,1717508761
548160,1717508762
585840,1717508763
630320,1717508764
686640,1717508765
731520,1717508766
783040,1717508767
783040,1717508768
855040,1717508769
876480,1717508770
924240,1717508771
962240,1717508772
1005600,1717508773
1046880,1717508774
1085360,1717508775
1119920,1717508776
1140240,1717508777
1199520,1717508778
1228160,1717508779
1264800,1717508780
1282960,1717508781
1297360,1717508782
1306240,1717508783
1316080,1717508784
1311120,1717508785
1313520,1717508786
1320000,1717508787
1323440,1717508788
1328640,1717508789
1329120,1717508790
1339680,1717508791
1342800,1717508792
1352320,1717508793
1356880,1717508794
1356720,1717508795
1354320,1717508796
1354320,1717508797
1363040,1717508798
1366400,1717508799
1363760,1717508800
1362720,1717508801
1365920,1717508802
1368320,1717508803
1377360,1717508804
1375920,1717508805
1371120,1717508806
1379360,1717508807
1380400,1717508808
1396400,1717508810
1399040,1717508811
1392560,1717508812
1400880,1717508813
1408480,1717508814
1404160,1717508815
1409920,1717508816
1416080,1717508817
1413600,1717508818
1422400,1717508819
1427440,1717508820
1428160,1717508821
1431120,1717508822
1438960,1717508823
1439280,1717508824
1437680,1717508825
1438000,1717508826
1436560,1717508827
1446240,1717508828
1450480,1717508829
1450800,1717508830
1449200,1717508831
1458160,1717508832
1456800,1717508833
1463680,1717508834
1462720,1717508835
1464560,1717508836
1472800,1717508837
1472800,1717508838
1481520,1717508839
1484640,1717508840
1484640,1717508841
1488160,1717508842
1490960,1717508843
1494640,1717508844
1498240,1717508845
1499280,1717508846
1493840,1717508847
1502640,1717508848
1501360,1717508849
1502080,1717508850
1498160,1717508851
1508640,1717508852
1510720,1717508853
1507200,1717508854
1513840,1717508855
1516080,1717508856
1520640,1717508857
1530160,1717508858
1536080,1717508859
1533440,1717508860
1542160,1717508861
1544480,1717508862
1547600,1717508863
1544320,1717508864
1552800,1717508865
1554000,1717508866
1562000,1717508867
1565440,1717508868
1561360,1717508869
1571680,1717508870
1571520,1717508871
1574160,1717508872
1581360,1717508873
1581360,1717508874
1580000,1717508876
1585360,1717508877
1585360,1717508878
1588560,1717508879
1588320,1717508880
1600640,1717508881
1599600,1717508882
1595520,1717508883
1602320,1717508884
1602480,1717508885
1605040,1717508886
1614960,1717508887
1616880,1717508888
1609200,1717508889
1625760,1717508890
1634240,1717508891
1638000,1717508892
1639280,1717508893
1641680,1717508894
1640000,1717508895
1648080,1717508896
1654160,1717508897
1656080,1717508898
