fps,et
13,1716734971
22,1716734972
18,1716734973
18,1716734974
22,1716734975
19,1716734976
20,1716734977
19,1716734978
20,1716734979
18,1716734980
21,1716734981
20,1716734982
20,1716734983
17,1716734984
21,1716734985
16,1716734986
20,1716734987
20,1716734988
17,1716734989
22,1716734990
20,1716734991
19,1716734992
18,1716734993
19,1716734994
19,1716734995
19,1716734996
19,1716734997
21,1716734998
20,1716734999
19,1716735000
18,1716735001
20,1716735002
21,1716735003
19,1716735004
20,1716735005
20,1716735006
17,1716735007
21,1716735008
18,1716735009
19,1716735010
19,1716735011
23,1716735012
18,1716735013
17,1716735014
21,1716735015
19,1716735016
20,1716735017
18,1716735018
21,1716735019
19,1716735020
18,1716735021
19,1716735022
22,1716735023
18,1716735024
18,1716735025
20,1716735026
20,1716735027
20,1716735028
19,1716735029
20,1716735030
19,1716735031
20,1716735032
18,1716735033
20,1716735034
19,1716735035
19,1716735036
19,1716735037
21,1716735038
18,1716735039
17,1716735040
21,1716735041
20,1716735042
18,1716735043
20,1716735044
19,1716735045
20,1716735046
20,1716735047
17,1716735048
21,1716735049
18,1716735050
21,1716735051
19,1716735052
21,1716735053
18,1716735054
20,1716735055
18,1716735056
20,1716735057
19,1716735058
21,1716735059
16,1716735060
21,1716735061
20,1716735062
19,1716735063
20,1716735064
18,1716735065
19,1716735066
20,1716735067
18,1716735068
20,1716735069
19,1716735070
21,1716735071
21,1716735072
18,1716735073
19,1716735074
20,1716735075
17,1716735076
21,1716735077
15,1716735078
20,1716735079
20,1716735080
16,1716735081
21,1716735082
14,1716735083
20,1716735084
19,1716735085
19,1716735086
20,1716735087
18,1716735088
20,1716735089
20,1716735090
20,1716735091
19,1716735092
17,1716735093
16,1716735094
19,1716735095
19,1716735096
18,1716735097
21,1716735098
19,1716735099
18,1716735100
19,1716735101
20,1716735102
20,1716735103
18,1716735104
20,1716735105
19,1716735106
21,1716735107
19,1716735108
19,1716735109
19,1716735110
17,1716735111
21,1716735112
21,1716735113
18,1716735114
20,1716735115
20,1716735116
18,1716735117
20,1716735118
19,1716735119
19,1716735120
21,1716735121
20,1716735122
17,1716735123
21,1716735124
19,1716735125
19,1716735126
20,1716735127
20,1716735128
20,1716735129
18,1716735130
22,1716735131
19,1716735132
19,1716735133
19,1716735134
19,1716735135
19,1716735136
21,1716735137
20,1716735138
16,1716735139
19,1716735140
19,1716735141
20,1716735142
18,1716735143
20,1716735144
20,1716735145
18,1716735146
20,1716735147
19,1716735148
19,1716735149
20,1716735150
20,1716735151
18,1716735152
21,1716735153
19,1716735154
19,1716735155
17,1716735156
19,1716735157
17,1716735158
20,1716735159
18,1716735160
20,1716735161
20,1716735162
20,1716735163
16,1716735164
18,1716735165
20,1716735166
20,1716735167
18,1716735168
21,1716735169
20,1716735170
17,1716735171
20,1716735172
19,1716735173
18,1716735174
20,1716735175
19,1716735176
19,1716735177
20,1716735178
18,1716735179
19,1716735180
19,1716735181
20,1716735182
19,1716735183
19,1716735184
21,1716735185
19,1716735186
19,1716735187
20,1716735188
19,1716735189
20,1716735190
20,1716735191
20,1716735192
19,1716735193
20,1716735194
19,1716735195
21,1716735196
19,1716735197
18,1716735198
20,1716735199
19,1716735200
19,1716735201
20,1716735202
17,1716735203
22,1716735204
20,1716735205
19,1716735206
6,1716735207
0,1716735208
0,1716735209
0,1716735210
15,1716735211
17,1716735212
9,1716735213
