fps,et
16,1714916885
19,1714916886
20,1714916887
20,1714916888
20,1714916889
19,1714916890
18,1714916891
20,1714916892
20,1714916893
19,1714916894
19,1714916895
20,1714916896
20,1714916897
18,1714916898
9,1714916899
19,1714916900
20,1714916901
20,1714916902
20,1714916903
20,1714916904
20,1714916905
5,1714916906
4,1714916907
0,1714916908
4,1714916909
0,1714916910
20,1714916911
17,1714916912
16,1714916913
17,1714916914
17,1714916915
17,1714916916
16,1714916917
16,1714916918
17,1714916919
16,1714916920
15,1714916921
16,1714916922
15,1714916923
15,1714916924
15,1714916925
15,1714916926
14,1714916927
15,1714916928
14,1714916929
15,1714916930
15,1714916931
12,1714916932
14,1714916933
16,1714916934
14,1714916935
16,1714916936
14,1714916937
17,1714916938
19,1714916939
21,1714916940
20,1714916941
20,1714916942
18,1714916943
19,1714916944
19,1714916945
19,1714916946
20,1714916947
19,1714916948
20,1714916949
18,1714916950
21,1714916951
20,1714916952
20,1714916953
19,1714916954
20,1714916955
18,1714916956
20,1714916957
20,1714916958
18,1714916959
20,1714916960
20,1714916961
20,1714916962
18,1714916963
20,1714916964
20,1714916965
20,1714916966
18,1714916967
19,1714916968
16,1714916969
22,1714916970
20,1714916971
19,1714916972
19,1714916973
19,1714916974
19,1714916975
19,1714916976
20,1714916977
19,1714916978
20,1714916979
20,1714916980
18,1714916981
20,1714916982
19,1714916983
19,1714916984
20,1714916985
19,1714916986
19,1714916987
19,1714916988
19,1714916989
18,1714916990
22,1714916991
19,1714916992
18,1714916993
19,1714916994
20,1714916995
19,1714916996
8,1714916997
5,1714916998
0,1714916999
5,1714917000
13,1714917001
11,1714917002
14,1714917003
17,1714917004
20,1714917005
17,1714917006
16,1714917007
15,1714917008
15,1714917009
14,1714917010
16,1714917011
14,1714917012
15,1714917013
15,1714917014
16,1714917015
14,1714917016
15,1714917017
15,1714917018
16,1714917019
12,1714917020
13,1714917021
13,1714917022
14,1714917023
14,1714917024
16,1714917025
16,1714917026
17,1714917027
14,1714917028
10,1714917029
16,1714917030
16,1714917031
16,1714917032
13,1714917033
15,1714917034
15,1714917035
15,1714917036
15,1714917037
15,1714917038
15,1714917039
13,1714917040
17,1714917041
15,1714917042
12,1714917043
15,1714917044
15,1714917045
15,1714917046
14,1714917047
15,1714917048
15,1714917049
15,1714917050
15,1714917051
15,1714917052
17,1714917053
21,1714917054
21,1714917055
20,1714917056
20,1714917057
18,1714917058
20,1714917059
19,1714917060
19,1714917061
19,1714917062
20,1714917063
20,1714917064
20,1714917065
20,1714917066
19,1714917067
20,1714917068
18,1714917069
21,1714917070
18,1714917071
21,1714917072
19,1714917073
19,1714917074
18,1714917075
20,1714917076
20,1714917077
20,1714917078
19,1714917079
19,1714917080
19,1714917081
20,1714917082
19,1714917083
20,1714917084
20,1714917085
18,1714917086
19,1714917087
19,1714917088
15,1714917089
22,1714917090
21,1714917091
19,1714917092
19,1714917093
19,1714917094
18,1714917095
20,1714917096
19,1714917097
19,1714917098
19,1714917099
19,1714917100
19,1714917101
19,1714917102
19,1714917103
20,1714917104
18,1714917105
19,1714917106
20,1714917107
18,1714917108
19,1714917109
19,1714917110
20,1714917111
20,1714917112
20,1714917113
19,1714917114
18,1714917115
19,1714917116
15,1714917117
18,1714917118
19,1714917119
21,1714917120
21,1714917121
19,1714917122
17,1714917123
19,1714917124
20,1714917125
20,1714917126
3,1714917127
