fps,et,screenshots_num
18,1718632572,37
19,1718632573,40
20,1718632574,40
20,1718632575,39
20,1718632576,40
20,1718632577,43
20,1718632578,44
20,1718632579,43
19,1718632580,46
19,1718632581,43
20,1718632582,44
20,1718632583,42
17,1718632584,45
19,1718632585,46
20,1718632586,42
19,1718632587,43
20,1718632588,44
18,1718632589,41
21,1718632590,40
18,1718632591,39
20,1718632592,42
20,1718632593,43
19,1718632594,44
20,1718632595,42
20,1718632596,43
20,1718632597,42
19,1718632598,44
20,1718632599,39
20,1718632600,40
19,1718632601,42
21,1718632602,45
19,1718632603,43
20,1718632604,40
19,1718632605,43
19,1718632606,43
20,1718632607,41
19,1718632608,45
19,1718632609,47
18,1718632610,46
18,1718632611,43
19,1718632612,46
18,1718632613,43
18,1718632614,43
8,1718632615,50
5,1718632616,53
10,1718632617,49
17,1718632618,45
3,1718632619,55
17,1718632620,45
0,1718632621,36
11,1718632622,46
2,1718632623,57
16,1718632624,46
0,1718632625,59
18,1718632626,45
22,1718632627,38
22,1718632628,44
19,1718632629,44
19,1718632630,41
15,1718632631,47
20,1718632632,46
18,1718632633,40
18,1718632634,45
19,1718632635,43
19,1718632636,42
13,1718632637,45
6,1718632638,53
0,1718632639,58
11,1718632640,48
25,1718632641,48
20,1718632642,42
18,1718632643,44
18,1718632644,42
2,1718632645,56
17,1718632646,44
11,1718632647,50
14,1718632648,44
18,1718632649,43
20,1718632650,42
22,1718632651,42
21,1718632652,39
20,1718632653,43
20,1718632654,43
20,1718632655,40
19,1718632656,42
18,1718632657,43
18,1718632658,42
19,1718632659,43
20,1718632660,42
8,1718632661,51
18,1718632662,44
12,1718632663,49
16,1718632664,48
23,1718632665,46
19,1718632666,44
20,1718632667,48
18,1718632668,44
18,1718632669,45
20,1718632670,45
19,1718632671,41
12,1718632672,48
10,1718632673,49
3,1718632674,57
28,1718632675,37
19,1718632676,45
18,1718632677,46
9,1718632678,52
16,1718632679,41
10,1718632680,50
0,1718632681,36
26,1718632682,34
21,1718632683,40
19,1718632684,44
7,1718632685,53
4,1718632686,55
15,1718632687,47
20,1718632688,45
22,1718632689,44
21,1718632690,42
19,1718632691,43
12,1718632692,48
20,1718632693,42
2,1718632694,55
27,1718632695,35
18,1718632696,41
19,1718632697,45
19,1718632698,44
7,1718632699,54
10,1718632700,49
4,1718632701,56
22,1718632702,40
22,1718632703,43
21,1718632704,43
23,1718632705,41
17,1718632706,46
11,1718632707,48
4,1718632708,54
23,1718632709,36
22,1718632710,41
20,1718632711,43
17,1718632712,47
19,1718632713,45
6,1718632714,51
21,1718632715,43
19,1718632716,42
19,1718632717,41
14,1718632718,45
11,1718632719,48
15,1718632720,42
24,1718632721,47
22,1718632722,37
20,1718632723,44
17,1718632724,48
17,1718632725,50
20,1718632726,40
19,1718632727,40
20,1718632728,44
19,1718632729,36
19,1718632730,48
19,1718632731,40
20,1718632732,43
18,1718632733,43
4,1718632734,54
0,1718632735,58
14,1718632736,48
19,1718632737,47
15,1718632738,50
14,1718632739,49
22,1718632740,39
20,1718632741,34
15,1718632742,46
20,1718632743,43
19,1718632744,43
19,1718632745,42
18,1718632746,43
18,1718632747,42
7,1718632748,53
0,1718632749,58
7,1718632750,53
21,1718632751,42
19,1718632752,43
18,1718632753,48
19,1718632754,42
9,1718632755,52
16,1718632756,45
16,1718632757,46
19,1718632758,41
19,1718632759,44
18,1718632760,45
20,1718632761,43
8,1718632762,49
18,1718632763,42
9,1718632764,41
15,1718632765,47
0,1718632766,57
27,1718632767,31
20,1718632768,43
19,1718632769,37
19,1718632770,41
8,1718632771,52
16,1718632772,46
12,1718632773,46
12,1718632774,48
22,1718632775,47
20,1718632776,43
19,1718632777,43
17,1718632778,42
2,1718632779,55
15,1718632780,49
15,1718632781,45
21,1718632782,41
20,1718632783,43
18,1718632784,45
19,1718632785,41
10,1718632786,52
15,1718632787,44
15,1718632788,43
7,1718632789,51
23,1718632790,43
19,1718632791,40
19,1718632792,44
14,1718632793,46
9,1718632794,51
17,1718632795,44
8,1718632796,51
22,1718632797,39
21,1718632798,42
21,1718632799,42
14,1718632800,49
15,1718632801,30
18,1718632802,40
14,1718632803,42
13,1718632804,48
0,1718632805,58
24,1718632806,37
21,1718632807,44
17,1718632808,46
13,1718632809,44
16,1718632810,44
22,1718632811,35
17,1718632812,40
20,1718632813,39
