et,brisque
1718547666,76.52477
1718547667,76.48662
1718547668,78.53636
1718547669,72.30976
1718547670,71.72867
1718547671,71.53145
1718547672,78.09328
1718547673,76.61599
1718547674,75.89177
1718547675,76.02081
1718547676,78.19328
1718547677,77.42179
1718547678,76.96203
1718547679,76.01664
1718547680,72.95821
1718547681,72.56633
1718547682,72.38382
1718547683,77.95212
1718547684,76.77014
1718547685,76.40558
1718547686,76.23731
1718547687,77.06884
1718547688,76.33559
1718547689,75.82756
1718547690,78.55349
1718547691,73.15486
1718547692,72.34731
1718547693,72.30026
1718547694,71.03176
1718547695,70.8727
1718547696,78.81909
1718547697,77.03141
1718547698,77.00151
1718547699,76.28576
1718547700,79.03023
1718547701,77.08562
1718547702,76.25493
1718547703,75.85201
1718547704,77.4995
1718547705,76.04533
1718547706,75.59039
1718547707,72.44919
1718547708,71.82253
1718547709,71.49691
1718547710,78.99974
1718547711,76.77965
1718547712,76.00922
1718547713,75.95861
1718547714,78.59216
1718547715,78.70631
1718547716,77.49402
1718547717,76.67108
1718547718,77.87983
1718547719,76.75455
1718547720,76.44575
1718547721,73.87572
1718547722,79.47783
1718547723,78.39907
1718547724,77.69787
1718547725,77.19481
1718547726,79.40764
1718547727,77.1695
1718547728,77.04042
1718547729,76.84832
1718547730,73.41321
1718547731,72.90713
1718547732,72.83016
1718547733,72.50677
1718547734,78.21511
1718547735,77.40875
1718547736,77.15951
1718547737,80.16146
1718547738,77.45217
1718547739,76.70353
1718547740,76.28916
1718547741,78.54834
1718547742,76.64328
1718547743,73.29652
1718547744,72.64592
1718547745,72.32321
1718547746,78.6054
1718547747,77.752
1718547748,77.47565
1718547749,77.0455
1718547750,78.05136
1718547751,77.09075
1718547752,76.55014
1718547753,79.12798
1718547754,77.19856
1718547755,76.35421
1718547756,73.52752
1718547757,72.75095
1718547758,72.50877
1718547759,72.31059
1718547760,72.1208
1718547761,77.83837
1718547762,76.99377
1718547763,77.035
1718547764,79.91621
1718547765,77.56083
1718547766,76.57315
1718547767,76.1219
1718547768,78.53273
1718547769,77.10991
1718547770,77.2999
1718547771,76.56758
1718547772,73.51256
1718547773,72.59097
1718547774,72.59431
1718547775,78.20055
1718547776,77.37212
1718547777,77.03378
1718547778,76.59978
1718547779,77.5836
1718547780,76.97634
1718547781,76.44905
1718547782,78.87911
1718547783,76.66634
1718547784,73.48457
1718547785,72.76744
1718547786,72.69926
1718547787,73.14451
1718547788,79.87627
1718547789,78.04437
1718547790,77.37443
1718547791,77.07706
1718547792,79.46449
1718547793,77.73591
1718547794,77.20208
1718547795,80.08729
1718547796,77.50097
1718547797,76.82407
1718547798,73.91294
1718547799,73.14036
1718547800,73.03059
1718547801,72.86678
1718547802,79.72856
1718547803,78.62816
1718547804,77.65445
1718547805,77.34861
1718547806,78.9283
1718547807,77.53694
1718547808,77.54769
1718547809,77.57397
1718547810,77.79344
1718547811,77.40536
1718547812,77.15511
1718547813,73.61119
1718547814,72.82177
1718547815,72.42025
1718547816,78.69763
1718547817,77.21985
1718547818,76.78891
1718547819,76.89367
1718547820,78.26541
1718547821,77.22003
1718547822,76.90662
1718547823,79.01888
1718547824,73.73442
1718547825,72.94788
1718547826,72.50909
1718547827,79.61196
1718547828,77.45928
1718547829,77.24201
1718547830,76.9311
1718547831,80.49111
1718547832,79.45036
1718547833,78.58674
1718547834,76.3324
1718547835,78.75283
1718547836,73.44271
1718547837,79.66574
1718547838,78.35956
1718547839,77.57651
1718547840,77.70919
1718547841,79.05113
1718547842,78.13271
1718547843,77.54535
1718547844,77.87521
1718547845,78.43937
1718547846,75.6707
1718547847,80.39491
1718547848,78.66026
1718547849,78.45445
1718547850,77.99458
1718547851,78.34204
1718547852,77.9474
1718547853,78.11196
1718547854,77.62268
1718547855,78.26374
1718547856,77.09311
1718547857,73.83403
1718547858,73.11474
1718547859,72.55727
1718547860,71.92669
1718547861,78.55647
1718547862,78.07972
1718547863,77.46276
1718547864,77.2723
1718547865,77.41941
1718547866,76.54998
1718547867,76.25408
1718547868,78.22723
1718547869,78.76309
1718547870,76.31941
1718547871,71.92962
1718547872,71.36548
1718547873,71.1347
1718547874,78.39643
1718547875,76.53251
1718547876,75.98933
1718547877,75.63322
1718547878,78.08466
1718547879,76.16228
1718547880,75.36414
1718547881,75.32214
1718547882,76.63703
1718547883,75.60431
1718547884,75.09138
1718547885,71.34477
1718547886,71.51738
1718547887,71.24671
1718547888,78.43013
1718547889,76.57464
1718547890,76.23675
1718547891,75.93521
1718547892,77.33627
1718547893,76.04868
1718547894,75.82055
1718547895,78.54609
1718547896,76.0927
1718547897,75.71618
1718547898,75.1076
1718547899,75.14275
1718547900,78.57752
1718547901,76.43371
1718547902,75.78928
1718547903,75.8397
1718547904,77.92765
1718547905,76.37753
1718547906,75.6463
1718547907,75.57106
