,precision,recall,f1
0,0.8936781609195402,0.8798920377867746,0.8863768115942028
1,0.8944444444444445,0.6783549783549784,0.7516908212560386
2,0.4422043010752688,0.4652615144418423,0.45311653116531164
3,0.5386064030131826,0.5642633228840125,0.5509723770593337
4,0.7827218319021597,0.7827218319021597,0.7827218319021597
5,0.6974043715846995,0.6472222222222221,0.6667355371900826
6,0.8571428571428571,0.7070707070707071,0.7472222222222222
7,0.5133928571428571,0.5451388888888888,0.5280448717948718
8,0.528673835125448,0.5220338983050847,0.5245759025663331
9,0.6507936507936508,0.5612021857923497,0.5970904490828589
