,precision,recall,f1
0,0.8628205128205129,0.699858757062147,0.7455197132616489
1,0.8242424242424242,0.6340852130325814,0.665810868635002
2,0.9558823529411764,0.6666666666666666,0.726923076923077
3,0.767156862745098,0.5825757575757575,0.6037946428571428
4,0.7892156862745098,0.6170634920634921,0.6551006245662734
5,0.8782051282051282,0.7418032786885246,0.7886904761904763
6,0.9411764705882353,0.6363636363636364,0.6830357142857143
7,0.6452254641909814,0.8318181818181818,0.681899641577061
8,0.8469696969696969,0.6734848484848485,0.7182539682539683
9,0.963768115942029,0.6428571428571428,0.7034252297410192
