,precision,recall,f1
0,0.8978174603174602,0.7831920903954803,0.8254098360655738
1,0.8660714285714286,0.7055137844611529,0.7485242030696576
2,0.9626865671641791,0.7222222222222222,0.7883124627310674
3,0.9411764705882353,0.6363636363636364,0.6830357142857143
4,0.8376865671641791,0.6795634920634921,0.7269230769230769
5,0.9621212121212122,0.75,0.8136482939632546
6,0.8152985074626866,0.6280303030303029,0.6645669291338583
7,0.8600746268656716,0.7924242424242425,0.8220551378446115
8,0.8895089285714286,0.7643939393939394,0.8091397849462365
9,0.9705882352941176,0.7142857142857143,0.7848484848484849
