et,brisque
1718544838,36.66149
1718544839,37.22496
1718544840,36.81087
1718544841,36.91375
1718544842,36.75987
1718544843,36.96719
1718544844,35.48976
1718544845,35.77888
1718544846,36.40924
1718544847,36.03958
1718544848,36.03042
1718544849,36.54967
1718544850,36.48602
1718544851,36.01602
1718544852,36.58881
1718544853,36.46061
1718544854,36.03732
1718544855,36.42365
1718544856,36.61805
1718544857,36.50087
1718544858,36.39055
1718544859,35.74205
1718544860,36.15821
1718544861,36.18814
1718544862,36.44272
1718544863,36.28616
1718544864,37.91939
1718544865,37.6314
1718544866,37.95515
1718544867,37.30572
1718544868,37.26324
1718544869,38.51092
1718544870,38.14783
1718544871,37.85683
1718544872,37.85332
1718544873,37.99864
1718544874,37.36349
1718544875,37.09866
1718544876,37.4364
1718544877,37.06122
1718544878,37.40935
1718544879,38.09457
1718544880,37.79185
1718544881,38.00286
1718544882,37.54314
1718544883,37.86622
1718544884,37.63088
1718544885,37.60501
1718544886,37.59157
1718544887,37.84792
1718544888,37.60236
1718544889,37.52822
1718544890,37.5824
1718544891,37.32644
1718544892,39.5611
1718544893,38.54913
1718544894,38.13683
1718544895,37.60298
1718544896,37.77884
1718544897,37.74082
1718544898,39.01822
1718544899,38.73409
1718544900,37.93565
1718544901,38.00281
1718544902,37.87039
1718544903,37.8934
1718544904,37.37403
1718544905,37.53476
1718544906,37.51863
1718544907,36.81175
1718544908,37.15691
1718544909,37.1881
1718544910,36.89597
1718544911,37.21209
1718544912,37.27292
1718544913,37.06012
1718544914,37.2141
1718544915,37.04685
1718544916,37.07123
1718544917,37.13573
1718544918,36.96588
1718544919,36.69005
1718544920,37.08343
1718544921,37.24906
1718544922,36.94058
1718544923,37.00587
1718544924,36.98177
1718544925,39.25195
1718544926,38.40251
1718544927,38.39375
1718544928,38.1154
1718544929,38.0901
1718544930,37.65616
1718544931,37.30882
1718544932,37.42162
1718544933,37.51715
1718544934,37.9755
1718544935,37.3123
1718544936,37.2627
1718544937,37.25777
1718544938,36.70544
1718544939,36.61189
1718544940,36.69221
1718544941,38.01035
1718544942,37.33158
1718544943,36.81119
1718544944,36.65362
1718544945,36.76644
1718544946,36.59533
1718544947,36.57509
1718544948,36.53623
1718544949,36.78046
1718544950,36.82781
1718544951,36.7188
1718544952,36.4966
1718544953,36.49302
1718544954,37.11726
1718544955,36.96479
1718544956,36.62442
1718544957,36.1912
1718544958,36.13651
1718544959,35.77694
1718544960,36.22445
1718544961,35.95655
1718544962,36.37968
1718544963,36.18246
1718544964,36.43663
1718544965,36.15663
1718544966,36.15333
1718544967,36.48149
1718544968,36.18676
1718544969,36.06077
1718544970,35.87174
1718544971,35.614
1718544972,35.75538
1718544973,36.31408
1718544974,35.96787
1718544975,36.77821
1718544976,36.49166
1718544977,36.54426
1718544978,36.65334
1718544979,36.34591
1718544980,36.91843
1718544981,36.95258
1718544982,36.00548
1718544983,36.39914
1718544984,36.68752
1718544985,36.4943
1718544986,37.84076
1718544987,37.65726
1718544988,37.20812
1718544989,36.94002
1718544990,36.92007
1718544991,37.22217
1718544992,37.19226
1718544993,37.1214
1718544994,36.6117
1718544995,36.88788
1718544996,37.92572
1718544997,37.415
1718544998,37.47867
1718544999,37.74897
1718545000,37.48359
1718545001,37.67443
1718545002,37.54369
1718545003,37.29448
1718545004,36.66494
1718545005,36.59841
1718545006,36.75368
1718545007,36.39268
1718545008,36.64516
1718545009,36.87416
1718545010,37.16025
1718545011,36.5293
1718545012,36.72047
1718545013,36.86533
1718545014,36.7772
1718545015,36.54353
1718545016,37.03668
1718545017,35.98308
1718545018,36.47641
1718545019,36.5388
1718545020,36.37784
1718545021,36.72253
1718545022,36.77986
1718545023,36.23748
1718545024,36.02638
1718545025,36.06825
1718545026,36.01007
1718545027,36.2774
1718545028,36.46928
1718545029,36.58148
1718545030,36.62978
1718545031,37.07817
1718545032,36.44203
1718545033,36.33306
1718545034,36.51486
1718545035,36.97165
1718545036,36.54395
1718545037,36.62654
1718545038,36.81444
1718545039,37.03424
1718545040,36.60792
1718545041,36.9272
1718545042,37.09796
1718545043,35.23106
1718545044,35.83151
1718545045,35.68122
1718545046,37.94593
1718545047,36.97664
1718545048,36.14605
1718545049,36.16658
1718545050,36.22265
1718545051,36.05365
1718545052,36.44169
1718545053,37.12584
1718545054,36.95794
1718545055,36.62704
1718545056,35.93311
1718545057,36.85953
1718545058,35.55978
1718545059,35.68938
1718545060,35.58064
1718545061,35.12116
1718545062,35.33262
1718545063,35.0223
1718545064,35.67244
1718545065,34.77052
1718545066,35.05062
1718545067,34.82241
1718545068,34.78337
1718545069,34.99852
1718545070,34.79953
1718545071,35.20622
1718545072,35.06933
1718545073,35.01642
1718545074,35.31773
1718545075,35.25171
1718545076,35.48364
1718545077,35.04707
1718545078,35.36864
1718545079,35.65309
