,precision,recall,f1
0,0.3164502164502164,0.21733541901609127,0.15475685550873522
1,0.4920634920634921,0.48068662354376634,0.4797390737116765
2,0.09047619047619047,0.030612244897959183,0.045739348370927316
3,0.12207792207792208,0.06130952380952381,0.0783068783068783
4,0.40673111349803076,0.4291339612768184,0.41443794300937153
5,0.35875402792696026,0.42527942440834426,0.36965899597478546
6,0.5578231292517006,0.47040678619625986,0.48955026455026457
7,0.15454545454545454,0.11446886446886448,0.08965986394557823
8,0.09761904761904762,0.18733647305075873,0.0797569777161614
9,0.02806122448979592,0.021825396825396828,0.023571428571428573
