et,brisque
1718550744,83.985
1718550745,81.12345
1718550746,80.21299
1718550747,79.76482
1718550748,82.50002
1718550749,80.39293
1718550750,80.24126
1718550751,80.35411
1718550752,84.10217
1718550753,82.67217
1718550754,81.5531
1718550755,81.65114
1718550756,83.06091
1718550757,84.85191
1718550758,82.22779
1718550759,80.88467
1718550760,80.93252
1718550761,84.39616
1718550762,83.68997
1718550763,82.84206
1718550764,82.29742
1718550765,83.1058
1718550766,82.06894
1718550767,81.65478
1718550768,81.34976
1718550769,84.25368
1718550770,82.77968
1718550771,82.44694
1718550772,82.24627
1718550773,84.16498
1718550774,82.53061
1718550775,82.64165
1718550776,81.62998
1718550777,83.16649
1718550778,81.45495
1718550779,81.75649
1718550780,81.62919
1718550781,84.64803
1718550782,82.76097
1718550783,82.25995
1718550784,81.82589
1718550785,83.52645
1718550786,81.64887
1718550787,80.89338
1718550788,80.36982
1718550789,80.28074
1718550790,82.30407
1718550791,82.27084
1718550792,81.89507
1718550793,82.35286
1718550794,82.69762
1718550795,81.7809
1718550796,81.64831
1718550797,83.70046
1718550798,82.46836
1718550799,80.81271
1718550800,80.91656
1718550801,80.97571
1718550802,83.23041
1718550803,81.73286
1718550804,81.06149
1718550805,83.89443
1718550806,81.17247
1718550807,81.05599
1718550808,81.30094
1718550809,80.73559
1718550810,81.43684
1718550811,84.32438
1718550812,83.15653
1718550813,83.53886
1718550814,83.94309
1718550815,82.16188
1718550816,82.64745
1718550817,84.1806
1718550818,82.8342
1718550819,81.26127
1718550820,80.82746
1718550821,82.28854
1718550822,80.96846
1718550823,81.11788
1718550824,81.21303
1718550825,83.86136
1718550826,81.61136
1718550827,80.85991
1718550828,80.24245
1718550829,81.26892
1718550830,79.27277
1718550831,79.56606
1718550832,79.90287
1718550833,79.7006
1718550834,83.98791
1718550835,81.99602
1718550836,80.81483
1718550837,80.83173
1718550838,82.86457
1718550839,80.59759
1718550840,80.104
1718550841,79.99541
1718550842,81.96298
1718550843,79.77324
1718550844,79.35885
1718550845,79.22879
1718550846,84.53799
1718550847,82.33695
1718550848,81.57821
1718550849,81.25146
1718550850,82.62942
1718550851,81.45306
1718550852,79.98981
1718550853,79.54018
1718550854,80.78135
1718550855,79.34767
1718550856,79.08475
1718550857,79.14766
1718550858,79.35788
1718550859,85.10448
1718550860,83.77797
1718550861,81.99457
1718550862,84.14045
1718550863,82.31282
1718550864,80.84265
1718550865,79.90532
1718550866,81.63401
1718550867,79.68155
1718550868,79.42213
1718550869,79.30373
1718550870,79.47174
1718550871,82.26391
1718550872,80.53416
1718550873,80.01529
1718550874,82.9434
1718550875,80.69952
1718550876,79.819
1718550877,79.16914
1718550878,79.0446
1718550879,83.13289
1718550880,80.66532
1718550881,80.30355
1718550882,80.32454
1718550883,82.56542
1718550884,80.81111
1718550885,80.00666
1718550886,80.32913
1718550887,81.75795
1718550888,80.4511
1718550889,80.42101
1718550890,79.91107
1718550891,80.40437
1718550892,79.62468
1718550893,79.65202
1718550894,79.4233
1718550895,78.95368
1718550896,83.58883
1718550897,81.46694
1718550898,79.81935
1718550899,82.98406
1718550900,80.75002
1718550901,79.74144
1718550902,79.31489
1718550903,80.50988
1718550904,78.21795
1718550905,77.57567
1718550906,77.3342
1718550907,77.57516
1718550908,81.50409
1718550909,80.54321
1718550910,79.3839
1718550911,82.06709
1718550912,79.72449
1718550913,79.41899
1718550914,78.63761
1718550915,78.10717
1718550916,79.67093
1718550917,79.7612
1718550918,79.77871
1718550919,79.46593
1718550920,81.92877
1718550921,80.85199
1718550922,80.23663
1718550923,82.6292
1718550924,79.81734
1718550925,78.68899
1718550926,78.05772
1718550927,78.23877
1718550928,79.54731
1718550929,78.15681
1718550930,78.53599
1718550931,78.79946
1718550932,82.42108
1718550933,80.41692
1718550934,79.25647
1718550935,79.06325
1718550936,81.4001
1718550937,80.66963
1718550938,79.26336
1718550939,79.05825
1718550940,79.96845
1718550941,79.80814
1718550942,80.08242
1718550943,79.77436
1718550944,79.99812
1718550945,79.41724
1718550946,78.79776
1718550947,79.04732
1718550948,82.01456
1718550949,80.7623
1718550950,79.68014
1718550951,79.3925
1718550952,80.68938
1718550953,79.03092
1718550954,78.57366
1718550955,78.60473
1718550956,80.36438
1718550957,80.22978
1718550958,79.98346
1718550959,80.09091
1718550960,82.24443
1718550961,80.42886
1718550962,80.10945
1718550963,79.33971
1718550964,79.96105
1718550965,78.56317
1718550966,78.13573
1718550967,78.43119
1718550968,78.86445
1718550969,83.38
1718550970,81.46373
1718550971,80.28299
1718550972,83.16223
1718550973,80.21444
1718550974,79.35287
1718550975,78.91278
1718550976,81.73788
1718550977,80.54425
1718550978,80.54939
1718550979,79.89493
1718550980,83.79
1718550981,81.45247
1718550982,80.93099
1718550983,80.25888
1718550984,81.9896
1718550985,80.03532
