fps,et,screenshots_num
6,1718532488,14
15,1718532489,41
16,1718532490,40
15,1718532491,41
12,1718532492,46
14,1718532493,43
16,1718532494,43
15,1718532495,43
15,1718532496,42
11,1718532497,48
10,1718532498,47
11,1718532499,46
16,1718532500,43
15,1718532501,40
17,1718532502,41
17,1718532503,41
16,1718532504,43
17,1718532505,42
16,1718532506,40
17,1718532507,42
14,1718532508,43
15,1718532509,43
13,1718532510,46
15,1718532511,43
15,1718532512,41
15,1718532513,43
15,1718532514,44
12,1718532515,46
11,1718532516,45
10,1718532517,49
9,1718532518,48
16,1718532519,42
16,1718532520,41
16,1718532521,42
17,1718532522,41
16,1718532523,42
16,1718532524,42
17,1718532525,41
16,1718532526,41
16,1718532527,41
17,1718532528,41
12,1718532529,45
15,1718532530,42
15,1718532531,41
15,1718532532,44
15,1718532533,42
15,1718532534,44
11,1718532535,46
10,1718532536,48
9,1718532537,49
15,1718532538,42
17,1718532539,41
16,1718532540,41
16,1718532541,32
16,1718532542,41
16,1718532543,41
16,1718532544,42
16,1718532545,41
17,1718532546,41
16,1718532547,42
14,1718532548,44
13,1718532549,45
15,1718532550,43
15,1718532551,42
15,1718532552,42
14,1718532553,45
11,1718532554,47
10,1718532555,46
9,1718532556,45
16,1718532557,39
15,1718532558,41
17,1718532559,42
16,1718532560,40
16,1718532561,42
17,1718532562,41
17,1718532563,42
16,1718532564,35
16,1718532565,42
17,1718532566,42
12,1718532567,40
15,1718532568,42
15,1718532569,44
15,1718532570,42
15,1718532571,42
15,1718532572,41
11,1718532573,46
11,1718532574,48
10,1718532575,46
11,1718532576,47
16,1718532577,40
17,1718532578,38
16,1718532579,41
16,1718532580,41
16,1718532581,41
17,1718532582,41
16,1718532583,41
17,1718532584,40
16,1718532585,39
14,1718532586,43
15,1718532587,42
15,1718532588,41
15,1718532589,43
14,1718532590,43
13,1718532591,46
11,1718532592,48
9,1718532593,49
13,1718532594,45
16,1718532595,41
17,1718532596,41
16,1718532597,43
17,1718532598,40
17,1718532599,42
16,1718532600,40
16,1718532601,31
17,1718532602,41
16,1718532603,42
16,1718532604,43
11,1718532605,33
15,1718532606,33
13,1718532607,29
15,1718532608,28
15,1718532609,39
11,1718532610,37
9,1718532611,46
9,1718532612,44
16,1718532613,43
16,1718532614,41
16,1718532615,41
17,1718532616,41
16,1718532617,42
16,1718532618,41
16,1718532619,44
17,1718532620,41
16,1718532621,40
16,1718532622,42
12,1718532623,47
15,1718532624,42
15,1718532625,43
15,1718532626,43
15,1718532627,43
15,1718532628,40
11,1718532629,47
10,1718532630,46
10,1718532631,48
11,1718532632,48
16,1718532633,43
16,1718532634,43
16,1718532635,42
17,1718532636,41
16,1718532637,43
17,1718532638,41
16,1718532639,42
17,1718532640,42
16,1718532641,43
17,1718532642,42
11,1718532643,45
15,1718532644,43
16,1718532645,43
14,1718532646,44
15,1718532647,43
15,1718532648,42
11,1718532649,46
11,1718532650,47
9,1718532651,49
15,1718532652,43
17,1718532653,42
16,1718532654,41
16,1718532655,42
17,1718532656,42
17,1718532657,41
16,1718532658,40
17,1718532659,41
16,1718532660,43
16,1718532661,36
11,1718532662,44
15,1718532663,44
15,1718532664,43
15,1718532665,42
15,1718532666,44
13,1718532667,40
11,1718532668,46
8,1718532669,51
16,1718532670,42
16,1718532671,41
16,1718532672,40
17,1718532673,40
16,1718532674,40
16,1718532675,41
17,1718532676,42
16,1718532677,42
16,1718532678,41
15,1718532679,45
12,1718532680,46
15,1718532681,42
15,1718532682,45
15,1718532683,43
15,1718532684,43
15,1718532685,41
11,1718532686,47
10,1718532687,47
12,1718532688,47
16,1718532689,42
16,1718532690,40
17,1718532691,42
16,1718532692,43
16,1718532693,41
17,1718532694,41
17,1718532695,42
15,1718532696,42
15,1718532697,42
13,1718532698,46
14,1718532699,43
15,1718532700,42
16,1718532701,43
14,1718532702,43
15,1718532703,44
10,1718532704,47
10,1718532705,48
10,1718532706,48
16,1718532707,41
16,1718532708,42
17,1718532709,43
17,1718532710,41
16,1718532711,41
16,1718532712,42
17,1718532713,42
16,1718532714,41
17,1718532715,42
15,1718532716,42
13,1718532717,46
15,1718532718,43
15,1718532719,43
15,1718532720,44
15,1718532721,33
14,1718532722,44
11,1718532723,47
10,1718532724,47
9,1718532725,49
15,1718532726,42
16,1718532727,40
16,1718532728,42
16,1718532729,42
