et,brisque
1718532489,71.77809
1718532490,71.49077
1718532491,71.13903
1718532492,46.86695
1718532493,45.56125
1718532494,45.58651
1718532495,45.16079
1718532496,44.45359
1718532497,45.4818
1718532498,44.65769
1718532499,72.19432
1718532500,71.2523
1718532501,71.32055
1718532502,71.35016
1718532503,71.17384
1718532504,71.09867
1718532505,70.75506
1718532506,70.65766
1718532507,70.83202
1718532508,70.41183
1718532509,70.57179
1718532510,70.37467
1718532511,45.61015
1718532512,45.36175
1718532513,45.18512
1718532514,44.11893
1718532515,44.53853
1718532516,44.682
1718532517,44.05789
1718532518,72.48515
1718532519,71.62131
1718532520,71.55815
1718532521,71.29071
1718532522,71.50293
1718532523,70.93751
1718532524,70.9232
1718532525,70.76678
1718532526,70.99639
1718532527,70.65784
1718532528,71.15607
1718532529,47.09366
1718532530,46.0457
1718532531,45.42036
1718532532,45.03705
1718532533,44.92262
1718532534,45.39491
1718532535,45.17921
1718532536,45.25509
1718532537,44.96277
1718532538,71.91917
1718532539,71.58114
1718532540,71.28247
1718532541,71.30082
1718532542,71.26089
1718532543,71.19693
1718532544,71.24962
1718532545,70.87832
1718532546,70.96372
1718532547,70.8888
1718532548,70.6482
1718532549,46.3021
1718532550,45.3805
1718532551,45.60889
1718532552,45.28592
1718532553,44.36639
1718532554,44.95318
1718532555,44.66533
1718532556,44.84588
1718532557,71.41729
1718532558,70.86241
1718532559,70.71499
1718532560,71.11695
1718532561,71.22026
1718532562,70.98096
1718532563,70.79781
1718532564,70.95985
1718532565,70.7797
1718532566,70.40331
1718532567,47.50481
1718532568,45.80667
1718532569,44.76952
1718532570,45.32686
1718532571,45.17679
1718532572,44.09421
1718532573,45.20953
1718532574,44.48257
1718532575,44.67113
1718532576,72.2889
1718532577,71.93239
1718532578,71.65681
1718532579,71.55462
1718532580,71.36592
1718532581,71.1232
1718532582,71.07648
1718532583,71.12597
1718532584,70.86275
1718532585,70.9066
1718532586,70.78758
1718532587,47.53167
1718532588,46.51154
1718532589,46.05286
1718532590,45.75653
1718532591,45.65032
1718532592,45.49213
1718532593,45.22341
1718532594,72.66558
1718532595,71.74101
1718532596,71.49993
1718532597,71.53006
1718532598,71.2343
1718532599,71.16255
1718532600,71.27793
1718532601,71.22725
1718532602,70.84506
1718532603,70.90756
1718532604,70.82564
1718532605,47.67693
1718532606,46.44167
1718532607,46.08384
1718532608,45.71152
1718532609,45.79416
1718532610,45.19178
1718532611,45.24174
1718532612,45.44236
1718532613,72.24515
1718532614,71.56594
1718532615,71.63729
1718532616,71.24807
1718532617,71.4388
1718532618,71.31467
1718532619,71.52934
1718532620,71.20439
1718532621,71.04319
1718532622,70.83957
1718532623,70.53636
1718532624,46.44357
1718532625,46.30051
1718532626,45.67082
1718532627,46.38964
1718532628,45.80561
1718532629,45.28113
1718532630,45.53725
1718532631,45.62834
1718532632,73.17629
1718532633,72.89793
1718532634,72.65143
1718532635,71.99819
1718532636,71.70434
1718532637,71.99983
1718532638,71.30577
1718532639,71.37767
1718532640,71.45784
1718532641,70.82981
1718532642,70.58254
1718532643,45.92756
1718532644,45.05022
1718532645,46.05118
1718532646,46.85508
1718532647,45.62055
1718532648,45.20375
1718532649,44.74893
1718532650,45.47094
1718532651,45.27412
1718532652,73.45735
1718532653,72.52709
1718532654,72.25368
1718532655,71.90343
1718532656,71.70705
1718532657,71.35472
1718532658,71.48403
1718532659,71.21762
1718532660,71.33523
1718532661,71.1403
1718532662,71.09137
1718532663,48.01275
1718532664,46.78869
1718532665,45.10451
1718532666,45.39553
1718532667,45.07765
1718532668,45.1764
1718532669,46.51268
1718532670,73.09409
1718532671,72.40661
1718532672,72.00876
1718532673,71.65095
1718532674,71.39276
1718532675,71.42484
1718532676,71.08349
1718532677,71.04504
1718532678,70.92316
1718532679,71.02252
1718532680,47.739
1718532681,46.19898
1718532682,45.70848
1718532683,45.54184
1718532684,45.41951
1718532685,45.62189
1718532686,45.28647
1718532687,46.00987
1718532688,72.99542
1718532689,72.00745
1718532690,71.56878
1718532691,71.7058
1718532692,71.45852
1718532693,71.47793
1718532694,71.56747
1718532695,71.36216
1718532696,71.20079
1718532697,70.97882
1718532698,70.86439
1718532699,46.25208
1718532700,43.29225
1718532701,43.55042
1718532702,46.35483
1718532703,46.23977
1718532704,45.99278
1718532705,45.58875
1718532706,73.719
1718532707,72.98204
1718532708,72.39117
1718532709,72.49143
1718532710,72.18655
1718532711,71.94564
1718532712,71.92477
1718532713,71.93807
1718532714,71.78188
1718532715,71.29537
1718532716,71.53495
1718532717,48.07766
1718532718,46.79115
1718532719,46.38661
1718532720,46.0833
1718532721,45.94563
1718532722,45.76016
1718532723,45.86917
1718532724,45.51158
1718532725,45.32261
1718532726,73.15663
1718532727,72.33171
1718532728,71.62999
1718532729,71.8385
1718532730,71.7477
