fps,et,screenshots_num
5,1718531770,8
19,1718531771,35
20,1718531772,39
18,1718531773,35
21,1718531774,37
20,1718531775,40
19,1718531776,36
19,1718531777,37
20,1718531778,40
20,1718531779,37
18,1718531780,38
20,1718531781,37
21,1718531782,38
19,1718531783,38
19,1718531784,38
20,1718531785,39
20,1718531786,38
19,1718531787,39
19,1718531788,37
21,1718531789,39
19,1718531790,40
20,1718531791,38
21,1718531792,36
19,1718531793,36
18,1718531794,38
19,1718531795,39
20,1718531796,38
20,1718531797,38
20,1718531798,37
20,1718531799,38
21,1718531800,37
20,1718531801,38
19,1718531802,38
20,1718531803,39
18,1718531804,37
20,1718531805,39
20,1718531806,39
20,1718531807,39
20,1718531808,37
21,1718531809,39
20,1718531810,37
19,1718531811,39
20,1718531812,39
19,1718531813,39
20,1718531814,39
21,1718531815,38
19,1718531816,36
21,1718531817,39
19,1718531818,38
18,1718531819,38
20,1718531820,39
19,1718531821,33
19,1718531822,37
20,1718531823,38
20,1718531824,38
20,1718531825,38
19,1718531826,39
21,1718531827,38
18,1718531828,39
20,1718531829,40
20,1718531830,40
20,1718531831,38
20,1718531832,38
20,1718531833,38
19,1718531834,38
20,1718531835,38
20,1718531836,37
19,1718531837,38
20,1718531838,39
20,1718531839,39
19,1718531840,38
19,1718531841,39
20,1718531842,37
20,1718531843,38
19,1718531844,38
19,1718531845,38
20,1718531846,36
20,1718531847,38
20,1718531848,39
19,1718531849,35
21,1718531850,36
19,1718531851,38
19,1718531852,38
19,1718531853,38
21,1718531854,39
20,1718531855,40
18,1718531856,37
20,1718531857,38
20,1718531858,38
20,1718531859,38
19,1718531860,37
20,1718531861,38
20,1718531862,38
19,1718531863,36
20,1718531864,39
20,1718531865,38
20,1718531866,39
20,1718531867,38
20,1718531868,36
21,1718531869,37
19,1718531870,40
20,1718531871,37
18,1718531872,37
20,1718531873,39
20,1718531874,39
20,1718531875,39
21,1718531876,39
19,1718531877,38
19,1718531878,38
20,1718531879,38
20,1718531880,38
18,1718531881,35
20,1718531882,38
19,1718531883,40
20,1718531884,38
20,1718531885,37
18,1718531886,38
20,1718531887,38
19,1718531888,40
19,1718531889,38
20,1718531890,38
19,1718531891,38
20,1718531892,39
20,1718531893,35
19,1718531894,38
19,1718531895,38
20,1718531896,39
20,1718531897,38
19,1718531898,39
19,1718531899,38
20,1718531900,40
19,1718531901,38
20,1718531902,38
19,1718531903,38
20,1718531904,38
20,1718531905,39
20,1718531906,37
18,1718531907,38
20,1718531908,38
20,1718531909,38
20,1718531910,38
20,1718531911,39
20,1718531912,38
18,1718531913,37
21,1718531914,40
19,1718531915,37
19,1718531916,39
20,1718531917,39
19,1718531918,38
21,1718531919,38
20,1718531920,38
20,1718531921,38
19,1718531922,38
20,1718531923,38
20,1718531924,39
20,1718531925,38
18,1718531926,38
20,1718531927,39
18,1718531928,38
18,1718531929,37
21,1718531930,37
20,1718531931,38
19,1718531932,39
19,1718531933,38
18,1718531934,38
17,1718531935,40
22,1718531936,37
14,1718531937,42
10,1718531938,49
13,1718531939,47
19,1718531940,39
18,1718531941,35
17,1718531942,33
19,1718531943,39
21,1718531944,37
20,1718531945,40
20,1718531946,37
20,1718531947,39
19,1718531948,39
20,1718531949,39
20,1718531950,37
20,1718531951,38
19,1718531952,35
20,1718531953,40
19,1718531954,39
21,1718531955,36
19,1718531956,37
20,1718531957,37
20,1718531958,39
11,1718531959,47
11,1718531960,46
22,1718531961,39
18,1718531962,41
19,1718531963,38
21,1718531964,37
13,1718531965,44
24,1718531966,38
15,1718531967,39
22,1718531968,35
22,1718531969,36
20,1718531970,37
19,1718531971,39
19,1718531972,39
21,1718531973,37
20,1718531974,38
20,1718531975,37
10,1718531976,39
11,1718531977,45
20,1718531978,36
20,1718531979,38
18,1718531980,39
20,1718531981,38
18,1718531982,39
19,1718531983,38
19,1718531984,34
20,1718531985,38
18,1718531986,38
20,1718531987,40
19,1718531988,39
20,1718531989,39
20,1718531990,38
20,1718531991,37
19,1718531992,37
20,1718531993,38
21,1718531994,36
20,1718531995,37
19,1718531996,39
20,1718531997,38
19,1718531998,38
19,1718531999,39
20,1718532000,39
19,1718532001,31
20,1718532002,35
11,1718532003,47
19,1718532004,38
20,1718532005,45
16,1718532006,43
20,1718532007,34
14,1718532008,41
15,1718532009,42
16,1718532010,41
20,1718532011,35
