fps,et,screenshots_num
3,1718627887,6
16,1718627888,39
15,1718627889,43
17,1718627890,43
16,1718627891,44
15,1718627892,45
16,1718627893,47
15,1718627894,45
15,1718627895,45
12,1718627896,47
10,1718627897,48
10,1718627898,49
16,1718627899,42
16,1718627900,43
17,1718627901,43
16,1718627902,44
17,1718627903,46
15,1718627904,43
17,1718627905,46
15,1718627906,44
15,1718627907,44
15,1718627908,44
15,1718627909,47
15,1718627910,46
12,1718627911,49
12,1718627912,48
11,1718627913,47
12,1718627914,47
12,1718627915,48
4,1718627916,54
0,1718627917,57
0,1718627918,58
0,1718627919,57
9,1718627920,50
6,1718627921,53
3,1718627922,54
0,1718627923,58
0,1718627924,58
4,1718627925,55
15,1718627926,49
0,1718627927,58
0,1718627928,58
6,1718627929,52
14,1718627930,47
9,1718627931,51
2,1718627932,57
5,1718627933,54
0,1718627934,58
2,1718627935,57
3,1718627936,55
18,1718627937,45
16,1718627938,46
6,1718627939,52
0,1718627940,58
0,1718627941,41
0,1718627942,59
0,1718627943,58
4,1718627944,55
0,1718627945,57
13,1718627946,46
11,1718627947,49
0,1718627948,58
3,1718627949,56
0,1718627950,58
4,1718627951,54
11,1718627952,52
0,1718627953,58
0,1718627954,58
0,1718627955,58
0,1718627956,58
7,1718627957,51
20,1718627958,43
13,1718627959,46
12,1718627960,48
5,1718627961,53
0,1718627962,58
0,1718627963,58
0,1718627964,58
2,1718627965,56
4,1718627966,55
0,1718627967,58
19,1718627968,41
0,1718627969,58
0,1718627970,58
3,1718627971,54
0,1718627972,58
0,1718627973,58
1,1718627974,55
18,1718627975,37
11,1718627976,57
15,1718627977,51
11,1718627978,49
4,1718627979,56
3,1718627980,46
0,1718627981,58
2,1718627982,57
6,1718627983,53
17,1718627984,44
13,1718627985,44
12,1718627986,47
3,1718627987,57
0,1718627988,59
0,1718627989,57
0,1718627990,59
4,1718627991,55
19,1718627992,44
13,1718627993,46
11,1718627994,48
4,1718627995,56
0,1718627996,58
0,1718627997,58
16,1718627998,44
17,1718627999,44
11,1718628000,47
3,1718628001,38
2,1718628002,56
2,1718628003,56
2,1718628004,57
0,1718628005,58
19,1718628006,40
0,1718628007,58
0,1718628008,58
9,1718628009,50
0,1718628010,58
15,1718628011,44
7,1718628012,52
0,1718628013,58
4,1718628014,57
0,1718628015,58
0,1718628016,58
15,1718628017,48
0,1718628018,57
0,1718628019,58
7,1718628020,51
11,1718628021,51
6,1718628022,54
4,1718628023,54
0,1718628024,58
0,1718628025,58
2,1718628026,57
17,1718628027,44
16,1718628028,45
15,1718628029,47
2,1718628030,56
0,1718628031,58
0,1718628032,58
2,1718628033,56
17,1718628034,47
16,1718628035,45
7,1718628036,46
7,1718628037,44
1,1718628038,56
5,1718628039,51
10,1718628040,39
19,1718628041,41
17,1718628042,45
16,1718628043,44
3,1718628044,57
10,1718628045,48
13,1718628046,49
0,1718628047,58
2,1718628048,56
0,1718628049,58
0,1718628050,58
0,1718628051,58
5,1718628052,55
9,1718628053,54
23,1718628054,42
16,1718628055,46
15,1718628056,45
15,1718628057,44
14,1718628058,46
7,1718628059,51
5,1718628060,53
3,1718628061,41
0,1718628062,58
0,1718628063,58
0,1718628064,58
0,1718628065,58
0,1718628066,58
0,1718628067,58
0,1718628068,58
12,1718628069,48
14,1718628070,47
10,1718628071,49
2,1718628072,55
8,1718628073,51
5,1718628074,54
0,1718628075,58
16,1718628076,44
8,1718628077,53
15,1718628078,45
11,1718628079,50
0,1718628080,58
11,1718628081,49
0,1718628082,58
0,1718628083,58
16,1718628084,47
18,1718628085,46
16,1718628086,43
15,1718628087,42
13,1718628088,48
15,1718628089,46
14,1718628090,47
14,1718628091,47
14,1718628092,46
14,1718628093,44
14,1718628094,48
8,1718628095,48
0,1718628096,59
0,1718628097,58
0,1718628098,58
0,1718628099,58
20,1718628100,42
7,1718628101,52
18,1718628102,44
3,1718628103,56
0,1718628104,58
16,1718628105,46
21,1718628106,42
12,1718628107,48
3,1718628108,57
0,1718628109,58
5,1718628110,55
3,1718628111,55
18,1718628112,43
11,1718628113,51
11,1718628114,51
0,1718628115,58
0,1718628116,58
16,1718628117,45
9,1718628118,54
17,1718628119,44
14,1718628120,47
5,1718628121,38
2,1718628122,57
0,1718628123,58
17,1718628124,45
10,1718628125,45
17,1718628126,44
4,1718628127,53
15,1718628128,43
