et,brisque,piqe
1716566776,50.09287,32.92111
1716566777,49.1286,32.14247
1716566778,47.57009,30.20026
1716566779,48.15092,31.04262
1716566780,47.9748,31.64246
1716566781,47.87772,29.10585
1716566782,48.23395,30.42673
1716566783,48.41803,30.56397
1716566784,47.99134,31.58457
1716566785,48.57582,30.94815
1716566786,48.31512,30.31889
1716566787,47.77381,31.9057
1716566788,47.32704,31.06097
1716566789,46.69054,31.63341
1716566790,47.38649,31.42406
1716566791,47.5426,31.82367
1716566792,48.41895,32.22782
1716566793,48.26607,31.57581
1716566794,48.44345,31.61392
1716566795,48.21038,32.29403
1716566796,48.61009,30.76551
1716566797,48.36754,32.32161
1716566798,48.11291,31.037
1716566799,49.48592,31.68912
1716566800,49.89821,31.91358
1716566801,48.37235,30.68946
1716566802,47.88297,32.52417
1716566803,47.16026,30.4271
1716566804,47.17115,32.25375
1716566805,47.89233,32.04808
1716566806,47.35206,31.42568
1716566807,47.62004,31.03542
1716566808,47.50047,30.70073
1716566809,47.44752,30.76224
1716566810,48.19289,31.76259
1716566811,47.39108,32.29863
1716566812,46.77645,32.03648
1716566813,47.74396,31.81686
1716566814,48.05246,31.51798
1716566815,47.70588,32.82198
1716566816,47.90298,31.73452
1716566817,47.37031,31.2863
1716566818,47.87232,31.83798
1716566819,47.64563,32.3967
1716566820,47.50778,31.31398
1716566821,47.27373,30.89084
1716566822,47.83861,32.87637
1716566823,47.79443,30.34179
1716566824,47.34795,30.8453
1716566825,47.45106,30.79032
1716566826,47.15656,31.75083
1716566827,47.26633,31.72131
1716566828,47.49796,32.7691
1716566829,47.54743,29.24648
1716566830,47.51964,32.16605
1716566831,47.96143,33.33397
1716566832,50.62702,32.06851
1716566833,50.0522,33.66487
1716566834,48.22634,32.76344
1716566835,48.38589,31.1194
1716566836,47.65918,31.04033
1716566837,47.52423,30.7571
1716566838,48.05345,30.92746
1716566839,47.33422,30.75454
1716566840,48.61727,30.78429
1716566841,47.5791,31.49159
1716566842,47.53383,31.3595
1716566843,47.89938,31.03719
1716566844,47.70359,30.38405
1716566845,48.6878,31.44755
1716566846,48.16785,30.68984
1716566847,48.31845,31.08686
1716566848,48.65068,30.79538
1716566849,48.7596,31.46633
1716566850,48.48717,31.02448
1716566851,48.519,32.42658
1716566852,48.39048,31.48115
1716566853,47.99278,31.20546
1716566854,48.99193,32.01913
1716566855,48.08554,31.95114
1716566856,45.02056,32.77899
1716566857,49.0944,32.42347
1716566858,48.73196,32.32706
1716566859,48.66742,31.46826
1716566860,48.50552,31.85468
1716566861,48.03822,31.18848
1716566862,48.47204,31.58902
1716566863,47.32777,31.31059
1716566864,47.54935,31.01988
1716566865,48.92729,30.9189
1716566866,49.75103,33.51659
1716566867,49.86908,32.0702
1716566868,52.01009,32.48589
1716566869,50.26169,29.30303
1716566870,52.04589,31.78493
1716566871,51.93647,30.7285
1716566872,51.26899,30.83002
1716566873,51.88132,31.10592
1716566874,50.75477,31.65573
1716566875,50.47833,29.25787
1716566876,50.66344,29.75913
1716566877,49.39238,30.43657
1716566878,50.01677,30.48067
1716566879,53.30212,32.08427
1716566880,52.44968,30.68707
1716566881,51.88944,31.39615
1716566882,52.81728,30.43564
1716566883,52.99903,32.66099
1716566884,52.59213,31.40248
1716566885,52.48214,31.99343
1716566886,52.00987,31.46707
1716566887,53.34139,33.39537
1716566888,53.41038,33.64525
1716566889,53.47965,33.88125
1716566890,53.50369,33.78348
1716566891,53.50708,33.61391
1716566892,50.2701,34.3691
1716566893,48.22364,32.92693
1716566894,47.98871,31.70208
1716566895,48.82341,31.49359
1716566896,48.0558,31.8845
1716566897,47.46931,32.58538
1716566898,48.35508,31.81326
1716566899,46.3186,31.41939
1716566900,47.40998,31.34818
1716566901,46.16346,30.40041
1716566902,46.37118,31.58128
1716566903,46.95996,30.84692
1716566904,46.75324,32.93324
1716566905,47.36236,31.72459
1716566906,46.18068,31.12004
1716566907,45.83654,29.88472
1716566908,45.36193,30.42298
1716566909,45.93054,30.84229
1716566910,46.48668,30.00426
1716566911,46.06653,30.9747
1716566912,47.46475,31.07315
1716566913,47.07239,31.61952
1716566914,46.73385,32.37623
1716566915,47.33925,32.06945
1716566916,47.53905,30.47946
1716566917,47.70039,31.5124
1716566918,47.67634,34.84371
1716566919,48.33948,32.62346
1716566920,46.87183,30.31214
1716566921,47.26527,31.27427
1716566922,47.19032,30.99366
1716566923,49.12006,30.20273
1716566924,49.03293,30.82814
1716566925,48.66988,31.20157
1716566926,48.21382,30.90045
1716566927,48.83373,31.34895
1716566928,48.41818,31.11471
1716566929,47.86583,30.84445
1716566930,48.09103,29.80011
1716566931,48.00482,31.8141
1716566932,47.65003,30.63805
1716566933,48.61889,31.53495
1716566934,47.94798,31.54419
1716566935,48.17409,30.43312
1716566936,48.88473,31.72947
1716566937,48.5808,31.14979
1716566938,48.08701,32.13959
1716566939,48.61553,33.52425
1716566940,47.89651,32.21626
1716566941,48.15895,32.31208
1716566942,47.30666,30.28124
1716566943,49.69704,32.51256
1716566944,49.03665,30.04384
1716566945,48.79815,31.41091
1716566946,49.96542,33.49475
1716566947,48.28734,31.20635
1716566948,48.98191,31.49183
1716566949,48.87657,31.96416
1716566950,48.64819,33.53957
1716566951,48.25168,31.96759
1716566952,48.05892,30.58066
1716566953,48.05726,32.46857
1716566954,47.29298,30.92014
1716566955,47.54767,31.87156
1716566956,48.06664,30.86739
1716566957,47.34565,31.31907
1716566958,48.08686,30.58687
1716566959,47.57138,31.54592
1716566960,47.75412,30.77185
1716566961,49.90071,32.18459
1716566962,47.95503,30.94915
1716566963,48.45215,32.72745
1716566964,48.28642,30.97005
1716566965,49.91762,32.52466
1716566966,49.08787,33.20465
1716566967,48.36383,31.17984
1716566968,48.21075,29.98872
1716566969,49.07762,32.67877
1716566970,49.04924,32.90939
1716566971,50.36593,32.16277
1716566972,50.41229,31.31556
1716566973,49.79698,32.51378
1716566974,49.60419,31.75657
1716566975,49.9501,32.88168
1716566976,49.65583,33.46479
1716566977,49.27044,31.24985
1716566978,49.22162,31.70541
1716566979,48.59932,32.51495
1716566980,49.08957,30.85199
1716566981,48.79911,31.02054
1716566982,48.81854,30.48392
1716566983,48.95097,32.85179
1716566984,49.70994,32.14623
1716566985,49.61376,32.8482
1716566986,49.7618,33.3276
1716566987,48.09367,30.4851
1716566988,49.16062,30.96781
1716566989,49.18754,32.19768
1716566990,48.89389,31.80257
1716566991,48.2514,31.03719
1716566992,50.36038,32.16574
1716566993,49.56242,32.58257
1716566994,49.61302,32.99883
1716566995,50.1486,31.90762
1716566996,47.39629,31.76262
1716566997,48.09427,32.0933
1716566998,49.23655,32.41795
1716566999,47.66717,31.25523
1716567000,48.36266,32.16535
1716567001,48.47779,30.46559
1716567002,48.40167,30.38737
1716567003,49.0259,31.68
1716567004,48.06079,31.51716
1716567005,47.66548,30.99287
