et,brisque
1718637970,81.12461
1718637971,81.27779
1718637972,83.30204
1718637973,81.04908
1718637974,81.47923
1718637975,77.9097
1718637976,76.74392
1718637977,83.06838
1718637978,81.0736
1718637979,80.39343
1718637980,79.44082
1718637981,81.6702
1718637982,80.12989
1718637983,79.83587
1718637984,79.16738
1718637985,77.70224
1718637986,76.08569
1718637987,75.97597
1718637988,75.40566
1718637989,75.36241
1718637990,81.15979
1718637991,80.29358
1718637992,80.9613
1718637993,84.1465
1718637994,83.08305
1718637995,82.19246
1718637996,81.00775
1718637997,82.33245
1718637998,78.70971
1718637999,77.21477
1718638000,76.52644
1718638001,82.76828
1718638002,80.7151
1718638003,80.33053
1718638004,80.43393
1718638005,81.77845
1718638006,79.81766
1718638007,79.21385
1718638008,77.56787
1718638009,77.53825
1718638010,78.33505
1718638011,83.93294
1718638012,82.27554
1718638013,82.00184
1718638014,80.7905
1718638015,82.67423
1718638016,80.05746
1718638017,79.49468
1718638018,78.98433
1718638019,80.18346
1718638020,77.66397
1718638021,83.35441
1718638022,80.29449
1718638023,79.85684
1718638024,79.08848
1718638025,81.15771
1718638026,79.08162
1718638027,78.99495
1718638028,80.44801
1718638029,82.08988
1718638030,80.19872
1718638031,76.75195
1718638032,80.98669
1718638033,80.44956
1718638034,80.63493
1718638035,84.07978
1718638036,81.19339
1718638037,80.36249
1718638038,79.09948
1718638039,77.36206
1718638040,76.41038
1718638041,81.50003
1718638042,80.44712
1718638043,80.2643
1718638044,83.97659
1718638045,80.46351
1718638046,79.84586
1718638047,79.67619
1718638048,77.73521
1718638049,76.63275
1718638050,76.39323
1718638051,83.95678
1718638052,82.19758
1718638053,81.17258
1718638054,80.89636
1718638055,82.5855
1718638056,81.35743
1718638057,80.34189
1718638058,83.94218
1718638059,79.58388
1718638060,77.65333
1718638061,76.80622
1718638062,82.74317
1718638063,82.37709
1718638064,82.65217
1718638065,84.46035
1718638066,81.98788
1718638067,80.90619
1718638068,79.80195
1718638069,82.98609
1718638070,77.5174
1718638071,77.5413
1718638072,78.37856
1718638073,84.40566
1718638074,83.85452
1718638075,82.76083
1718638076,81.68811
1718638077,82.60417
1718638078,81.12947
1718638079,80.54882
1718638080,80.29942
1718638081,78.58834
1718638082,77.42827
1718638083,77.09668
1718638084,83.84256
1718638085,81.4133
1718638086,80.70194
1718638087,80.88232
1718638088,83.21104
1718638089,81.13929
1718638090,80.62808
1718638091,80.05148
1718638092,81.537
1718638093,80.23372
1718638094,77.98356
1718638095,77.08442
1718638096,77.10063
1718638097,85.16723
1718638098,83.06774
1718638099,81.97876
1718638100,81.61567
1718638101,84.02504
1718638102,81.32654
1718638103,81.09192
1718638104,80.72312
1718638105,82.28584
1718638106,81.05554
1718638107,80.33886
1718638108,79.37733
1718638109,78.17127
1718638110,82.95439
1718638111,81.58219
1718638112,82.48189
1718638113,81.52623
1718638114,83.45981
1718638115,81.66154
1718638116,80.46308
1718638117,79.19604
1718638118,79.72117
1718638119,79.13149
1718638120,83.21747
1718638121,81.40225
1718638122,81.19608
1718638123,84.59014
1718638124,82.16953
1718638125,81.32885
1718638126,80.89796
1718638127,82.55577
1718638128,81.32277
1718638129,79.66444
1718638130,78.18035
1718638131,77.90751
1718638132,77.64481
1718638133,81.86867
1718638134,81.76761
1718638135,81.8113
1718638136,84.40385
1718638137,81.69059
1718638138,81.03636
1718638139,80.53385
1718638140,82.57193
1718638141,78.56127
1718638142,78.25911
1718638143,77.77046
1718638144,82.78546
1718638145,81.64374
1718638146,81.48444
1718638147,84.96389
1718638148,82.22701
1718638149,81.46094
1718638150,80.47744
1718638151,83.28759
1718638152,79.18289
1718638153,78.4701
1718638154,78.07314
1718638155,82.36584
1718638156,81.79081
1718638157,81.17472
1718638158,84.44427
1718638159,81.735
1718638160,80.59385
1718638161,80.59617
1718638162,79.82391
1718638163,83.61587
1718638164,82.00339
1718638165,81.70071
1718638166,81.16205
1718638167,82.11226
1718638168,80.26824
1718638169,78.80144
1718638170,77.2854
1718638171,76.82933
1718638172,76.72654
1718638173,76.52944
1718638174,81.40353
1718638175,80.7805
1718638176,80.59234
1718638177,84.30925
1718638178,81.17782
1718638179,80.61557
1718638180,80.02951
1718638181,82.18107
1718638182,77.78505
1718638183,76.99256
1718638184,76.78191
1718638185,81.49926
1718638186,80.63235
1718638187,80.34746
1718638188,84.40984
1718638189,81.29972
1718638190,80.11742
1718638191,79.53416
1718638192,82.185
1718638193,78.14569
1718638194,76.73058
1718638195,76.20293
1718638196,81.63796
1718638197,80.79856
1718638198,80.1363
1718638199,84.0058
1718638200,80.69173
1718638201,80.04574
1718638202,79.57297
1718638203,82.67448
1718638204,78.53635
1718638205,76.97602
1718638206,76.64831
1718638207,81.86166
1718638208,80.81744
1718638209,80.49461
1718638210,80.11718
1718638211,81.48798
