bps,et
934240,1716744512
1025760,1716744513
1112320,1716744514
1198480,1716744515
1303200,1716744516
1378560,1716744517
1490080,1716744518
1564400,1716744519
1622480,1716744520
1667280,1716744521
1707360,1716744522
1747280,1716744523
1756240,1716744524
1782080,1716744525
1794000,1716744526
1848160,1716744527
1854000,1716744528
1891360,1716744529
1918000,1716744530
1939600,1716744531
1959200,1716744532
1984000,1716744533
1989920,1716744534
1965360,1716744535
1992000,1716744536
1993040,1716744537
2005840,1716744538
2001920,1716744539
2010400,1716744540
1994800,1716744541
1992000,1716744542
1987680,1716744543
1964800,1716744544
1955360,1716744545
1928000,1716744546
1891680,1716744547
1872000,1716744548
1869760,1716744549
1871120,1716744550
1870480,1716744551
1878080,1716744552
1870640,1716744553
1872000,1716744554
1902800,1716744555
1905440,1716744556
1902880,1716744557
1888000,1716744558
1884240,1716744559
1883440,1716744560
1885680,1716744561
1880000,1716744562
1872000,1716744563
1867360,1716744564
1865920,1716744565
1872000,1716744566
1888880,1716744567
1880800,1716744568
1880800,1716744569
1872000,1716744570
1875840,1716744571
1872000,1716744572
1891520,1716744573
1888080,1716744574
1886800,1716744575
1872000,1716744576
1872000,1716744577
1872000,1716744578
1888160,1716744579
1872000,1716744580
1872000,1716744581
1872000,1716744582
1872000,1716744583
1872000,1716744584
1883360,1716744585
1882880,1716744586
1872960,1716744587
1872000,1716744588
1872000,1716744589
1879200,1716744590
1867760,1716744591
1871680,1716744592
1872000,1716744593
1880000,1716744594
1881840,1716744595
1871680,1716744596
1864080,1716744597
1884400,1716744598
1884400,1716744599
1892640,1716744600
1890640,1716744601
1884880,1716744602
1891760,1716744603
1887600,1716744604
1906960,1716744605
1900800,1716744606
1892720,1716744607
1880000,1716744608
1881120,1716744609
1887200,1716744610
1872000,1716744611
1881840,1716744612
1872000,1716744613
1891600,1716744614
1880000,1716744615
1880000,1716744616
1880000,1716744617
1870400,1716744618
1872000,1716744619
1874160,1716744620
1872000,1716744621
1857040,1716744622
1861760,1716744623
1850560,1716744624
1853360,1716744625
1862160,1716744626
1858960,1716744627
1861200,1716744628
1864720,1716744629
1860640,1716744630
1856080,1716744631
1868640,1716744632
1869760,1716744633
1868160,1716744634
1861520,1716744635
1869680,1716744636
1872000,1716744637
1886240,1716744638
1883680,1716744639
1872000,1716744640
1870800,1716744641
1872000,1716744642
1882320,1716744643
1867920,1716744644
1856080,1716744645
1853360,1716744646
1859840,1716744647
1868640,1716744648
1872000,1716744649
1872000,1716744650
1864720,1716744651
1864720,1716744652
1869920,1716744653
1872000,1716744654
1881680,1716744655
1881120,1716744656
1880800,1716744657
1883440,1716744658
1885120,1716744659
1891200,1716744660
1886800,1716744661
1881440,1716744662
1880000,1716744663
1872000,1716744664
1865920,1716744665
1866560,1716744666
1867920,1716744667
1860000,1716744668
1839600,1716744669
1828400,1716744670
1832000,1716744671
1844480,1716744672
1870480,1716744673
1863760,1716744674
1864320,1716744675
1872000,1716744676
1903520,1716744677
1912000,1716744678
1913280,1716744679
1910480,1716744680
1892560,1716744681
1884000,1716744682
1884000,1716744683
1888480,1716744684
1874080,1716744685
1880000,1716744686
1872000,1716744687
1880560,1716744688
1884080,1716744689
1872000,1716744690
1872000,1716744691
1872000,1716744692
1890560,1716744693
1890400,1716744694
1888640,1716744695
1887040,1716744696
1872000,1716744697
1878800,1716744698
1887280,1716744699
1872000,1716744700
1871120,1716744701
1848080,1716744702
1854400,1716744703
1848000,1716744704
1862400,1716744705
1864720,1716744706
1872000,1716744707
1867440,1716744708
1865920,1716744709
1880000,1716744710
1872000,1716744711
1872000,1716744712
1862400,1716744713
1868560,1716744714
1860800,1716744715
1868400,1716744716
1864320,1716744717
1864560,1716744718
1868160,1716744719
1860240,1716744720
1866560,1716744721
1848000,1716744722
1854480,1716744723
1860720,1716744724
1862400,1716744725
1858640,1716744726
1856720,1716744727
1864320,1716744728
1862720,1716744729
1873680,1716744730
1876800,1716744731
1872000,1716744732
1868320,1716744733
1872000,1716744734
1886240,1716744735
1890000,1716744736
1896240,1716744737
1897520,1716744738
1889280,1716744739
1889280,1716744740
1887040,1716744741
1893680,1716744742
1891520,1716744743
1881280,1716744744
1872000,1716744745
1868160,1716744746
1861360,1716744747
1855200,1716744748
1846240,1716744749
1848240,1716744750
1853680,1716744751
1852240,1716744752
1856320,1716744753
1862480,1716744754
