fps,et
16,1716744511
20,1716744512
19,1716744513
18,1716744514
21,1716744515
17,1716744516
20,1716744517
19,1716744518
18,1716744519
21,1716744520
19,1716744521
21,1716744522
20,1716744523
19,1716744524
20,1716744525
20,1716744526
18,1716744527
22,1716744528
19,1716744529
19,1716744530
21,1716744531
19,1716744532
20,1716744533
20,1716744534
19,1716744535
18,1716744536
19,1716744537
20,1716744538
17,1716744539
20,1716744540
6,1716744541
17,1716744542
14,1716744543
4,1716744544
23,1716744545
16,1716744546
20,1716744547
20,1716744548
19,1716744549
13,1716744550
16,1716744551
21,1716744552
16,1716744553
14,1716744554
3,1716744555
15,1716744556
9,1716744557
15,1716744558
6,1716744559
17,1716744560
13,1716744561
9,1716744562
1,1716744563
11,1716744564
13,1716744565
7,1716744566
0,1716744567
9,1716744568
6,1716744569
9,1716744570
16,1716744571
9,1716744572
13,1716744573
2,1716744574
1,1716744575
9,1716744576
16,1716744577
5,1716744578
0,1716744579
0,1716744580
15,1716744581
10,1716744582
11,1716744583
0,1716744584
0,1716744585
15,1716744586
8,1716744587
0,1716744588
0,1716744589
0,1716744590
16,1716744591
9,1716744592
11,1716744593
10,1716744594
22,1716744595
18,1716744596
20,1716744597
18,1716744598
17,1716744599
9,1716744600
17,1716744601
4,1716744602
7,1716744603
0,1716744604
12,1716744605
7,1716744606
12,1716744607
16,1716744608
18,1716744609
5,1716744610
2,1716744611
20,1716744612
3,1716744613
20,1716744614
4,1716744615
1,1716744616
2,1716744617
3,1716744618
19,1716744619
1,1716744620
23,1716744621
13,1716744622
0,1716744623
6,1716744624
19,1716744625
0,1716744626
8,1716744627
15,1716744628
0,1716744629
0,1716744630
0,1716744631
0,1716744632
20,1716744633
11,1716744634
12,1716744635
16,1716744636
15,1716744637
6,1716744638
0,1716744639
0,1716744640
5,1716744641
17,1716744642
9,1716744643
0,1716744644
9,1716744645
13,1716744646
4,1716744647
12,1716744648
0,1716744649
9,1716744650
11,1716744651
5,1716744652
0,1716744653
0,1716744654
12,1716744655
19,1716744656
13,1716744657
7,1716744658
17,1716744659
11,1716744660
8,1716744661
15,1716744662
8,1716744663
10,1716744664
0,1716744665
0,1716744666
10,1716744667
21,1716744668
20,1716744669
20,1716744670
19,1716744671
20,1716744672
16,1716744673
13,1716744674
12,1716744675
21,1716744676
14,1716744677
10,1716744678
16,1716744679
15,1716744680
0,1716744681
0,1716744682
0,1716744683
5,1716744684
12,1716744685
0,1716744686
23,1716744687
4,1716744688
19,1716744689
19,1716744690
19,1716744691
21,1716744692
15,1716744693
16,1716744694
12,1716744695
13,1716744696
13,1716744697
14,1716744698
6,1716744699
10,1716744700
17,1716744701
7,1716744702
11,1716744703
7,1716744704
7,1716744705
14,1716744706
0,1716744707
0,1716744708
0,1716744709
10,1716744710
8,1716744711
5,1716744712
12,1716744713
17,1716744714
5,1716744715
7,1716744716
8,1716744717
0,1716744718
12,1716744719
0,1716744720
15,1716744721
13,1716744722
18,1716744723
10,1716744724
8,1716744725
18,1716744726
21,1716744727
11,1716744728
11,1716744729
19,1716744730
13,1716744731
7,1716744732
0,1716744733
17,1716744734
11,1716744735
11,1716744736
0,1716744737
13,1716744738
16,1716744739
11,1716744740
15,1716744741
0,1716744742
0,1716744743
16,1716744744
18,1716744745
0,1716744746
12,1716744747
8,1716744748
2,1716744749
0,1716744750
7,1716744751
12,1716744752
0,1716744753
