fps,et,screenshots_num
4,1718533470,11
14,1718533471,43
9,1718533472,49
9,1718533473,49
14,1718533474,45
17,1718533475,40
16,1718533476,42
16,1718533477,44
15,1718533478,42
17,1718533479,45
16,1718533480,41
17,1718533481,44
16,1718533482,42
17,1718533483,43
16,1718533484,45
16,1718533485,44
12,1718533486,44
10,1718533487,48
12,1718533488,46
17,1718533489,43
16,1718533490,43
16,1718533491,42
17,1718533492,44
16,1718533493,41
17,1718533494,41
16,1718533495,45
15,1718533496,43
16,1718533497,41
14,1718533498,44
16,1718533499,43
14,1718533500,43
10,1718533501,36
10,1718533502,45
16,1718533503,43
17,1718533504,43
15,1718533505,45
17,1718533506,44
15,1718533507,43
17,1718533508,41
16,1718533509,43
15,1718533510,43
14,1718533511,45
16,1718533512,45
14,1718533513,46
13,1718533514,46
11,1718533515,47
13,1718533516,46
17,1718533517,43
15,1718533518,40
17,1718533519,43
16,1718533520,41
17,1718533521,42
14,1718533522,45
15,1718533523,43
16,1718533524,43
15,1718533525,44
14,1718533526,46
10,1718533527,47
12,1718533528,46
16,1718533529,43
17,1718533530,42
16,1718533531,45
16,1718533532,43
16,1718533533,43
17,1718533534,43
15,1718533535,45
16,1718533536,44
14,1718533537,42
16,1718533538,46
11,1718533539,47
9,1718533540,50
8,1718533541,48
16,1718533542,43
17,1718533543,42
16,1718533544,45
17,1718533545,44
17,1718533546,41
16,1718533547,46
16,1718533548,41
17,1718533549,42
16,1718533550,44
16,1718533551,41
17,1718533552,44
16,1718533553,43
14,1718533554,45
14,1718533555,44
14,1718533556,46
11,1718533557,48
11,1718533558,48
16,1718533559,42
17,1718533560,43
15,1718533561,35
17,1718533562,41
16,1718533563,45
16,1718533564,43
17,1718533565,43
14,1718533566,46
15,1718533567,43
14,1718533568,45
14,1718533569,45
10,1718533570,48
9,1718533571,49
16,1718533572,44
16,1718533573,42
17,1718533574,42
16,1718533575,43
17,1718533576,44
17,1718533577,43
16,1718533578,43
17,1718533579,43
16,1718533580,44
15,1718533581,48
14,1718533582,44
14,1718533583,44
11,1718533584,48
10,1718533585,48
17,1718533586,43
15,1718533587,45
17,1718533588,45
16,1718533589,41
17,1718533590,42
16,1718533591,45
17,1718533592,43
15,1718533593,45
14,1718533594,46
12,1718533595,47
12,1718533596,46
16,1718533597,46
17,1718533598,45
16,1718533599,42
17,1718533600,43
16,1718533601,46
15,1718533602,45
16,1718533603,46
14,1718533604,45
15,1718533605,43
14,1718533606,46
10,1718533607,49
11,1718533608,49
17,1718533609,44
16,1718533610,43
16,1718533611,42
16,1718533612,46
17,1718533613,44
16,1718533614,43
17,1718533615,43
14,1718533616,45
15,1718533617,43
14,1718533618,45
12,1718533619,46
13,1718533620,46
11,1718533621,36
17,1718533622,44
17,1718533623,45
16,1718533624,43
16,1718533625,44
17,1718533626,44
15,1718533627,46
15,1718533628,42
14,1718533629,45
16,1718533630,45
13,1718533631,44
11,1718533632,51
15,1718533633,44
16,1718533634,42
17,1718533635,43
16,1718533636,44
17,1718533637,45
14,1718533638,48
15,1718533639,43
16,1718533640,44
14,1718533641,47
15,1718533642,44
14,1718533643,45
12,1718533644,48
13,1718533645,47
17,1718533646,43
16,1718533647,42
17,1718533648,43
15,1718533649,44
16,1718533650,44
14,1718533651,45
15,1718533652,46
15,1718533653,44
13,1718533654,48
10,1718533655,48
13,1718533656,46
16,1718533657,43
16,1718533658,44
17,1718533659,44
16,1718533660,43
17,1718533661,47
16,1718533662,45
15,1718533663,42
15,1718533664,44
14,1718533665,45
14,1718533666,47
10,1718533667,47
13,1718533668,46
16,1718533669,46
16,1718533670,44
17,1718533671,45
16,1718533672,43
17,1718533673,45
16,1718533674,44
16,1718533675,44
14,1718533676,46
14,1718533677,46
12,1718533678,49
14,1718533679,46
17,1718533680,43
16,1718533681,33
17,1718533682,43
15,1718533683,42
15,1718533684,45
16,1718533685,43
14,1718533686,48
16,1718533687,46
14,1718533688,46
15,1718533689,46
10,1718533690,48
11,1718533691,48
16,1718533692,44
15,1718533693,44
17,1718533694,44
16,1718533695,43
17,1718533696,43
16,1718533697,43
17,1718533698,41
14,1718533699,46
16,1718533700,43
14,1718533701,44
15,1718533702,45
9,1718533703,49
13,1718533704,46
16,1718533705,44
16,1718533706,42
17,1718533707,40
16,1718533708,42
16,1718533709,44
17,1718533710,42
15,1718533711,46
