fps,et
6,1716734601
19,1716734602
19,1716734603
19,1716734604
19,1716734605
18,1716734606
14,1716734607
0,1716734608
0,1716734609
0,1716734610
9,1716734611
18,1716734612
20,1716734613
19,1716734614
19,1716734615
21,1716734616
19,1716734617
21,1716734618
20,1716734619
20,1716734620
19,1716734621
19,1716734622
20,1716734623
20,1716734624
17,1716734625
20,1716734626
20,1716734627
20,1716734628
19,1716734629
19,1716734630
20,1716734631
19,1716734632
19,1716734633
19,1716734634
19,1716734635
19,1716734636
19,1716734637
21,1716734638
19,1716734639
20,1716734640
19,1716734641
20,1716734642
20,1716734643
20,1716734644
19,1716734645
19,1716734646
19,1716734647
19,1716734648
21,1716734649
17,1716734650
20,1716734651
20,1716734652
19,1716734653
20,1716734654
19,1716734655
20,1716734656
19,1716734657
21,1716734658
18,1716734659
19,1716734660
19,1716734661
15,1716734662
17,1716734663
18,1716734664
21,1716734665
19,1716734666
19,1716734667
20,1716734668
20,1716734669
20,1716734670
18,1716734671
20,1716734672
19,1716734673
19,1716734674
19,1716734675
21,1716734676
20,1716734677
20,1716734678
20,1716734679
18,1716734680
20,1716734681
20,1716734682
21,1716734683
18,1716734684
19,1716734685
20,1716734686
18,1716734687
20,1716734688
21,1716734689
21,1716734690
19,1716734691
20,1716734692
20,1716734693
19,1716734694
19,1716734695
19,1716734696
18,1716734697
19,1716734698
18,1716734699
20,1716734700
18,1716734701
21,1716734702
19,1716734703
17,1716734704
22,1716734705
17,1716734706
20,1716734707
18,1716734708
23,1716734709
18,1716734710
21,1716734711
20,1716734712
19,1716734713
20,1716734714
20,1716734715
18,1716734716
19,1716734717
19,1716734718
18,1716734719
20,1716734720
19,1716734721
20,1716734722
19,1716734723
20,1716734724
19,1716734725
20,1716734726
18,1716734727
19,1716734728
19,1716734729
18,1716734730
19,1716734731
21,1716734732
21,1716734733
19,1716734734
19,1716734735
18,1716734736
19,1716734737
21,1716734738
20,1716734739
20,1716734740
20,1716734741
21,1716734742
17,1716734743
20,1716734744
19,1716734745
18,1716734746
21,1716734747
19,1716734748
18,1716734749
20,1716734750
19,1716734751
20,1716734752
18,1716734753
21,1716734754
18,1716734755
21,1716734756
21,1716734757
19,1716734758
19,1716734759
20,1716734760
19,1716734761
21,1716734762
21,1716734763
19,1716734764
21,1716734765
19,1716734766
20,1716734767
20,1716734768
20,1716734769
19,1716734770
19,1716734771
19,1716734772
19,1716734773
19,1716734774
20,1716734775
21,1716734776
19,1716734777
20,1716734778
20,1716734779
19,1716734780
19,1716734781
20,1716734782
19,1716734783
20,1716734784
20,1716734785
20,1716734786
19,1716734787
19,1716734788
16,1716734789
21,1716734790
20,1716734791
19,1716734792
20,1716734793
19,1716734794
18,1716734795
21,1716734796
21,1716734797
19,1716734798
21,1716734799
19,1716734800
20,1716734801
20,1716734802
19,1716734803
18,1716734804
21,1716734805
18,1716734806
19,1716734807
20,1716734808
19,1716734809
19,1716734810
20,1716734811
21,1716734812
19,1716734813
20,1716734814
19,1716734815
20,1716734816
20,1716734817
19,1716734818
18,1716734819
23,1716734820
18,1716734821
18,1716734822
21,1716734823
21,1716734824
19,1716734825
19,1716734826
17,1716734827
21,1716734828
19,1716734829
19,1716734830
20,1716734831
20,1716734832
20,1716734833
20,1716734834
19,1716734835
22,1716734836
19,1716734837
19,1716734838
20,1716734839
20,1716734840
18,1716734841
18,1716734842
15,1716734843
