et,brisque,piqe
1716734603,44.65883,27.10265
1716734604,45.54079,28.80905
1716734605,43.88965,27.33264
1716734606,43.50506,26.90004
1716734607,44.43357,28.75594
1716734608,44.3723,28.88483
1716734609,44.35134,28.97644
1716734610,44.43802,28.7841
1716734611,48.57408,31.18385
1716734612,44.75801,27.46448
1716734613,43.90945,29.20327
1716734614,44.42329,27.48388
1716734615,45.20662,28.44849
1716734616,45.06792,27.91613
1716734617,45.1,28.47595
1716734618,45.08893,27.71629
1716734619,44.66221,28.83829
1716734620,44.86469,28.23573
1716734621,44.79141,28.5049
1716734622,44.90495,27.67733
1716734623,44.94766,26.99199
1716734624,44.89466,27.98474
1716734625,43.90634,26.72553
1716734626,44.76585,27.40573
1716734627,44.31598,26.29101
1716734628,43.84132,27.87016
1716734629,43.91636,26.26053
1716734630,44.81497,27.4219
1716734631,44.45891,27.44818
1716734632,44.337,26.0337
1716734633,44.74211,26.45268
1716734634,44.66992,27.73747
1716734635,45.17892,27.47476
1716734636,44.38443,27.41192
1716734637,43.62088,27.94674
1716734638,43.40042,27.65926
1716734639,43.09106,27.52746
1716734640,43.23054,27.31721
1716734641,42.9605,27.54499
1716734642,44.07955,29.37902
1716734643,44.38549,27.53138
1716734644,43.58114,27.51837
1716734645,43.57347,27.89296
1716734646,43.68059,27.51027
1716734647,44.51418,27.31905
1716734648,44.64882,27.09919
1716734649,44.81943,28.89704
1716734650,44.16104,27.64532
1716734651,44.91692,26.92894
1716734652,44.95426,27.53424
1716734653,44.48382,28.1628
1716734654,44.3655,29.21228
1716734655,44.45109,27.05016
1716734656,44.52262,29.37426
1716734657,43.94358,28.21356
1716734658,44.55478,27.32666
1716734659,44.04047,27.49169
1716734660,43.67627,26.21737
1716734661,44.25426,26.08972
1716734662,43.88523,27.30134
1716734663,45.73138,28.39664
1716734664,44.34405,27.93623
1716734665,44.40585,27.77909
1716734666,44.97401,27.60008
1716734667,46.2765,27.41419
1716734668,44.69273,27.32758
1716734669,44.05604,27.24918
1716734670,44.88768,26.90561
1716734671,45.18106,25.6737
1716734672,43.06593,25.35144
1716734673,43.64449,26.1067
1716734674,42.7797,25.12799
1716734675,43.17724,26.21304
1716734676,42.88974,24.82092
1716734677,42.65328,26.84533
1716734678,44.84981,27.39009
1716734679,43.76064,27.47399
1716734680,44.5073,29.03045
1716734681,43.33994,27.39755
1716734682,43.07819,26.88686
1716734683,42.88659,27.57452
1716734684,43.03452,27.67049
1716734685,43.41264,28.02395
1716734686,42.66904,26.4501
1716734687,42.83444,26.63151
1716734688,42.83945,25.85164
1716734689,43.24911,26.7518
1716734690,42.87419,26.6383
1716734691,42.21427,27.96132
1716734692,42.46658,26.85819
1716734693,43.17595,25.93968
1716734694,42.46834,24.9355
1716734695,43.30232,26.7047
1716734696,42.35438,26.05636
1716734697,42.75481,24.90226
1716734698,43.16034,25.18951
1716734699,42.5252,25.85512
1716734700,42.08468,25.52046
1716734701,43.43726,27.17821
1716734702,43.72796,26.29597
1716734703,42.79599,26.89709
1716734704,43.19245,25.52355
1716734705,42.86615,25.61658
1716734706,44.24017,27.29579
1716734707,43.11063,25.12406
1716734708,42.90925,25.50668
1716734709,42.85046,26.62188
1716734710,43.1662,25.9967
1716734711,42.55769,25.68841
1716734712,42.23267,26.59421
1716734713,42.50268,26.64633
1716734714,42.44176,26.72647
1716734715,42.43742,26.74628
1716734716,42.75995,26.9521
1716734717,43.07312,26.43387
1716734718,43.13973,26.17518
1716734719,42.81274,27.33027
1716734720,43.21407,26.07323
1716734721,43.22231,24.98348
1716734722,44.77194,26.37778
1716734723,45.69626,25.96235
1716734724,44.95376,27.66849
1716734725,44.54583,25.70475
1716734726,43.78803,27.00146
1716734727,43.45882,25.24778
1716734728,44.47763,27.08197
1716734729,44.48763,26.5983
1716734730,44.37264,27.34533
1716734731,42.55773,27.15621
1716734732,43.72716,26.23032
1716734733,44.00578,28.98969
1716734734,44.52365,26.40044
1716734735,43.04581,26.48161
1716734736,42.50362,26.86352
1716734737,43.09167,26.66842
1716734738,43.23261,28.45926
1716734739,42.72298,27.40729
1716734740,42.6481,26.4441
1716734741,43.61771,28.11732
1716734742,44.18643,28.14484
1716734743,43.81679,25.78781
1716734744,42.90764,27.07434
1716734745,42.38616,25.78038
1716734746,43.10325,26.19667
1716734747,43.002,26.98591
1716734748,43.56916,27.56774
1716734749,43.41471,26.57751
1716734750,43.41492,26.10436
1716734751,42.99068,27.89615
1716734752,43.65027,26.24195
1716734753,42.51628,26.67249
1716734754,42.86854,25.77608
1716734755,43.76871,26.51958
1716734756,42.53621,27.43467
1716734757,42.90155,27.7617
1716734758,42.90615,26.05098
1716734759,42.19608,28.4083
1716734760,42.9917,26.62699
1716734761,43.53791,27.53537
1716734762,43.56929,26.306
1716734763,43.28934,27.1159
1716734764,43.0496,28.2848
1716734765,43.04605,27.79852
1716734766,43.11827,28.35372
1716734767,42.77788,27.27002
1716734768,42.13389,25.90723
1716734769,43.27302,26.87347
1716734770,43.12604,28.03321
1716734771,43.13056,26.05561
1716734772,42.17125,26.88761
1716734773,42.96471,24.36597
1716734774,42.23208,27.47595
1716734775,42.0278,26.46433
1716734776,42.92618,25.00347
1716734777,42.40775,25.69438
1716734778,42.99206,24.28452
1716734779,43.02221,27.30857
1716734780,43.96286,25.92293
1716734781,43.40531,25.89285
1716734782,42.38739,24.86978
1716734783,43.53499,26.49534
1716734784,43.01706,26.29973
1716734785,43.0311,27.01896
1716734786,43.04918,26.14527
1716734787,42.41614,26.97328
1716734788,42.38982,27.86186
1716734789,41.84132,27.19774
1716734790,41.99367,25.31261
1716734791,41.78151,27.0339
1716734792,42.49315,26.88152
1716734793,43.53646,26.92447
1716734794,42.74398,25.38514
1716734795,43.14715,25.45437
1716734796,44.83882,26.33403
1716734797,43.9801,27.80196
1716734798,44.36942,28.02048
1716734799,43.32737,27.24444
1716734800,43.23472,26.83629
1716734801,43.16351,27.64282
1716734802,42.92795,26.56254
1716734803,42.45754,26.10449
1716734804,42.12603,25.28333
1716734805,43.08671,26.39232
1716734806,43.5459,25.46626
1716734807,43.24952,27.22524
1716734808,43.38035,25.60484
1716734809,43.07865,26.1686
1716734810,42.87968,26.50529
1716734811,42.94479,25.55317
1716734812,43.07439,26.20962
1716734813,43.1037,26.27842
1716734814,43.72174,27.58738
1716734815,44.46814,26.9109
1716734816,44.00958,27.01768
1716734817,44.04143,26.44793
1716734818,50.4728,25.91946
1716734819,48.88281,25.8568
1716734820,47.17279,27.08455
1716734821,47.2812,26.40993
1716734822,46.02047,27.78619
1716734823,47.54289,25.74758
1716734824,48.44221,28.1041
1716734825,46.31427,26.83742
1716734826,45.74517,27.55726
1716734827,43.81883,27.52388
1716734828,44.6238,25.66066
1716734829,45.63676,26.33816
1716734830,44.08181,27.06884
1716734831,42.62917,25.91263
1716734832,43.67359,26.32879
1716734833,42.86808,25.72551
1716734834,42.42054,24.82355
1716734835,42.08039,25.99415
1716734836,43.04942,25.33343
1716734837,43.18806,24.5835
1716734838,43.11336,24.36556
1716734839,42.70416,25.36267
1716734840,42.46454,25.37171
1716734841,43.37256,25.78254
1716734842,43.2638,25.36598
1716734843,43.3982,25.37752
1716734844,42.34774,26.09824
