et,brisque,piqe
1718613321,79.09789,49.94098
1718613322,77.27892,56.54882
1718613323,76.02334,55.37061
1718613324,75.91731,54.46889
1718613325,83.30556,49.04315
1718613326,80.7435,48.21686
1718613327,80.61567,49.84175
1718613328,81.51847,49.42033
1718613329,82.9257,48.90656
1718613330,80.43991,50.17247
1718613331,79.61085,49.96162
1718613332,79.47033,50.015
1718613333,81.0552,50.07562
1718613334,77.35293,54.19912
1718613335,76.51936,56.33815
1718613336,75.94516,55.34134
1718613337,75.73833,56.44363
1718613338,75.57189,55.82626
1718613339,80.25985,48.75948
1718613340,79.77311,47.38789
1718613341,79.7291,47.45624
1718613342,83.24281,48.68541
1718613343,80.27303,49.6302
1718613344,79.62893,47.85402
1718613345,78.89032,49.25496
1718613346,80.60967,48.61538
1718613347,79.26793,50.35958
1718613348,76.12472,56.12046
1718613349,75.76771,55.47008
1718613350,75.31164,55.36967
1718613351,75.26427,54.66464
1718613352,80.79717,48.40243
1718613353,79.71096,47.49139
1718613354,79.74494,49.73064
1718613355,79.73469,47.50636
1718613356,81.28249,49.71623
1718613357,80.43783,46.90025
1718613358,79.51234,49.36314
1718613359,82.06796,49.13931
1718613360,79.62585,47.73281
1718613361,77.26483,54.54466
1718613362,75.77522,56.46216
1718613363,75.78763,55.99843
1718613364,75.3232,55.58365
1718613365,80.79372,48.84793
1718613366,80.26946,48.26831
1718613367,80.41255,47.52441
1718613368,82.15032,49.25557
1718613369,79.44171,49.67087
1718613370,78.94824,49.74744
1718613371,79.33584,48.48627
1718613372,80.43893,48.69822
1718613373,79.17224,48.61065
1718613374,76.67342,54.89958
1718613375,76.38737,54.97175
1718613376,75.28517,55.21753
1718613377,75.52791,56.25282
1718613378,83.24554,48.75736
1718613379,80.61179,50.9617
1718613380,80.73223,50.28868
1718613381,80.74872,50.7945
1718613382,82.03524,50.4858
1718613383,79.60001,49.42067
1718613384,79.50508,49.62132
1718613385,78.87807,50.95659
1718613386,79.81654,48.86738
1718613387,78.77299,51.05638
1718613388,78.2943,51.10122
1718613389,75.58546,56.66656
1718613390,74.52808,56.73209
1718613391,74.37177,58.04796
1718613392,74.36095,55.84126
1718613393,79.64748,50.84962
1718613394,78.95848,50.93041
1718613395,78.76818,49.16612
1718613396,82.10121,49.8302
1718613397,79.52365,49.3701
1718613398,78.67766,49.30534
1718613399,78.29604,49.54213
1718613400,80.23902,47.48413
1718613401,77.11192,55.48044
1718613402,76.07862,54.33816
1718613403,75.59539,54.36808
1718613404,75.46404,55.06628
1718613405,82.92656,47.62455
1718613406,80.75319,48.90428
1718613407,79.89382,50.92901
1718613408,79.84974,50.22232
1718613409,81.81846,49.08308
1718613410,80.33068,49.63119
1718613411,79.74891,46.85673
1718613412,79.37078,48.30411
1718613413,78.06125,55.65556
1718613414,76.49057,54.80304
1718613415,76.19006,55.70503
1718613416,75.83226,55.84695
1718613417,81.57171,48.07979
1718613418,80.47062,49.25154
1718613419,80.60535,48.34741
1718613420,80.50511,49.34237
1718613421,81.00747,49.49862
1718613422,80.15855,49.43703
1718613423,79.96161,49.20393
1718613424,81.39673,49.22442
1718613425,79.37894,49.01
1718613426,79.20441,48.91075
1718613427,78.86746,48.26124
1718613428,76.05009,55.29184
1718613429,76.04403,55.37396
1718613430,82.29989,48.58338
1718613431,80.28607,50.37002
1718613432,79.87839,49.55801
1718613433,79.53339,49.33815
1718613434,80.95544,47.4083
1718613435,79.69569,51.11634
1718613436,79.37672,47.48042
1718613437,79.26385,48.87099
1718613438,79.91071,46.00697
1718613439,79.4514,48.26873
1718613440,76.56862,55.98442
1718613441,76.14388,56.31591
1718613442,82.13676,48.63505
1718613443,81.3518,49.82516
1718613444,80.1533,45.45352
1718613445,79.51077,49.54883
1718613446,81.7701,46.3934
1718613447,79.6831,48.82864
1718613448,79.81137,47.72931
1718613449,79.29406,48.27885
1718613450,80.21264,50.75127
1718613451,79.46462,47.4869
1718613452,78.70754,49.89114
1718613453,77.35668,55.22143
1718613454,75.88385,57.40059
1718613455,75.8574,57.18869
1718613456,80.51955,49.66236
1718613457,79.87597,50.30159
1718613458,79.69451,49.09766
1718613459,82.32456,46.99239
1718613460,80.22921,46.24424
1718613461,79.37966,49.80065
1718613462,79.2974,49.01023
1718613463,80.95926,48.18904
1718613464,77.67885,54.96196
1718613465,76.32752,55.49665
1718613466,75.94167,57.41991
1718613467,75.70992,54.82189
1718613468,80.74827,50.00523
1718613469,79.83378,47.47001
1718613470,79.70835,48.08574
1718613471,82.12574,46.12973
1718613472,80.46027,49.41557
1718613473,80.18817,48.76966
1718613474,79.729,49.95613
1718613475,81.45097,49.2097
1718613476,80.6057,47.01773
1718613477,77.3482,54.72971
1718613478,76.4374,54.85764
1718613479,76.2143,55.36474
1718613480,75.82885,55.08174
1718613481,81.49372,49.55219
1718613482,80.4178,46.82816
1718613483,80.06418,49.9129
1718613484,82.89952,49.91659
1718613485,80.51895,50.4561
1718613486,80.03112,51.45758
1718613487,79.48978,50.33078
1718613488,81.5194,48.18787
1718613489,79.48783,48.90679
1718613490,79.10105,50.92634
1718613491,79.71746,50.37419
1718613492,79.10279,55.11229
1718613493,79.2229,54.22081
1718613494,75.68708,55.09477
1718613495,81.6125,49.24217
1718613496,79.7873,48.25224
1718613497,79.13831,48.71118
1718613498,82.43086,50.5931
1718613499,79.36495,47.80114
1718613500,78.81321,50.53561
1718613501,77.89895,49.72116
1718613502,80.02431,48.8692
1718613503,76.113,55.17184
1718613504,75.16546,56.60482
1718613505,74.70938,56.0265
1718613506,74.25824,55.21294
1718613507,74.19397,54.99509
1718613508,79.5902,47.95345
1718613509,78.92761,49.91321
1718613510,78.96407,50.15672
1718613511,82.31401,49.37672
1718613512,79.96019,50.66116
1718613513,78.56982,50.63761
1718613514,78.39852,46.59449
1718613515,80.95663,48.49227
1718613516,75.9518,57.14906
1718613517,75.38385,57.36565
1718613518,79.72361,49.29616
1718613519,79.76346,49.85732
1718613520,79.30063,50.88698
1718613521,82.22546,49.12318
1718613522,79.64405,50.55279
1718613523,79.52478,50.33696
1718613524,78.63337,51.0846
1718613525,80.76895,47.67544
1718613526,76.0656,56.53709
1718613527,75.31654,56.34761
1718613528,74.78421,55.28632
1718613529,79.67408,50.411
1718613530,79.49162,49.67324
1718613531,78.1459,49.37072
1718613532,79.71024,49.96208
1718613533,78.83955,45.13012
1718613534,80.12937,48.46298
1718613535,79.17513,49.33245
1718613536,77.82737,55.65784
1718613537,76.1859,56.62258
1718613538,75.26097,56.21682
1718613539,81.84679,46.78312
1718613540,80.95212,49.44444
1718613541,80.50734,50.35207
1718613542,79.8411,48.10657
1718613543,81.00179,49.52455
1718613544,79.4517,46.2569
1718613545,78.49781,48.55433
1718613546,78.32366,48.32207
1718613547,76.70904,54.88252
1718613548,75.23792,56.20522
1718613549,75.19201,55.86541
1718613550,82.2908,49.35754
1718613551,79.24993,45.57899
1718613552,79.15169,47.16058
1718613553,78.51537,49.1073
1718613554,80.35529,49.21497
1718613555,78.88219,48.8231
1718613556,78.27227,48.27625
1718613557,77.95643,48.47764
1718613558,75.46995,55.84489
1718613559,74.73369,56.41111
1718613560,74.64633,55.14622
1718613561,79.71516,48.32335
1718613562,78.98336,50.25562
