fps,et,screenshots_num
3,1719156219,4
20,1719156220,39
20,1719156221,46
20,1719156222,46
20,1719156223,45
20,1719156224,45
19,1719156225,41
21,1719156226,47
20,1719156227,43
19,1719156228,43
19,1719156229,42
21,1719156230,43
20,1719156231,45
19,1719156232,43
20,1719156233,44
20,1719156234,44
20,1719156235,47
20,1719156236,41
21,1719156237,43
19,1719156238,45
19,1719156239,42
20,1719156240,44
20,1719156241,43
20,1719156242,46
20,1719156243,45
20,1719156244,42
20,1719156245,45
21,1719156246,45
20,1719156247,44
19,1719156248,45
21,1719156249,46
19,1719156250,43
20,1719156251,43
19,1719156252,41
20,1719156253,45
20,1719156254,41
20,1719156255,43
19,1719156256,46
20,1719156257,42
21,1719156258,43
18,1719156259,45
20,1719156260,44
20,1719156261,49
19,1719156262,42
22,1719156263,43
19,1719156264,43
20,1719156265,44
19,1719156266,44
20,1719156267,40
20,1719156268,47
21,1719156269,47
20,1719156270,46
9,1719156271,48
4,1719156272,56
8,1719156273,50
11,1719156274,52
15,1719156275,46
16,1719156276,44
17,1719156277,44
19,1719156278,43
22,1719156279,43
21,1719156280,43
22,1719156281,46
18,1719156282,48
20,1719156283,47
19,1719156284,41
18,1719156285,45
15,1719156286,49
13,1719156287,53
18,1719156288,43
16,1719156289,45
16,1719156290,46
17,1719156291,44
16,1719156292,47
19,1719156293,45
21,1719156294,46
20,1719156295,41
20,1719156296,44
16,1719156297,46
19,1719156298,47
19,1719156299,44
19,1719156300,48
15,1719156301,46
16,1719156302,45
15,1719156303,47
16,1719156304,46
17,1719156305,47
16,1719156306,45
16,1719156307,47
16,1719156308,45
18,1719156309,45
21,1719156310,44
20,1719156311,42
19,1719156312,44
17,1719156313,49
20,1719156314,45
20,1719156315,46
18,1719156316,46
21,1719156317,43
21,1719156318,41
20,1719156319,45
19,1719156320,43
20,1719156321,44
19,1719156322,44
20,1719156323,46
20,1719156324,40
20,1719156325,46
20,1719156326,44
20,1719156327,42
20,1719156328,46
20,1719156329,43
20,1719156330,48
20,1719156331,41
20,1719156332,42
20,1719156333,46
20,1719156334,44
19,1719156335,47
20,1719156336,44
20,1719156337,46
20,1719156338,47
19,1719156339,44
20,1719156340,43
19,1719156341,48
21,1719156342,44
19,1719156343,46
19,1719156344,43
19,1719156345,45
20,1719156346,48
20,1719156347,43
20,1719156348,44
19,1719156349,42
20,1719156350,45
21,1719156351,45
19,1719156352,47
19,1719156353,45
20,1719156354,44
19,1719156355,47
20,1719156356,44
18,1719156357,44
22,1719156358,44
20,1719156359,45
20,1719156360,47
19,1719156361,36
20,1719156362,43
20,1719156363,39
20,1719156364,44
19,1719156365,45
20,1719156366,42
21,1719156367,50
19,1719156368,48
20,1719156369,44
20,1719156370,49
19,1719156371,41
20,1719156372,44
20,1719156373,44
20,1719156374,42
20,1719156375,46
18,1719156376,47
21,1719156377,44
20,1719156378,44
20,1719156379,40
19,1719156380,45
20,1719156381,46
20,1719156382,53
12,1719156383,50
6,1719156384,55
0,1719156385,57
22,1719156386,39
17,1719156387,45
16,1719156388,46
16,1719156389,46
15,1719156390,46
15,1719156391,45
16,1719156392,45
20,1719156393,48
20,1719156394,44
20,1719156395,45
17,1719156396,46
20,1719156397,43
20,1719156398,44
19,1719156399,44
16,1719156400,52
15,1719156401,48
15,1719156402,47
17,1719156403,45
16,1719156404,45
16,1719156405,48
17,1719156406,46
15,1719156407,48
16,1719156408,47
18,1719156409,45
22,1719156410,42
21,1719156411,43
17,1719156412,48
20,1719156413,42
21,1719156414,40
19,1719156415,40
16,1719156416,45
15,1719156417,49
11,1719156418,48
13,1719156419,51
17,1719156420,46
16,1719156421,44
16,1719156422,45
17,1719156423,45
16,1719156424,45
17,1719156425,45
20,1719156426,41
21,1719156427,44
22,1719156428,47
21,1719156429,46
21,1719156430,45
20,1719156431,44
18,1719156432,42
16,1719156433,47
14,1719156434,50
6,1719156435,52
19,1719156436,46
16,1719156437,45
16,1719156438,48
17,1719156439,43
16,1719156440,44
17,1719156441,45
16,1719156442,44
18,1719156443,44
21,1719156444,48
21,1719156445,44
20,1719156446,47
20,1719156447,46
20,1719156448,44
16,1719156449,46
15,1719156450,48
9,1719156451,50
0,1719156452,57
22,1719156453,38
15,1719156454,46
14,1719156455,46
15,1719156456,45
15,1719156457,44
17,1719156458,42
21,1719156459,44
21,1719156460,46
