,precision,recall,f1
0,0.8303030303030303,0.807909604519774,0.8184143222506394
1,0.8674242424242424,0.8038847117794486,0.8300854700854701
2,0.9696969696969697,0.7777777777777778,0.8415178571428572
3,0.8895089285714286,0.7643939393939394,0.8091397849462365
4,0.8172043010752688,0.8511904761904762,0.8329411764705883
5,0.9136904761904762,0.8418032786885246,0.8727598566308243
6,0.8705128205128205,0.7189393939393939,0.7661176470588236
7,0.6986607142857143,0.7696969696969698,0.726923076923077
8,0.807909604519774,0.8303030303030303,0.8184143222506394
9,0.9207589285714286,0.9207589285714286,0.9207589285714286
