fps,et,screenshots_num
10,1721395622,18
19,1721395623,37
20,1721395624,39
20,1721395625,41
21,1721395626,40
17,1721395627,42
20,1721395628,39
20,1721395629,42
20,1721395630,43
20,1721395631,38
19,1721395632,40
20,1721395633,41
20,1721395634,38
19,1721395635,42
20,1721395636,41
20,1721395637,38
20,1721395638,43
20,1721395639,40
19,1721395640,39
20,1721395641,39
21,1721395642,39
19,1721395643,42
20,1721395644,40
19,1721395645,41
20,1721395646,40
20,1721395647,41
21,1721395648,40
18,1721395649,40
20,1721395650,41
19,1721395651,41
20,1721395652,42
20,1721395653,42
19,1721395654,42
20,1721395655,40
19,1721395656,39
20,1721395657,43
20,1721395658,40
20,1721395659,42
19,1721395660,41
21,1721395661,41
20,1721395662,40
19,1721395663,42
20,1721395664,39
20,1721395665,42
20,1721395666,41
20,1721395667,39
20,1721395668,40
20,1721395669,40
20,1721395670,40
19,1721395671,42
19,1721395672,42
20,1721395673,40
19,1721395674,44
21,1721395675,41
21,1721395676,38
18,1721395677,42
20,1721395678,41
20,1721395679,40
19,1721395680,42
20,1721395681,38
20,1721395682,43
20,1721395683,42
20,1721395684,41
20,1721395685,43
20,1721395686,42
21,1721395687,41
19,1721395688,40
20,1721395689,40
19,1721395690,44
20,1721395691,42
20,1721395692,41
20,1721395693,40
20,1721395694,41
19,1721395695,38
20,1721395696,39
19,1721395697,40
20,1721395698,40
20,1721395699,41
20,1721395700,40
20,1721395701,43
20,1721395702,41
19,1721395703,42
20,1721395704,40
20,1721395705,43
20,1721395706,42
20,1721395707,43
20,1721395708,44
20,1721395709,44
20,1721395710,42
19,1721395711,42
20,1721395712,42
20,1721395713,40
20,1721395714,41
19,1721395715,46
19,1721395716,37
19,1721395717,35
20,1721395718,37
20,1721395719,45
19,1721395720,42
19,1721395721,44
20,1721395722,40
21,1721395723,40
19,1721395724,48
20,1721395725,42
19,1721395726,45
20,1721395727,42
20,1721395728,44
19,1721395729,39
20,1721395730,42
20,1721395731,41
19,1721395732,43
20,1721395733,41
20,1721395734,40
20,1721395735,42
20,1721395736,42
20,1721395737,41
19,1721395738,41
19,1721395739,40
20,1721395740,40
18,1721395741,40
21,1721395742,40
20,1721395743,41
20,1721395744,40
20,1721395745,40
21,1721395746,40
18,1721395747,40
19,1721395748,42
19,1721395749,42
19,1721395750,43
20,1721395751,42
20,1721395752,46
19,1721395753,44
19,1721395754,44
20,1721395755,40
20,1721395756,38
20,1721395757,42
19,1721395758,41
19,1721395759,38
21,1721395760,40
19,1721395761,40
19,1721395762,37
19,1721395763,37
19,1721395764,35
20,1721395765,38
19,1721395766,38
20,1721395767,40
20,1721395768,41
19,1721395769,40
19,1721395770,41
19,1721395771,40
20,1721395772,38
20,1721395773,41
20,1721395774,40
20,1721395775,40
20,1721395776,38
19,1721395777,41
20,1721395778,41
20,1721395779,43
20,1721395780,41
20,1721395781,42
19,1721395782,41
19,1721395783,40
19,1721395784,40
20,1721395785,42
19,1721395786,41
20,1721395787,42
20,1721395788,42
19,1721395789,41
19,1721395790,42
20,1721395791,43
20,1721395792,40
20,1721395793,40
20,1721395794,41
20,1721395795,39
20,1721395796,42
20,1721395797,40
19,1721395798,41
21,1721395799,41
18,1721395800,40
19,1721395801,39
20,1721395802,41
20,1721395803,41
19,1721395804,42
19,1721395805,41
20,1721395806,41
20,1721395807,41
20,1721395808,42
20,1721395809,38
20,1721395810,39
20,1721395811,41
20,1721395812,39
20,1721395813,41
19,1721395814,41
20,1721395815,41
20,1721395816,39
19,1721395817,41
20,1721395818,39
18,1721395819,39
21,1721395820,40
20,1721395821,42
20,1721395822,38
20,1721395823,41
19,1721395824,35
18,1721395825,31
17,1721395826,36
19,1721395827,34
22,1721395828,39
20,1721395829,41
20,1721395830,38
19,1721395831,40
20,1721395832,39
20,1721395833,40
20,1721395834,42
20,1721395835,44
20,1721395836,39
19,1721395837,40
19,1721395838,39
20,1721395839,41
19,1721395840,39
19,1721395841,40
21,1721395842,40
20,1721395843,37
18,1721395844,38
20,1721395845,39
19,1721395846,39
21,1721395847,39
19,1721395848,43
20,1721395849,39
20,1721395850,40
19,1721395851,43
19,1721395852,40
18,1721395853,44
22,1721395854,40
19,1721395855,39
19,1721395856,42
20,1721395857,42
20,1721395858,38
20,1721395859,41
19,1721395860,39
20,1721395861,41
20,1721395862,41
20,1721395863,40
