fps,et,screenshots_num
16,1719156543,29
19,1719156544,42
19,1719156545,44
19,1719156546,39
19,1719156547,49
20,1719156548,47
20,1719156549,47
20,1719156550,44
20,1719156551,36
20,1719156552,37
20,1719156553,48
18,1719156554,44
19,1719156555,45
19,1719156556,45
20,1719156557,43
21,1719156558,44
20,1719156559,44
19,1719156560,44
19,1719156561,45
20,1719156562,43
20,1719156563,46
20,1719156564,48
20,1719156565,45
19,1719156566,45
19,1719156567,41
20,1719156568,47
19,1719156569,46
8,1719156570,50
0,1719156571,57
0,1719156572,59
22,1719156573,40
16,1719156574,44
17,1719156575,50
16,1719156576,45
16,1719156577,50
16,1719156578,44
20,1719156579,44
22,1719156580,45
21,1719156581,41
15,1719156582,45
17,1719156583,45
14,1719156584,48
9,1719156585,51
15,1719156586,48
16,1719156587,45
17,1719156588,46
16,1719156589,45
16,1719156590,44
16,1719156591,44
16,1719156592,45
17,1719156593,45
21,1719156594,46
22,1719156595,46
21,1719156596,45
19,1719156597,46
21,1719156598,46
20,1719156599,44
21,1719156600,42
20,1719156601,39
20,1719156602,44
20,1719156603,45
20,1719156604,47
18,1719156605,45
19,1719156606,44
20,1719156607,44
20,1719156608,41
20,1719156609,50
20,1719156610,44
20,1719156611,41
19,1719156612,42
20,1719156613,45
20,1719156614,45
20,1719156615,45
20,1719156616,45
20,1719156617,44
20,1719156618,47
20,1719156619,47
20,1719156620,42
21,1719156621,42
18,1719156622,43
19,1719156623,41
20,1719156624,46
10,1719156625,51
2,1719156626,58
1,1719156627,57
19,1719156628,42
16,1719156629,42
17,1719156630,46
15,1719156631,46
15,1719156632,47
16,1719156633,46
19,1719156634,45
21,1719156635,44
21,1719156636,42
19,1719156637,45
17,1719156638,43
19,1719156639,44
20,1719156640,47
20,1719156641,48
19,1719156642,44
21,1719156643,46
19,1719156644,45
20,1719156645,42
20,1719156646,45
19,1719156647,46
21,1719156648,46
19,1719156649,47
20,1719156650,44
20,1719156651,43
20,1719156652,45
20,1719156653,46
20,1719156654,44
21,1719156655,47
19,1719156656,43
20,1719156657,43
19,1719156658,46
18,1719156659,47
21,1719156660,44
20,1719156661,43
20,1719156662,47
20,1719156663,47
20,1719156664,47
20,1719156665,42
20,1719156666,47
20,1719156667,45
20,1719156668,46
20,1719156669,46
20,1719156670,43
20,1719156671,40
19,1719156672,44
20,1719156673,47
20,1719156674,47
20,1719156675,45
19,1719156676,45
19,1719156677,42
20,1719156678,43
20,1719156679,44
20,1719156680,48
19,1719156681,43
19,1719156682,44
20,1719156683,47
19,1719156684,41
19,1719156685,40
19,1719156686,49
19,1719156687,44
20,1719156688,44
20,1719156689,43
20,1719156690,49
19,1719156691,45
19,1719156692,45
14,1719156693,50
5,1719156694,57
7,1719156695,52
19,1719156696,43
16,1719156697,45
15,1719156698,40
16,1719156699,46
15,1719156700,45
16,1719156701,48
20,1719156702,44
22,1719156703,42
19,1719156704,43
18,1719156705,46
16,1719156706,46
14,1719156707,47
5,1719156708,57
19,1719156709,49
16,1719156710,43
17,1719156711,45
16,1719156712,48
17,1719156713,46
16,1719156714,46
16,1719156715,46
18,1719156716,44
21,1719156717,45
21,1719156718,43
20,1719156719,43
21,1719156720,45
16,1719156721,44
12,1719156722,50
19,1719156723,49
16,1719156724,46
17,1719156725,45
15,1719156726,45
16,1719156727,44
18,1719156728,45
20,1719156729,41
20,1719156730,47
19,1719156731,41
19,1719156732,33
19,1719156733,51
19,1719156734,45
20,1719156735,42
20,1719156736,45
20,1719156737,44
20,1719156738,45
20,1719156739,45
20,1719156740,46
19,1719156741,45
20,1719156742,44
20,1719156743,41
20,1719156744,43
20,1719156745,43
20,1719156746,46
20,1719156747,46
20,1719156748,44
20,1719156749,43
20,1719156750,41
20,1719156751,48
19,1719156752,47
19,1719156753,42
20,1719156754,45
21,1719156755,43
19,1719156756,41
20,1719156757,38
19,1719156758,40
21,1719156759,38
18,1719156760,44
9,1719156761,50
2,1719156762,58
0,1719156763,58
14,1719156764,45
14,1719156765,47
16,1719156766,44
16,1719156767,46
17,1719156768,46
14,1719156769,47
16,1719156770,47
17,1719156771,47
20,1719156772,43
20,1719156773,49
17,1719156774,45
18,1719156775,46
15,1719156776,48
13,1719156777,50
11,1719156778,51
16,1719156779,41
17,1719156780,47
16,1719156781,44
17,1719156782,49
16,1719156783,45
17,1719156784,44
