et,brisque,piqe
1719156542,51.76329,31.38211
1719156543,51.84048,30.10217
1719156544,52.66405,31.1797
1719156545,52.03425,30.52427
1719156546,49.5985,27.91614
1719156547,49.71265,28.41412
1719156548,50.10142,30.20915
1719156549,50.57142,28.94567
1719156550,50.30739,29.82671
1719156551,50.91967,29.16041
1719156552,50.63034,30.1789
1719156553,50.47622,29.26078
1719156554,49.75418,29.07209
1719156555,50.21109,28.48489
1719156556,50.12858,30.33205
1719156557,49.75867,30.22551
1719156558,50.61349,31.30282
1719156559,51.39879,29.04047
1719156560,50.67893,30.05527
1719156561,51.15197,31.24612
1719156562,50.58938,28.96645
1719156563,50.55763,29.18034
1719156564,50.51565,29.71066
1719156565,50.68245,29.21763
1719156566,50.39014,28.46349
1719156567,50.43169,29.36679
1719156568,51.77687,29.23146
1719156569,50.83698,30.23485
1719156570,50.31204,29.62702
1719156571,50.22502,29.70988
1719156572,59.28132,41.56441
1719156573,58.01555,40.87003
1719156574,56.84651,39.7127
1719156575,56.25739,41.21714
1719156576,56.31803,38.82431
1719156577,56.14969,40.21749
1719156578,55.82684,40.50664
1719156579,56.34587,40.6198
1719156580,56.37698,38.59632
1719156581,55.73518,40.63406
1719156582,57.06786,35.15793
1719156583,56.54395,34.32042
1719156584,56.25261,32.05303
1719156585,58.97854,42.33305
1719156586,58.48578,40.42353
1719156587,56.52588,39.54719
1719156588,56.63655,39.17062
1719156589,56.81671,41.60518
1719156590,57.05021,39.93786
1719156591,56.97675,39.33538
1719156592,55.13862,39.42053
1719156593,54.9882,41.18326
1719156594,55.19223,41.08678
1719156595,55.14616,39.2626
1719156596,58.99747,34.85803
1719156597,55.29933,32.16498
1719156598,53.51884,31.694
1719156599,52.71435,30.96732
1719156600,52.94685,31.40058
1719156601,52.34316,31.57969
1719156602,52.20057,31.36579
1719156603,51.70295,30.72191
1719156604,51.71613,29.74253
1719156605,51.02077,29.86391
1719156606,51.19544,30.14313
1719156607,49.83335,27.86369
1719156608,49.75797,27.63707
1719156609,50.24578,26.32528
1719156610,50.85001,29.8182
1719156611,50.46519,29.27686
1719156612,50.58106,28.98399
1719156613,51.77776,31.50705
1719156614,51.20196,28.56804
1719156615,50.56593,30.12944
1719156616,51.72493,30.25323
1719156617,50.36064,28.94017
1719156618,51.28259,30.00441
1719156619,51.27977,30.43676
1719156620,51.56577,28.88512
1719156621,51.51552,27.61681
1719156622,50.41464,28.57599
1719156623,49.83544,28.92415
1719156624,48.30327,30.69449
1719156625,49.11173,31.25262
1719156626,49.03272,31.25152
1719156627,60.17526,43.58945
1719156628,57.38987,43.00096
1719156629,56.36561,41.70156
1719156630,55.85328,40.25753
1719156631,55.23645,38.56473
1719156632,54.72619,41.34703
1719156633,54.42754,39.69152
1719156634,54.46065,39.68865
1719156635,53.80742,39.61585
1719156636,55.15325,41.66629
1719156637,53.88637,41.00742
1719156638,57.09215,36.4511
1719156639,55.14313,33.49419
1719156640,54.54697,34.23307
1719156641,56.96029,33.26937
1719156642,54.88497,34.5503
1719156643,59.20876,33.71506
1719156644,56.02749,32.72566
1719156645,52.84994,31.06866
1719156646,52.32044,30.13867
1719156647,51.03981,30.73997
1719156648,50.97759,29.50971
1719156649,50.79301,28.5335
1719156650,51.04971,27.7504
1719156651,50.06944,28.50223
1719156652,50.24105,28.5008
1719156653,53.5649,30.79293
1719156654,53.12376,30.94341
1719156655,51.80108,28.93426
1719156656,51.91761,29.60647
1719156657,50.61479,28.97558
1719156658,50.83802,27.76031
1719156659,50.36542,29.34411
1719156660,49.72482,28.4511
1719156661,48.95276,30.42234
1719156662,49.4724,30.2906
1719156663,52.08672,30.90351
1719156664,51.40647,30.48892
1719156665,50.66438,31.24122
1719156666,49.32645,29.49531
1719156667,50.24691,29.19023
1719156668,51.80326,30.57165
1719156669,52.01901,28.25154
1719156670,55.23021,30.9038
1719156671,53.67852,29.87021
1719156672,51.67806,30.45037
1719156673,53.6181,31.87471
1719156674,52.45803,29.64516
1719156675,51.22474,30.45013
1719156676,51.63844,30.40173
1719156677,50.99256,32.41323
1719156678,52.19662,29.0602
1719156679,51.91761,31.92508
1719156680,50.22398,29.27744
1719156681,50.59253,30.71462
1719156682,50.55492,30.17378
1719156683,50.59193,30.56633
1719156684,52.69929,31.74957
1719156685,52.33492,30.98665
1719156686,50.85362,28.81167
1719156687,52.95947,29.52646
1719156688,50.60971,28.87747
1719156689,49.65316,28.17871
1719156690,49.68083,28.45582
1719156691,49.88751,29.71295
1719156692,50.03823,29.7862
1719156693,51.39399,30.92231
1719156694,51.71455,30.84053
1719156695,61.18355,42.60349
1719156696,59.80805,42.2473
1719156697,59.31202,41.74064
1719156698,58.03164,39.96251
1719156699,57.54285,40.48878
1719156700,57.28052,40.26223
1719156701,57.76379,40.44155
1719156702,57.78952,39.70268
1719156703,57.5764,39.85115
1719156704,57.11907,38.80263
1719156705,57.67433,34.55515
1719156706,56.93307,32.56801
1719156707,55.06158,31.77271
1719156708,60.49674,42.01379
1719156709,60.26316,41.49393
1719156710,58.8391,41.54505
1719156711,55.75743,39.56977
1719156712,55.13973,38.96356
1719156713,54.51453,38.18706
1719156714,54.03791,38.85452
1719156715,54.42673,38.94943
1719156716,55.24375,39.17637
1719156717,56.45629,41.5144
1719156718,56.26182,41.28868
1719156719,58.87477,33.82927
1719156720,57.07802,33.37078
1719156721,55.63756,32.44568
1719156722,57.3547,42.50835
1719156723,57.50401,40.52058
1719156724,56.5695,40.49356
1719156725,53.9331,40.20235
1719156726,56.01937,39.99553
1719156727,55.81771,41.25991
1719156728,55.66578,41.22951
1719156729,54.26606,39.26914
1719156730,53.92716,39.37183
1719156731,58.22603,35.21821
1719156732,54.59219,31.69217
1719156733,53.68171,30.76745
1719156734,53.26661,31.51387
1719156735,52.58628,30.62346
1719156736,52.46009,31.04651
1719156737,51.37484,31.1876
1719156738,50.62961,31.58473
