et,brisque,piqe
1718638249,83.76357,50.7168
1718638250,81.63112,50.50955
1718638251,80.83663,48.11617
1718638252,85.00665,49.94091
1718638253,82.83443,48.67803
1718638254,82.12328,49.53351
1718638255,82.61973,46.65262
1718638256,82.31432,50.14323
1718638257,85.37055,49.48395
1718638258,83.47246,43.45791
1718638259,82.89441,49.07895
1718638260,82.82649,47.91536
1718638261,84.32047,48.9773
1718638262,83.68377,47.81935
1718638263,82.9351,47.28305
1718638264,82.44643,49.21738
1718638265,85.39216,47.09511
1718638266,84.15889,49.05149
1718638267,83.02107,49.61569
1718638268,82.65755,49.63164
1718638269,86.34886,47.5261
1718638270,83.81836,47.35371
1718638271,82.17532,49.00375
1718638272,81.77174,49.2667
1718638273,84.49811,48.15404
1718638274,83.75914,47.68042
1718638275,83.11873,50.17436
1718638276,82.91486,49.93965
1718638277,87.43877,47.50124
1718638278,84.86146,47.86593
1718638279,83.49128,48.29458
1718638280,82.81059,48.47219
1718638281,85.39934,46.58136
1718638282,82.92532,48.40408
1718638283,81.9663,50.32329
1718638284,81.37289,48.0911
1718638285,87.01569,48.07435
1718638286,85.18977,48.05689
1718638287,83.16457,47.57409
1718638288,82.32069,49.65354
1718638289,86.34142,49.46898
1718638290,84.26518,46.4136
1718638291,83.61186,49.28479
1718638292,82.29038,46.98196
1718638293,83.55926,47.12108
1718638294,82.29194,49.5631
1718638295,81.85715,47.38223
1718638296,81.99906,49.93312
1718638297,81.731,50.56611
1718638298,84.67757,45.6228
1718638299,83.18748,46.65728
1718638300,82.26316,49.99737
1718638301,85.53215,48.22735
1718638302,82.43043,48.65815
1718638303,81.64789,50.27228
1718638304,81.36398,49.17843
1718638305,80.99324,48.07107
1718638306,83.13832,48.28258
1718638307,82.92844,46.51759
1718638308,82.84437,49.97749
1718638309,82.58915,47.6968
1718638310,84.40755,50.74857
1718638311,83.68703,47.93132
1718638312,83.4494,48.35877
1718638313,86.43463,49.73017
1718638314,82.7126,47.38232
1718638315,81.4745,47.77467
1718638316,81.49783,48.87919
1718638317,81.03294,47.65066
1718638318,83.57044,49.60973
1718638319,82.49753,50.55685
1718638320,82.61096,48.36249
1718638321,82.63342,49.10169
1718638322,85.41748,46.48492
1718638323,83.45627,47.56802
1718638324,83.93419,47.32953
1718638325,83.25931,50.40857
1718638326,83.09296,50.14436
1718638327,81.38344,49.36653
1718638328,81.02624,47.60013
1718638329,81.11785,49.59229
1718638330,86.47837,48.55796
1718638331,83.44351,47.98569
1718638332,82.5727,47.234
1718638333,82.26034,49.96113
1718638334,85.13017,49.9488
1718638335,82.60566,46.89395
1718638336,81.48089,49.28571
1718638337,80.91601,49.52265
1718638338,85.30039,50.56219
1718638339,83.65609,48.61533
1718638340,83.17961,49.36196
1718638341,82.58049,48.73452
1718638342,86.64456,48.8235
1718638343,83.90915,49.69313
1718638344,82.43275,49.88098
1718638345,81.76025,50.00527
1718638346,83.25314,48.97513
1718638347,81.7255,49.3637
1718638348,81.18256,49.38361
1718638349,81.50411,51.54471
1718638350,87.82434,48.084
1718638351,84.75146,50.37033
1718638352,83.14874,48.20774
1718638353,82.75374,50.09457
1718638354,85.55047,49.00897
1718638355,82.88209,48.99321
1718638356,81.90985,49.19773
1718638357,81.21713,49.97833
1718638358,83.83813,48.16262
1718638359,81.80075,48.99488
1718638360,81.30566,51.41552
1718638361,81.51879,47.58601
1718638362,81.85253,49.07765
1718638363,85.98734,48.03712
1718638364,84.03938,48.94646
1718638365,82.92909,48.75534
1718638366,82.532,48.90319
1718638367,83.66456,50.41994
1718638368,82.13123,48.20832
1718638369,82.73585,47.06916
1718638370,85.17892,48.06111
1718638371,83.20556,49.47723
1718638372,83.34736,49.05493
1718638373,84.31333,50.999
1718638374,87.58388,46.60167
1718638375,84.90765,49.58213
1718638376,82.69651,49.9859
1718638377,82.37827,50.58397
1718638378,82.64466,51.44191
1718638379,84.92144,47.36275
1718638380,84.99062,49.03081
1718638381,85.04548,48.18778
1718638382,87.91439,49.03592
1718638383,85.52418,50.53673
1718638384,83.23417,49.31843
1718638385,83.00802,49.01324
1718638386,85.97229,49.69401
1718638387,83.30854,47.63514
1718638388,82.03343,47.71798
1718638389,81.29614,48.07677
1718638390,81.17145,47.32208
1718638391,86.72406,50.12307
1718638392,84.26054,50.54986
1718638393,83.08058,50.96277
1718638394,82.57256,52.15154
1718638395,85.15839,49.00974
1718638396,82.26431,49.81548
1718638397,81.38553,48.70726
1718638398,81.18929,49.11418
1718638399,82.67018,50.82798
1718638400,81.95254,48.63327
1718638401,81.22625,51.49627
1718638402,81.40485,50.48655
1718638403,86.833,50.27287
1718638404,83.56677,48.66353
1718638405,82.62278,50.18253
1718638406,82.22106,49.16941
1718638407,84.88075,50.11564
1718638408,83.80799,51.01981
1718638409,83.63318,50.48732
1718638410,83.40725,47.20207
1718638411,84.34761,49.83207
1718638412,82.71681,51.07273
1718638413,82.53763,48.27775
1718638414,82.29092,50.32175
1718638415,85.44366,48.95198
1718638416,83.68137,48.32275
1718638417,82.10399,47.97246
1718638418,81.71651,51.22167
1718638419,84.45305,49.27592
1718638420,82.26487,49.05205
1718638421,81.55669,50.65958
1718638422,82.08248,48.669
1718638423,82.62073,49.54833
1718638424,85.31359,49.16636
1718638425,83.96231,48.63105
1718638426,83.00631,49.22577
1718638427,83.25926,50.94426
1718638428,86.18404,50.4107
1718638429,85.28356,49.61548
1718638430,83.48399,49.64975
1718638431,82.14435,49.44467
1718638432,83.34294,48.73207
1718638433,81.67855,51.52607
1718638434,81.06539,51.9129
1718638435,80.77795,48.47316
1718638436,82.27128,48.80918
1718638437,82.17398,49.11677
1718638438,82.08632,51.32478
1718638439,82.01573,49.57139
1718638440,84.87623,49.73954
1718638441,83.65551,49.66656
1718638442,83.44267,50.07955
1718638443,85.96563,50.34052
1718638444,83.60127,51.42834
1718638445,82.62523,47.77103
1718638446,83.14784,49.86586
1718638447,83.51534,47.7913
1718638448,86.61521,50.50686
1718638449,84.92476,48.44623
1718638450,84.41911,48.6254
1718638451,83.57447,46.58518
1718638452,82.99317,51.30913
1718638453,82.15168,49.7576
1718638454,81.59053,49.03534
1718638455,81.20622,49.87372
1718638456,85.24467,49.89033
1718638457,83.23934,49.62177
1718638458,83.38266,50.54567
1718638459,83.11227,50.27682
1718638460,86.80624,48.131
1718638461,84.87234,47.64636
1718638462,83.11537,49.55117
1718638463,82.51446,47.06615
1718638464,84.13307,49.35339
1718638465,82.14911,50.31977
1718638466,81.45832,48.61728
1718638467,81.23245,49.70166
1718638468,84.44773,50.12678
1718638469,82.06841,51.72994
1718638470,82.12796,48.60822
1718638471,82.09174,49.77678
1718638472,87.46747,48.88081
1718638473,84.85239,49.57114
1718638474,82.86822,50.28164
1718638475,82.07441,51.20297
1718638476,84.16821,47.82572
1718638477,81.58885,50.60626
1718638478,80.99134,48.80771
1718638479,80.63154,49.66551
1718638480,80.47894,50.50782
1718638481,84.65016,50.49799
1718638482,85.07244,47.70336
1718638483,84.5979,48.21395
1718638484,86.66309,50.49059
1718638485,83.9888,49.14709
1718638486,82.45523,49.54589
1718638487,81.72653,48.08581
1718638488,84.85934,50.91993
1718638489,82.34092,50.9507
1718638490,81.88386,47.3823
