et,brisque
1718546748,35.64738
1718546749,35.41082
1718546750,35.64959
1718546751,35.88738
1718546752,35.71867
1718546753,35.9704
1718546754,35.54256
1718546755,35.95475
1718546756,35.86301
1718546757,35.90157
1718546758,35.53594
1718546759,35.57498
1718546760,34.50529
1718546761,34.87599
1718546762,34.91225
1718546763,34.32365
1718546764,34.51741
1718546765,34.12284
1718546766,34.04727
1718546767,34.1671
1718546768,34.71687
1718546769,34.76304
1718546770,34.45236
1718546771,34.70577
1718546772,35.71175
1718546773,34.75575
1718546774,34.33673
1718546775,34.74427
1718546776,34.58276
1718546777,34.26426
1718546778,34.67564
1718546779,34.63065
1718546780,34.43254
1718546781,34.20707
1718546782,34.67063
1718546783,34.53781
1718546784,34.53073
1718546785,34.08161
1718546786,33.78622
1718546787,33.95657
1718546788,34.23826
1718546789,34.15011
1718546790,37.09459
1718546791,35.09469
1718546792,34.78875
1718546793,34.74057
1718546794,34.64258
1718546795,34.72011
1718546796,34.24307
1718546797,34.47538
1718546798,34.84041
1718546799,34.53608
1718546800,34.5697
1718546801,35.38945
1718546802,35.35611
1718546803,35.97771
1718546804,35.98642
1718546805,34.7745
1718546806,35.13916
1718546807,43.05912
1718546808,41.42986
1718546809,42.50582
1718546810,36.14271
1718546811,34.59265
1718546812,34.45392
1718546813,34.36041
1718546814,33.61064
1718546815,33.45179
1718546816,33.55363
1718546817,33.45333
1718546818,33.45974
1718546819,33.58459
1718546820,33.44444
1718546821,33.61025
1718546822,33.53649
1718546823,33.31094
1718546824,32.97058
1718546825,32.96937
1718546826,33.28538
1718546827,32.5646
1718546828,32.45937
1718546829,33.86139
1718546830,34.03996
1718546831,34.80537
1718546832,35.82426
1718546833,34.18938
1718546834,34.80882
1718546835,35.35557
1718546836,34.58206
1718546837,34.62322
1718546838,37.31366
1718546839,45.98137
1718546840,39.93786
1718546841,41.79238
1718546842,39.51206
1718546843,41.08451
1718546844,37.7262
1718546845,34.28285
1718546846,34.31231
1718546847,33.95062
1718546848,34.67422
1718546849,34.23319
1718546850,34.57876
1718546851,35.46562
1718546852,35.56026
1718546853,34.82428
1718546854,35.08036
1718546855,35.29861
1718546856,35.01148
1718546857,35.22688
1718546858,35.33021
1718546859,35.22838
1718546860,35.15733
1718546861,34.75598
1718546862,35.15324
1718546863,35.64707
1718546864,42.41664
1718546865,38.83895
1718546866,39.32909
1718546867,37.44231
1718546868,39.14946
1718546869,36.22134
1718546870,37.27128
1718546871,40.51934
1718546872,38.59394
1718546873,39.18137
1718546874,39.01144
1718546875,37.90077
1718546876,38.03394
1718546877,38.19947
1718546878,38.95743
1718546879,36.36576
1718546880,37.67037
1718546881,40.28747
1718546882,40.10824
1718546883,40.29605
1718546884,39.81956
1718546885,40.09756
1718546886,39.51342
1718546887,39.5381
1718546888,42.96083
1718546889,41.62647
1718546890,41.7145
1718546891,41.77622
1718546892,41.74008
1718546893,41.96454
1718546894,41.7373
1718546895,41.02404
1718546896,41.1393
1718546897,40.68763
1718546898,41.70557
1718546899,42.25707
1718546900,41.99785
1718546901,44.59208
1718546902,39.89883
1718546903,39.41786
1718546904,38.32355
1718546905,38.08822
1718546906,41.39666
1718546907,39.1659
1718546908,38.8179
1718546909,38.95675
1718546910,39.31832
1718546911,40.43663
1718546912,40.46798
1718546913,39.61531
1718546914,40.0247
1718546915,40.93949
1718546916,41.20372
1718546917,40.61883
1718546918,40.88425
1718546919,41.22402
1718546920,44.5274
1718546921,41.20946
1718546922,42.86508
1718546923,45.7129
1718546924,43.29534
1718546925,42.03221
1718546926,41.5231
1718546927,42.20087
1718546928,42.9852
1718546929,43.09656
1718546930,42.44988
1718546931,42.00516
1718546932,40.11748
1718546933,41.58138
1718546934,41.85046
1718546935,41.88895
1718546936,40.87818
1718546937,41.21608
1718546938,44.10674
1718546939,45.61787
1718546940,41.59435
1718546941,41.92259
1718546942,40.78156
1718546943,41.19122
1718546944,41.19951
1718546945,41.57509
1718546946,41.10012
1718546947,41.43066
1718546948,41.31653
1718546949,40.94076
1718546950,41.67551
1718546951,40.31192
1718546952,41.19012
1718546953,40.26636
1718546954,39.99885
1718546955,40.28398
1718546956,40.82222
1718546957,40.46615
1718546958,40.71726
1718546959,40.75437
1718546960,40.45355
1718546961,40.53115
1718546962,40.31837
1718546963,40.6368
1718546964,40.20502
1718546965,40.06308
1718546966,39.71735
1718546967,39.89095
1718546968,40.36234
1718546969,40.72217
1718546970,40.57163
1718546971,41.53921
1718546972,42.14765
1718546973,43.25964
1718546974,43.5347
1718546975,40.98271
1718546976,43.3222
1718546977,41.2542
1718546978,41.11834
1718546979,41.47749
1718546980,44.61857
1718546981,41.45809
1718546982,43.11969
1718546983,44.36118
1718546984,40.13995
1718546985,43.30301
1718546986,43.74356
1718546987,42.33059
1718546988,44.08541
1718546989,43.72634
