fps,et,screenshots_num
7,1718547065,17
17,1718547066,35
21,1718547067,34
22,1718547068,36
17,1718547069,41
19,1718547070,39
20,1718547071,39
20,1718547072,41
19,1718547073,40
19,1718547074,40
20,1718547075,40
17,1718547076,41
18,1718547077,40
18,1718547078,40
17,1718547079,42
18,1718547080,40
3,1718547081,55
0,1718547082,58
0,1718547083,58
21,1718547084,42
18,1718547085,43
19,1718547086,39
19,1718547087,41
11,1718547088,47
12,1718547089,43
21,1718547090,37
1,1718547091,47
11,1718547092,48
23,1718547093,38
20,1718547094,39
20,1718547095,43
19,1718547096,42
11,1718547097,47
21,1718547098,40
22,1718547099,38
20,1718547100,39
16,1718547101,40
19,1718547102,39
18,1718547103,43
3,1718547104,54
11,1718547105,48
2,1718547106,56
14,1718547107,44
14,1718547108,48
11,1718547109,48
17,1718547110,39
21,1718547111,38
19,1718547112,39
19,1718547113,42
18,1718547114,39
13,1718547115,44
20,1718547116,40
22,1718547117,35
19,1718547118,39
18,1718547119,38
18,1718547120,38
13,1718547121,44
7,1718547122,50
11,1718547123,47
17,1718547124,40
18,1718547125,40
17,1718547126,41
17,1718547127,39
12,1718547128,47
11,1718547129,46
18,1718547130,42
21,1718547131,41
17,1718547132,40
19,1718547133,42
18,1718547134,41
8,1718547135,50
21,1718547136,38
22,1718547137,36
12,1718547138,46
14,1718547139,42
11,1718547140,49
16,1718547141,42
23,1718547142,38
21,1718547143,37
19,1718547144,39
17,1718547145,41
6,1718547146,50
20,1718547147,40
12,1718547148,46
9,1718547149,47
24,1718547150,35
20,1718547151,37
18,1718547152,42
18,1718547153,43
4,1718547154,52
1,1718547155,58
18,1718547156,39
19,1718547157,34
22,1718547158,31
18,1718547159,40
19,1718547160,38
22,1718547161,35
20,1718547162,40
20,1718547163,37
22,1718547164,37
21,1718547165,37
22,1718547166,39
18,1718547167,39
14,1718547168,44
13,1718547169,45
13,1718547170,48
0,1718547171,57
25,1718547172,34
21,1718547173,38
19,1718547174,39
17,1718547175,41
12,1718547176,45
4,1718547177,54
26,1718547178,32
21,1718547179,37
19,1718547180,39
18,1718547181,38
9,1718547182,48
2,1718547183,56
21,1718547184,39
20,1718547185,38
22,1718547186,36
15,1718547187,43
10,1718547188,48
6,1718547189,53
21,1718547190,38
18,1718547191,43
22,1718547192,38
22,1718547193,35
18,1718547194,41
14,1718547195,45
19,1718547196,38
7,1718547197,52
26,1718547198,34
22,1718547199,40
21,1718547200,40
17,1718547201,39
16,1718547202,42
6,1718547203,50
9,1718547204,51
0,1718547205,58
0,1718547206,57
10,1718547207,49
15,1718547208,46
3,1718547209,56
24,1718547210,37
20,1718547211,41
9,1718547212,49
9,1718547213,50
22,1718547214,34
19,1718547215,40
13,1718547216,46
22,1718547217,38
19,1718547218,39
9,1718547219,49
10,1718547220,48
7,1718547221,51
17,1718547222,39
22,1718547223,39
19,1718547224,40
19,1718547225,41
18,1718547226,41
11,1718547227,47
3,1718547228,55
22,1718547229,38
22,1718547230,39
21,1718547231,36
21,1718547232,40
14,1718547233,45
17,1718547234,41
11,1718547235,45
2,1718547236,55
23,1718547237,35
23,1718547238,37
21,1718547239,38
20,1718547240,39
17,1718547241,42
7,1718547242,50
13,1718547243,46
0,1718547244,58
9,1718547245,47
11,1718547246,48
0,1718547247,57
1,1718547248,57
18,1718547249,42
21,1718547250,39
21,1718547251,37
18,1718547252,40
18,1718547253,40
14,1718547254,43
22,1718547255,37
19,1718547256,37
19,1718547257,39
9,1718547258,49
11,1718547259,49
17,1718547260,41
21,1718547261,37
19,1718547262,37
18,1718547263,40
19,1718547264,42
13,1718547265,45
0,1718547266,57
21,1718547267,38
20,1718547268,36
22,1718547269,37
22,1718547270,38
9,1718547271,49
10,1718547272,48
21,1718547273,39
21,1718547274,38
22,1718547275,37
18,1718547276,42
16,1718547277,43
10,1718547278,48
18,1718547279,44
4,1718547280,54
19,1718547281,39
21,1718547282,42
19,1718547283,39
19,1718547284,41
13,1718547285,44
6,1718547286,52
20,1718547287,39
12,1718547288,44
23,1718547289,36
18,1718547290,38
18,1718547291,41
17,1718547292,40
9,1718547293,51
0,1718547294,57
10,1718547295,49
23,1718547296,37
21,1718547297,38
22,1718547298,37
16,1718547299,41
5,1718547300,52
18,1718547301,37
14,1718547302,40
18,1718547303,37
11,1718547304,46
13,1718547305,44
21,1718547306,36
