et,brisque,piqe
1714918207,47.46096,29.37216
1714918208,47.55114,29.41981
1714918209,47.42434,29.6023
1714918210,47.71755,30.03483
1714918211,48.15434,31.8777
1714918212,50.78231,33.57453
1714918213,48.96845,30.39151
1714918214,48.4591,31.67381
1714918215,48.02296,31.50211
1714918216,47.87174,31.03016
1714918217,47.78208,31.27639
1714918218,47.92544,30.68625
1714918219,47.67371,29.72432
1714918220,50.76428,32.14217
1714918221,50.14528,32.48021
1714918222,49.53008,31.28044
1714918223,48.82367,31.15484
1714918224,48.8358,30.91561
1714918225,48.89429,31.05357
1714918226,48.85335,31.33435
1714918227,83.1766,48.35097
1714918228,83.37073,47.09423
1714918229,81.26598,48.03513
1714918230,83.82421,48.19029
1714918231,84.52215,46.79363
1714918232,81.50407,47.83427
1714918233,83.89114,47.60569
1714918234,84.74962,48.32029
1714918235,81.34769,49.33779
1714918236,84.17615,48.93536
1714918237,82.17901,50.74835
1714918238,83.63899,49.59006
1714918239,81.67193,48.38868
1714918240,80.69536,48.29466
1714918241,80.16926,49.27526
1714918242,82.12122,49.42799
1714918243,80.358,48.23141
1714918244,79.95989,48.4991
1714918245,79.43755,48.4903
1714918246,80.71762,47.99783
1714918247,79.43158,46.7528
1714918248,78.724,49.30374
1714918249,78.60999,49.39603
1714918250,80.4452,49.94401
1714918251,79.85208,49.03496
1714918252,79.72253,47.13791
1714918253,79.2118,47.09293
1714918254,83.76044,48.69849
1714918255,81.32782,46.6914
1714918256,80.18499,48.25482
1714918257,79.821,46.55578
1714918258,82.98866,48.92487
1714918259,80.80344,49.05826
1714918260,80.26682,48.66694
1714918261,79.78847,49.05282
1714918262,82.70969,46.11157
1714918263,79.63417,48.2664
1714918264,78.72362,47.8858
1714918265,78.37438,49.4666
1714918266,81.51406,49.3398
1714918267,79.69768,48.41488
1714918268,79.25636,48.95152
1714918269,79.03521,50.11489
1714918270,80.93238,47.91929
1714918271,78.86956,47.65926
1714918272,78.37599,48.24561
1714918273,77.58928,47.05361
1714918274,80.02235,48.9436
1714918275,76.06315,54.33262
1714918276,75.74871,54.8166
1714918277,74.99445,55.98124
1714918278,74.89698,55.37603
1714918279,74.93434,54.51569
1714918280,74.96086,55.62816
1714918281,75.02808,55.11901
1714918282,74.98549,54.57704
1714918283,74.89231,55.24099
1714918284,74.96714,54.40002
1714918285,75.05272,55.3473
1714918286,52.35302,41.48294
1714918287,50.9326,40.34472
1714918288,50.51989,40.37055
1714918289,50.58029,40.59941
1714918290,50.57158,39.73758
1714918291,50.21589,40.90819
1714918292,49.97164,40.03862
1714918293,51.66901,39.63234
1714918294,51.63963,40.27107
1714918295,51.28365,39.79486
1714918296,51.21301,41.34721
1714918297,51.07578,39.57577
1714918298,50.78641,39.43605
1714918299,50.88935,40.4271
1714918300,50.6193,40.58607
1714918301,53.68515,41.10841
1714918302,52.00647,39.38078
1714918303,51.18251,40.8507
1714918304,51.71777,41.89287
1714918305,51.41596,40.89677
1714918306,55.624,41.9514
1714918307,53.17864,41.23925
1714918308,52.02808,42.4402
1714918309,51.66866,40.93058
1714918310,50.63138,41.78361
1714918311,53.83085,42.54328
1714918312,52.49855,41.72453
1714918313,51.90801,41.87367
1714918314,50.95909,40.75403
1714918315,51.01884,41.4371
1714918316,50.39312,40.98398
1714918317,50.26321,40.45758
1714918318,50.53278,40.40687
1714918319,50.05637,40.80082
1714918320,50.1269,40.99401
1714918321,50.04533,41.5621
1714918322,49.97902,41.57534
1714918323,49.93596,41.1364
1714918324,50.04389,41.80729
1714918325,53.00689,42.08039
1714918326,53.04024,42.47661
1714918327,53.12843,42.24955
1714918328,82.68274,47.60334
1714918329,82.9699,47.29595
1714918330,83.01026,47.24773
1714918331,81.54417,46.80713
1714918332,80.15491,46.91585
1714918333,80.25339,49.15794
1714918334,82.9448,47.49597
1714918335,80.57697,47.89675
1714918336,79.85342,47.05376
1714918337,79.49516,48.77344
1714918338,81.89709,50.50361
1714918339,80.00411,49.51909
1714918340,79.63496,47.55437
1714918341,82.0814,49.14962
1714918342,79.77959,48.87097
1714918343,79.16362,49.00183
1714918344,82.95147,48.27995
1714918345,80.69415,48.86418
1714918346,79.97027,48.33005
1714918347,78.99751,50.00632
1714918348,82.20686,48.42406
1714918349,80.89958,48.44241
1714918350,80.52914,48.26066
1714918351,79.39215,49.30295
1714918352,83.65846,48.60224
1714918353,80.39922,49.67325
1714918354,79.43249,48.47523
1714918355,79.52452,49.08601
1714918356,78.7189,48.92183
1714918357,79.32659,48.34473
1714918358,78.42354,48.83367
1714918359,77.88972,50.64606
1714918360,77.77025,49.12701
1714918361,79.08478,48.2855
1714918362,78.31495,48.96277
1714918363,75.28693,56.1787
1714918364,74.59266,55.0895
1714918365,74.23411,55.65208
1714918366,74.0211,55.18798
1714918367,73.74604,56.70161
1714918368,73.77028,54.13359
1714918369,73.65075,55.33016
1714918370,73.80085,54.57878
1714918371,74.34252,55.25083
1714918372,74.46553,54.62779
1714918373,74.28622,54.34681
1714918374,73.78656,56.1904
1714918375,73.70299,54.18782
1714918376,53.04977,41.8044
1714918377,51.43331,40.33283
1714918378,49.74787,40.93837
1714918379,49.47182,40.00725
1714918380,49.4315,41.04369
1714918381,49.10324,41.83195
1714918382,48.99452,41.47674
1714918383,48.4782,40.20455
1714918384,48.33378,41.48423
1714918385,48.32561,40.08746
1714918386,48.27434,41.15057
1714918387,49.29353,41.51411
1714918388,51.53318,42.19141
1714918389,51.58004,42.81287
1714918390,51.3606,43.58653
1714918391,52.00131,42.36875
1714918392,56.11829,43.5444
1714918393,52.91546,42.75706
1714918394,52.26534,40.16351
1714918395,51.90223,41.02238
1714918396,52.77164,40.96199
1714918397,52.27282,40.9611
1714918398,52.21526,40.18158
1714918399,76.88428,56.05982
1714918400,75.5444,55.39263
1714918401,75.38746,55.8011
1714918402,74.63075,55.12745
1714918403,79.0137,49.30051
1714918404,78.79882,48.76666
1714918405,78.23269,49.91571
1714918406,80.56751,47.51092
1714918407,76.2745,55.53212
1714918408,74.73935,55.17262
1714918409,74.16555,55.00827
1714918410,76.89138,55.50161
1714918411,74.70945,55.13032
1714918412,54.949,43.34328
1714918413,53.27069,42.02456
1714918414,52.84261,43.1544
1714918415,52.81767,40.61968
1714918416,52.56908,41.21234
1714918417,52.38856,41.29092
1714918418,52.39544,40.22799
1714918419,52.04689,41.26219
1714918420,52.01936,41.99252
1714918421,51.67345,41.74162
1714918422,51.73328,42.16323
1714918423,51.0158,40.98935
1714918424,51.15479,40.9994
1714918425,51.06168,41.61099
1714918426,50.88756,41.2347
1714918427,50.8531,42.01075
1714918428,50.78913,40.9529
1714918429,50.83826,41.21983
1714918430,50.94513,39.9498
1714918431,50.78521,40.63744
1714918432,82.03274,48.00629
1714918433,81.21524,49.02981
1714918434,80.49188,47.30103
1714918435,80.20329,48.78809
1714918436,83.29134,48.06322
1714918437,81.32544,48.35025
1714918438,79.99257,49.2731
1714918439,79.61445,47.79792
1714918440,79.29542,48.80499
1714918441,82.19749,48.6672
1714918442,79.94314,48.7327
1714918443,79.31031,48.2224
1714918444,79.20643,48.93249
1714918445,80.92625,47.33924
1714918446,79.75424,48.27218
1714918447,79.26578,48.71833
1714918448,79.02779,47.19052
