fps,et
4,1714918204
19,1714918205
20,1714918206
20,1714918207
19,1714918208
18,1714918209
21,1714918210
20,1714918211
20,1714918212
19,1714918213
21,1714918214
19,1714918215
19,1714918216
19,1714918217
19,1714918218
6,1714918219
3,1714918220
3,1714918221
3,1714918222
1,1714918223
0,1714918224
0,1714918225
2,1714918226
14,1714918227
17,1714918228
16,1714918229
17,1714918230
18,1714918231
15,1714918232
18,1714918233
16,1714918234
17,1714918235
16,1714918236
16,1714918237
17,1714918238
16,1714918239
16,1714918240
18,1714918241
18,1714918242
14,1714918243
16,1714918244
15,1714918245
15,1714918246
15,1714918247
15,1714918248
15,1714918249
13,1714918250
2,1714918251
12,1714918252
16,1714918253
15,1714918254
17,1714918255
16,1714918256
17,1714918257
15,1714918258
14,1714918259
12,1714918260
17,1714918261
18,1714918262
17,1714918263
15,1714918264
16,1714918265
13,1714918266
16,1714918267
15,1714918268
14,1714918269
16,1714918270
14,1714918271
16,1714918272
14,1714918273
12,1714918274
15,1714918275
14,1714918276
8,1714918277
0,1714918278
0,1714918279
0,1714918280
0,1714918281
0,1714918282
0,1714918283
0,1714918284
0,1714918285
14,1714918286
15,1714918287
15,1714918288
14,1714918289
16,1714918290
13,1714918291
16,1714918292
15,1714918293
15,1714918294
15,1714918295
15,1714918296
14,1714918297
16,1714918298
15,1714918299
3,1714918300
11,1714918301
15,1714918302
14,1714918303
16,1714918304
15,1714918305
15,1714918306
14,1714918307
16,1714918308
14,1714918309
16,1714918310
14,1714918311
15,1714918312
15,1714918313
14,1714918314
16,1714918315
15,1714918316
15,1714918317
14,1714918318
16,1714918319
12,1714918320
1,1714918321
0,1714918322
0,1714918323
2,1714918324
1,1714918325
0,1714918326
0,1714918327
11,1714918328
17,1714918329
16,1714918330
17,1714918331
16,1714918332
16,1714918333
17,1714918334
16,1714918335
16,1714918336
16,1714918337
16,1714918338
16,1714918339
17,1714918340
17,1714918341
16,1714918342
16,1714918343
17,1714918344
15,1714918345
15,1714918346
15,1714918347
15,1714918348
13,1714918349
17,1714918350
14,1714918351
16,1714918352
15,1714918353
15,1714918354
15,1714918355
15,1714918356
14,1714918357
14,1714918358
16,1714918359
15,1714918360
14,1714918361
13,1714918362
15,1714918363
14,1714918364
16,1714918365
15,1714918366
15,1714918367
15,1714918368
15,1714918369
15,1714918370
15,1714918371
15,1714918372
15,1714918373
15,1714918374
12,1714918375
15,1714918376
16,1714918377
15,1714918378
11,1714918379
8,1714918380
23,1714918381
15,1714918382
15,1714918383
15,1714918384
14,1714918385
14,1714918386
16,1714918387
14,1714918388
16,1714918389
14,1714918390
5,1714918391
8,1714918392
16,1714918393
14,1714918394
16,1714918395
13,1714918396
16,1714918397
14,1714918398
14,1714918399
5,1714918400
10,1714918401
18,1714918402
19,1714918403
16,1714918404
15,1714918405
13,1714918406
12,1714918407
15,1714918408
10,1714918409
18,1714918410
17,1714918411
13,1714918412
14,1714918413
16,1714918414
14,1714918415
16,1714918416
15,1714918417
15,1714918418
15,1714918419
14,1714918420
15,1714918421
15,1714918422
15,1714918423
16,1714918424
15,1714918425
14,1714918426
12,1714918427
4,1714918428
4,1714918429
4,1714918430
4,1714918431
11,1714918432
16,1714918433
17,1714918434
17,1714918435
15,1714918436
16,1714918437
12,1714918438
9,1714918439
16,1714918440
18,1714918441
18,1714918442
17,1714918443
16,1714918444
15,1714918445
11,1714918446
