bps,et
1944000,1716744000
1948480,1716744001
1940960,1716744002
1944880,1716744003
1949280,1716744004
1951680,1716744005
1947040,1716744006
1953120,1716744007
1955280,1716744008
1953280,1716744009
1953920,1716744010
1952000,1716744011
1949680,1716744012
1948400,1716744013
1951200,1716744014
1951200,1716744015
1945680,1716744016
1952960,1716744017
1945280,1716744018
1953680,1716744019
1946960,1716744020
1952000,1716744021
1952000,1716744022
1949760,1716744023
1953680,1716744024
1952000,1716744025
1958960,1716744026
1952000,1716744027
1952000,1716744028
1952000,1716744029
1953440,1716744030
1958080,1716744031
1952000,1716744032
1952000,1716744033
1948320,1716744034
1950960,1716744035
1952800,1716744036
1944000,1716744037
1943600,1716744038
1944400,1716744039
1949840,1716744040
1948640,1716744041
1953360,1716744042
1952000,1716744043
1951520,1716744044
1928000,1716744045
1800000,1716744046
1671840,1716744047
1557200,1716744048
1485920,1716744049
1440320,1716744050
1413840,1716744051
1403200,1716744052
1336560,1716744053
1573040,1716744054
1573040,1716744055
1709920,1716744056
1824240,1716744057
1905440,1716744058
1958480,1716744059
1991360,1716744060
2015360,1716744061
2110960,1716744062
2007600,1716744063
2015520,1716744064
2025920,1716744065
2020880,1716744066
2017280,1716744067
2019200,1716744068
2018160,1716744069
2025280,1716744070
2025440,1716744071
2014080,1716744072
2001360,1716744073
1997840,1716744074
1988240,1716744075
1978480,1716744076
1974240,1716744077
1952000,1716744078
1952000,1716744079
1954080,1716744080
1952000,1716744081
1954000,1716744082
1952000,1716744083
1954080,1716744084
1949920,1716744085
1949040,1716744086
1952000,1716744087
1950000,1716744088
1952000,1716744089
1943840,1716744090
1950800,1716744091
1952000,1716744092
1952000,1716744093
1955680,1716744094
1952960,1716744095
1955440,1716744096
1955280,1716744097
1962720,1716744098
1959120,1716744099
1963360,1716744100
1960080,1716744101
1961600,1716744102
1963520,1716744103
1963520,1716744104
1960000,1716744105
1952000,1716744106
1953680,1716744107
1962480,1716744108
1960000,1716744109
1960560,1716744110
1965840,1716744111
1958800,1716744112
1952000,1716744113
1952000,1716744114
1952000,1716744115
1953680,1716744116
1953920,1716744117
1928800,1716744118
1905280,1716744119
1857680,1716744120
1857680,1716744121
1765840,1716744122
1828880,1716744123
1900160,1716744124
1846400,1716744125
1927600,1716744126
1954080,1716744127
1982000,1716744128
2031280,1716744129
2138880,1716744130
2075040,1716744131
2003120,1716744132
2057280,1716744133
1970720,1716744134
1970080,1716744135
1960320,1716744136
1953360,1716744137
1952000,1716744138
1952000,1716744139
1951040,1716744140
1950640,1716744141
1950720,1716744142
1952000,1716744143
1956320,1716744144
1952000,1716744145
1951680,1716744146
1951200,1716744147
1952000,1716744148
1949120,1716744149
1940320,1716744150
1944080,1716744151
1936080,1716744152
1926480,1716744153
1914960,1716744154
1909360,1716744155
1922400,1716744156
1928000,1716744157
1951920,1716744158
1953040,1716744159
1950080,1716744160
1968800,1716744161
1979520,1716744162
1986240,1716744163
1978480,1716744164
1969360,1716744165
1952000,1716744166
1947440,1716744167
1952000,1716744168
1955200,1716744169
1950800,1716744170
1949280,1716744171
1944000,1716744172
1939440,1716744173
1948480,1716744174
1944000,1716744175
1945440,1716744176
1945440,1716744177
1942800,1716744178
1912000,1716744180
1897040,1716744182
1846400,1716744183
1846400,1716744184
1944000,1716744185
1940480,1716744186
1951040,1716744187
1951040,1716744188
1979840,1716744189
1992880,1716744190
2006880,1716744191
1950560,1716744193
1930080,1716744194
1912000,1716744195
1898160,1716744196
1901680,1716744197
1865040,1716744198
1912000,1716744199
1921520,1716744200
1963200,1716744201
1986320,1716744202
1996160,1716744203
1992000,1716744204
2032000,1716744205
1969840,1716744206
1968080,1716744207
1963520,1716744208
1950400,1716744209
1942480,1716744210
1943440,1716744211
1941440,1716744212
1938560,1716744213
1946160,1716744214
1935600,1716744215
1938400,1716744216
1933840,1716744217
1946720,1716744218
1950480,1716744219
1948000,1716744220
1952000,1716744221
1952000,1716744222
1963600,1716744223
1960000,1716744224
1971520,1716744225
1958640,1716744226
1958400,1716744227
1956560,1716744228
1952000,1716744229
1952000,1716744230
1954480,1716744231
1949840,1716744232
1950080,1716744233
1952000,1716744234
1952880,1716744235
1955920,1716744236
1950400,1716744237
1946240,1716744238
1945600,1716744239
1948000,1716744240
1943040,1716744241
