et,brisque
1718636389,74.80776
1718636390,80.69425
1718636391,80.00322
1718636392,79.73021
1718636393,82.95714
1718636394,80.17086
1718636395,79.36197
1718636396,78.44591
1718636397,80.63898
1718636398,78.95293
1718636399,78.17255
1718636400,76.79134
1718636401,75.57746
1718636402,75.07627
1718636403,74.78353
1718636404,80.81254
1718636405,79.76079
1718636406,79.33284
1718636407,79.48257
1718636408,80.42601
1718636409,79.43953
1718636410,78.82357
1718636411,81.64887
1718636412,78.81738
1718636413,78.43847
1718636414,75.63036
1718636415,75.00567
1718636416,82.24553
1718636417,79.86083
1718636418,79.58824
1718636419,79.11172
1718636420,81.22598
1718636421,79.66816
1718636422,78.80944
1718636423,78.48902
1718636424,80.08372
1718636425,78.69919
1718636426,76.74874
1718636427,75.57047
1718636428,74.99917
1718636429,81.71555
1718636430,80.48551
1718636431,80.0467
1718636432,79.94293
1718636433,80.94498
1718636434,79.57292
1718636435,78.75637
1718636436,78.17139
1718636437,80.2895
1718636438,83.33548
1718636439,80.31551
1718636440,79.43307
1718636441,79.23443
1718636442,82.25589
1718636443,79.63131
1718636444,79.12099
1718636445,78.59503
1718636446,80.69424
1718636447,78.71282
1718636448,78.35333
1718636449,76.91419
1718636450,81.67883
1718636451,79.64044
1718636452,79.20307
1718636453,78.89945
1718636454,80.69213
1718636455,79.33437
1718636456,78.60832
1718636457,78.47422
1718636458,82.64348
1718636459,80.42819
1718636460,79.74422
1718636461,79.46384
1718636462,83.35637
1718636463,81.18418
1718636464,80.69356
1718636465,80.13693
1718636466,82.53827
1718636467,80.05417
1718636468,79.36618
1718636469,77.85762
1718636470,76.06516
1718636471,75.64613
1718636472,75.2826
1718636473,80.62133
1718636474,79.70602
1718636475,79.36479
1718636476,83.21271
1718636477,80.2208
1718636478,79.65653
1718636479,79.31146
1718636480,81.56362
1718636481,79.21091
1718636482,78.75074
1718636483,77.59523
1718636484,84.08651
1718636485,81.44532
1718636486,80.68474
1718636487,80.27698
1718636488,82.19187
1718636489,80.01687
1718636490,78.84827
1718636491,78.39811
1718636492,77.13515
1718636493,75.92308
1718636494,75.7024
1718636495,81.5646
1718636496,80.37834
1718636497,80.02125
1718636498,79.44383
1718636499,80.2681
1718636500,79.35342
1718636501,79.19201
1718636502,82.44056
1718636503,79.74667
1718636504,78.89902
1718636505,78.76731
1718636506,76.88251
1718636507,83.94635
1718636508,81.39928
1718636509,80.94523
1718636510,80.10839
1718636511,80.51726
1718636512,79.73275
1718636513,79.0211
1718636514,83.03875
1718636515,79.82509
1718636516,78.92758
1718636517,75.93184
1718636518,75.75064
1718636519,75.24258
1718636520,81.34304
1718636521,80.28851
1718636522,79.80457
1718636523,83.48211
1718636524,80.61252
1718636525,79.70607
1718636526,79.19534
1718636527,81.7623
1718636528,79.43363
1718636529,78.81357
1718636530,77.15115
1718636531,75.56453
1718636532,75.08
1718636533,81.01437
1718636534,80.10314
1718636535,80.73353
1718636536,83.75417
1718636537,81.33137
1718636538,79.6205
1718636539,79.10711
1718636540,81.39233
1718636541,79.192
1718636542,78.7264
1718636543,78.72901
1718636544,76.5331
1718636545,75.92824
1718636546,82.02853
1718636547,80.37266
1718636548,79.82764
1718636549,79.83399
1718636550,81.90934
1718636551,79.83435
1718636552,79.44448
1718636553,78.98848
1718636554,79.6724
1718636555,79.10102
1718636556,77.05392
1718636557,76.04086
1718636558,75.58892
1718636559,80.9355
1718636560,79.86217
1718636561,79.34298
1718636562,83.91631
1718636563,80.46231
1718636564,79.72613
1718636565,79.18238
1718636566,82.08464
1718636567,79.32106
1718636568,78.91455
1718636569,77.42325
1718636570,76.2534
1718636571,83.53518
1718636572,81.33424
1718636573,80.71399
1718636574,80.24951
1718636575,82.53691
1718636576,80.0669
1718636577,80.07154
1718636578,79.44428
1718636579,80.83605
1718636580,77.65127
1718636581,75.75332
1718636582,75.15651
1718636583,83.93764
1718636584,80.45159
1718636585,79.77639
1718636586,79.30487
1718636587,83.09071
1718636588,80.15949
1718636589,79.50389
1718636590,79.02832
1718636591,81.42568
1718636592,79.52838
1718636593,78.88921
1718636594,78.51643
1718636595,77.84111
1718636596,77.36164
1718636597,77.0005
1718636598,82.47086
1718636599,82.00663
1718636600,82.66783
1718636601,84.25266
1718636602,82.37477
1718636603,80.77361
1718636604,80.18586
1718636605,82.22889
1718636606,80.1163
1718636607,76.3452
1718636608,75.22122
1718636609,82.89039
1718636610,79.9149
1718636611,79.33093
1718636612,79.21963
1718636613,81.91
1718636614,79.79779
1718636615,78.8546
1718636616,78.58885
1718636617,80.78479
1718636618,79.03791
1718636619,78.71486
1718636620,81.68825
1718636621,80.19683
1718636622,80.14653
1718636623,80.0217
1718636624,82.40731
1718636625,80.38345
1718636626,79.46924
1718636627,78.71162
1718636628,79.9235
1718636629,76.73943
1718636630,75.07708
