et,brisque
1719217192,41.52223
1719217193,41.40034
1719217194,41.9457
1719217195,42.21982
1719217196,43.51824
1719217197,43.11702
1719217198,43.13224
1719217199,42.47884
1719217200,42.88917
1719217201,41.86108
1719217202,40.26052
1719217203,41.49268
1719217204,40.87057
1719217205,40.97706
1719217206,72.42953
1719217207,73.20397
1719217208,71.79345
1719217209,72.71659
1719217210,52.73408
1719217211,50.68048
1719217212,51.65655
1719217213,48.84309
1719217214,49.28991
1719217215,49.20361
1719217216,48.30496
1719217217,50.7357
1719217218,49.69808
1719217219,49.12636
1719217220,52.66095
1719217221,51.17946
1719217222,47.02126
1719217223,43.23646
1719217224,42.50644
1719217225,42.19577
1719217226,41.44076
1719217227,41.51448
1719217228,42.08057
1719217229,41.12787
1719217230,41.75211
1719217231,41.63486
1719217232,41.21162
1719217233,40.79619
1719217234,40.87665
1719217235,40.29147
1719217236,40.7495
1719217237,45.47861
1719217238,44.85068
1719217239,44.06741
1719217240,43.86372
1719217241,44.07284
1719217242,44.82662
1719217243,43.25439
1719217244,42.7671
1719217245,43.86209
1719217246,43.09389
1719217247,42.30051
1719217248,42.58518
1719217249,41.72876
1719217250,41.85473
1719217251,42.23547
1719217252,42.40559
1719217253,42.36826
1719217254,42.04237
1719217255,42.52767
1719217256,41.1725
1719217257,40.66198
1719217258,39.78869
1719217259,39.93327
1719217260,72.98965
1719217261,70.56251
1719217262,71.74007
1719217263,73.22702
1719217264,53.20617
1719217265,51.86945
1719217266,51.92684
1719217267,50.39805
1719217268,50.90687
1719217269,50.35189
1719217270,49.88609
1719217271,49.82585
1719217272,48.99846
1719217273,47.78343
1719217274,47.56032
1719217275,47.19587
1719217276,48.60696
1719217277,49.3853
1719217278,48.98416
1719217279,48.66903
1719217280,49.51279
1719217281,49.78581
1719217282,49.49675
1719217283,49.71275
1719217284,48.22903
1719217285,49.55324
1719217286,50.26753
1719217287,48.91493
1719217288,48.34513
1719217289,48.10184
1719217290,47.76045
1719217291,47.92413
1719217292,47.58835
1719217293,47.91825
1719217294,47.66369
1719217295,48.05398
1719217296,48.45418
1719217297,48.32118
1719217298,43.46475
1719217299,44.59862
1719217300,45.98506
1719217301,48.89525
1719217302,49.08225
1719217303,48.71228
1719217304,47.79584
1719217305,48.2553
1719217306,48.17966
1719217307,48.61245
1719217308,47.44557
1719217309,48.57844
1719217310,47.91178
1719217311,46.85638
1719217312,46.02007
1719217313,46.53672
1719217314,46.57169
1719217315,46.5169
1719217316,46.57236
1719217317,46.92568
1719217318,46.56073
1719217319,46.6717
1719217320,46.5051
1719217321,46.44487
1719217322,46.91502
1719217323,46.81121
1719217324,46.82686
1719217325,46.58969
1719217326,46.82767
1719217327,46.68077
1719217328,46.56817
1719217329,46.76304
1719217330,47.89743
1719217331,46.97194
1719217332,48.05141
1719217333,48.04674
1719217334,47.45986
1719217335,47.27121
1719217336,46.96818
1719217337,47.09552
1719217338,48.64793
1719217339,47.53145
1719217340,47.02078
1719217341,48.41256
1719217342,47.54416
1719217343,47.45751
1719217344,46.4958
1719217345,47.17817
1719217346,46.60727
1719217347,46.61176
1719217348,46.46909
1719217349,49.91801
1719217350,48.64641
1719217351,49.5031
1719217352,49.25154
1719217353,47.87852
1719217354,47.73737
1719217355,47.64336
1719217356,47.50803
1719217357,48.46732
1719217358,48.81627
1719217359,48.63592
1719217360,48.9202
1719217361,48.26167
1719217362,49.1564
1719217363,48.7423
1719217364,48.76974
1719217365,48.69548
1719217366,49.25841
1719217367,49.32565
1719217368,48.95974
1719217369,49.03285
1719217370,48.5514
1719217371,48.60756
1719217372,48.71696
1719217373,48.39523
1719217374,48.23033
1719217375,47.17519
1719217376,46.39556
1719217377,46.16141
1719217378,48.41112
1719217379,49.20083
1719217380,48.52725
1719217381,48.53514
1719217382,48.49728
1719217383,48.54397
1719217384,48.23055
1719217385,49.38058
1719217386,48.83234
1719217387,48.54403
1719217388,48.68216
1719217389,48.77516
1719217390,49.20719
1719217391,48.46333
1719217392,48.71195
1719217393,48.10357
1719217394,47.7153
1719217395,48.05628
1719217396,47.92699
1719217397,48.60877
1719217398,50.84931
1719217399,49.31469
1719217400,48.79595
1719217401,49.00997
1719217402,49.05638
1719217403,48.66953
1719217404,48.58004
1719217405,50.15491
1719217406,47.97545
1719217407,47.17891
1719217408,47.74575
1719217409,47.14649
1719217410,47.10718
1719217411,47.02767
1719217412,47.17445
1719217413,47.14238
1719217414,46.61836
1719217415,46.6515
1719217416,46.80537
1719217417,46.41482
1719217418,46.4486
1719217419,46.15451
1719217420,46.45126
1719217421,47.00045
1719217422,46.54001
1719217423,46.52712
1719217424,45.84893
1719217425,45.9051
1719217426,46.57553
1719217427,46.27364
1719217428,45.93864
1719217429,46.09605
1719217430,47.58576
1719217431,46.52775
1719217432,46.66207
1719217433,46.16064
