fps,et,screenshots_num
11,1717509170,20
20,1717509171,36
20,1717509172,38
20,1717509173,37
19,1717509174,36
20,1717509175,37
19,1717509176,39
20,1717509177,39
19,1717509178,38
20,1717509179,41
20,1717509180,37
18,1717509181,32
20,1717509182,42
20,1717509183,40
16,1717509184,41
3,1717509185,55
2,1717509186,54
1,1717509187,55
0,1717509188,58
1,1717509189,56
7,1717509190,49
7,1717509191,52
7,1717509192,51
11,1717509193,45
16,1717509194,40
19,1717509195,41
16,1717509196,41
16,1717509197,39
16,1717509198,41
15,1717509199,44
16,1717509200,41
16,1717509201,40
17,1717509202,41
16,1717509203,40
17,1717509204,40
16,1717509205,43
14,1717509206,42
13,1717509207,45
15,1717509208,42
15,1717509209,42
14,1717509210,43
15,1717509211,41
16,1717509212,41
17,1717509213,43
21,1717509214,40
22,1717509215,38
20,1717509216,41
20,1717509217,39
18,1717509218,41
18,1717509219,41
20,1717509220,40
20,1717509221,41
20,1717509222,39
20,1717509223,37
19,1717509224,37
19,1717509225,40
19,1717509226,38
20,1717509227,40
19,1717509228,40
8,1717509229,49
3,1717509230,54
4,1717509231,53
1,1717509232,55
0,1717509233,57
15,1717509234,41
13,1717509235,45
16,1717509236,42
17,1717509237,41
16,1717509238,41
17,1717509239,40
16,1717509240,42
15,1717509241,32
17,1717509242,40
16,1717509243,40
17,1717509244,42
17,1717509245,40
12,1717509246,45
15,1717509247,44
14,1717509248,41
16,1717509249,42
14,1717509250,44
15,1717509251,43
14,1717509252,43
16,1717509253,43
12,1717509254,44
15,1717509255,42
15,1717509256,42
14,1717509257,42
15,1717509258,44
16,1717509259,43
14,1717509260,43
16,1717509261,40
20,1717509262,37
21,1717509263,34
19,1717509264,38
18,1717509265,40
16,1717509266,43
20,1717509267,37
19,1717509268,39
21,1717509269,37
18,1717509270,40
21,1717509271,38
21,1717509272,36
19,1717509273,39
20,1717509274,37
21,1717509275,39
9,1717509276,48
3,1717509277,54
4,1717509278,54
1,1717509279,56
0,1717509280,57
14,1717509281,43
18,1717509282,43
15,1717509283,40
17,1717509284,41
16,1717509285,40
16,1717509286,42
17,1717509287,40
17,1717509288,41
16,1717509289,43
17,1717509290,42
16,1717509291,44
17,1717509292,43
16,1717509293,42
15,1717509294,42
16,1717509295,43
15,1717509296,41
15,1717509297,43
15,1717509298,41
15,1717509299,45
15,1717509300,44
13,1717509301,36
16,1717509302,42
14,1717509303,41
14,1717509304,42
15,1717509305,44
17,1717509306,39
21,1717509307,36
20,1717509308,40
20,1717509309,41
20,1717509310,41
17,1717509311,41
19,1717509312,40
19,1717509313,38
20,1717509314,40
20,1717509315,39
20,1717509316,39
19,1717509317,39
20,1717509318,37
20,1717509319,39
18,1717509320,38
20,1717509321,40
20,1717509322,37
20,1717509323,37
20,1717509324,37
19,1717509325,40
21,1717509326,37
19,1717509327,37
19,1717509328,40
20,1717509329,37
20,1717509330,39
19,1717509331,37
21,1717509332,43
19,1717509333,38
20,1717509334,39
20,1717509335,37
20,1717509336,37
20,1717509337,40
20,1717509338,39
20,1717509339,40
20,1717509340,40
20,1717509341,41
20,1717509342,39
20,1717509343,38
19,1717509344,38
19,1717509345,38
19,1717509346,36
20,1717509347,39
19,1717509348,40
20,1717509349,39
21,1717509350,38
20,1717509351,40
18,1717509352,38
20,1717509353,38
18,1717509354,37
19,1717509355,38
20,1717509356,35
20,1717509357,37
20,1717509358,38
20,1717509359,41
20,1717509360,38
20,1717509361,33
19,1717509362,40
20,1717509363,40
21,1717509364,39
19,1717509365,39
20,1717509366,41
19,1717509367,38
20,1717509368,39
20,1717509369,40
20,1717509370,39
20,1717509371,38
19,1717509372,39
19,1717509373,38
20,1717509374,37
20,1717509375,37
21,1717509376,37
19,1717509377,39
19,1717509378,38
20,1717509379,37
20,1717509380,37
18,1717509381,37
19,1717509382,39
19,1717509383,37
19,1717509384,39
20,1717509385,38
20,1717509386,39
19,1717509387,37
19,1717509388,38
19,1717509389,33
20,1717509390,36
19,1717509391,39
20,1717509392,37
20,1717509393,37
19,1717509394,40
20,1717509395,36
20,1717509396,37
19,1717509397,37
20,1717509398,37
21,1717509399,38
20,1717509400,38
20,1717509401,36
20,1717509402,39
20,1717509403,39
21,1717509404,37
19,1717509405,41
19,1717509406,38
19,1717509407,37
19,1717509408,41
20,1717509409,36
20,1717509410,39
20,1717509411,39
