et,brisque
1718614927,82.65195
1718614928,79.36447
1718614929,78.84324
1718614930,78.87972
1718614931,81.32677
1718614932,79.66954
1718614933,79.4314
1718614934,80.0619
1718614935,78.7994
1718614936,76.93754
1718614937,77.1475
1718614938,76.95135
1718614939,81.85311
1718614940,80.09158
1718614941,80.19968
1718614942,80.50464
1718614943,82.85849
1718614944,81.41395
1718614945,80.16008
1718614946,78.8815
1718614947,80.17697
1718614948,77.03938
1718614949,75.94069
1718614950,74.97434
1718614951,80.66324
1718614952,79.83567
1718614953,79.22181
1718614954,78.95459
1718614955,80.25244
1718614956,80.2715
1718614957,79.70343
1718614958,82.04644
1718614959,77.70882
1718614960,76.51488
1718614961,75.70864
1718614962,75.652
1718614963,82.58511
1718614964,80.71594
1718614965,79.91562
1718614966,79.72485
1718614967,81.54946
1718614968,80.59459
1718614969,79.5246
1718614970,79.12735
1718614971,77.60385
1718614972,75.91935
1718614973,75.59684
1718614974,75.59939
1718614975,80.9994
1718614976,79.93932
1718614977,79.57142
1718614978,79.47076
1718614979,81.00172
1718614980,80.13024
1718614981,79.25991
1718614982,81.49208
1718614983,80.47268
1718614984,79.30134
1718614985,78.02531
1718614986,76.64733
1718614987,81.64057
1718614988,80.01454
1718614989,79.51871
1718614990,79.64388
1718614991,81.68411
1718614992,80.45829
1718614993,79.86243
1718614994,82.34908
1718614995,77.15822
1718614996,76.00549
1718614997,75.49345
1718614998,75.07468
1718614999,75.67455
1718615000,75.26951
1718615001,75.54195
1718615002,76.0264
1718615003,76.31809
1718615004,76.27695
1718615005,76.31481
1718615006,76.3414
1718615007,82.65571
1718615008,82.03332
1718615009,80.4088
1718615010,79.78112
1718615011,79.2783
1718615012,81.14006
1718615013,81.12779
1718615014,81.19262
1718615015,81.73009
1718615016,82.24223
1718615017,81.93015
1718615018,83.29955
1718615019,81.23321
1718615020,79.80755
1718615021,79.01662
1718615022,79.26425
1718615023,82.06888
1718615024,82.04216
1718615025,82.20505
1718615026,82.08763
1718615027,82.10105
1718615028,82.77392
1718615029,82.60633
1718615030,80.53625
1718615031,79.70471
1718615032,78.88392
1718615033,78.94002
1718615034,78.99067
1718615035,79.04978
1718615036,79.01483
1718615037,81.61419
1718615038,81.69916
1718615039,81.61784
1718615040,81.42391
1718615041,81.51585
1718615042,81.3758
1718615043,81.52638
1718615044,81.44032
1718615045,81.42958
1718615046,81.622
1718615047,81.44133
1718615048,81.4175
1718615049,81.56785
1718615050,82.08383
1718615051,81.06069
1718615052,78.65203
1718615053,80.40585
1718615054,82.42624
1718615055,82.53315
1718615056,82.54255
1718615057,82.61058
1718615058,82.31614
1718615059,83.1555
1718615060,83.0698
1718615061,82.38636
1718615062,81.17661
1718615063,80.17217
1718615064,79.29661
1718615065,80.0509
1718615066,78.50787
1718615067,79.00016
1718615068,79.04601
1718615069,78.98504
1718615070,79.08756
1718615071,78.93591
1718615072,82.15633
1718615073,80.81909
1718615074,82.72075
1718615075,82.70854
1718615076,82.72244
1718615077,82.61809
1718615078,82.60906
1718615079,81.94377
1718615080,81.85689
1718615081,81.71189
1718615082,81.58474
1718615083,82.52431
1718615084,81.79342
1718615085,78.99631
1718615086,80.30791
1718615087,78.40562
1718615088,77.60629
1718615089,77.59816
1718615090,77.50119
1718615091,77.52451
1718615092,77.65556
1718615093,80.24564
1718615094,81.27795
1718615095,80.4497
1718615096,80.53513
1718615097,80.50585
1718615098,81.34085
1718615099,81.37713
1718615100,81.15738
1718615101,81.2925
1718615102,81.27345
1718615103,81.20416
1718615104,81.25585
1718615105,81.18261
1718615106,81.27735
1718615107,81.27653
1718615108,81.24942
1718615109,81.22859
1718615110,79.96393
1718615111,79.62918
1718615112,80.66633
1718615113,77.97195
1718615114,77.34606
1718615115,76.88892
1718615116,76.85726
1718615117,76.55013
1718615118,76.51674
1718615119,76.56097
1718615120,76.52122
1718615121,79.61016
1718615122,80.34971
1718615123,80.90078
1718615124,78.84806
1718615125,77.52672
1718615126,77.1292
1718615127,79.22715
1718615128,76.97566
1718615129,76.85423
1718615130,76.80627
1718615131,77.1828
1718615132,77.29448
1718615133,77.20042
1718615134,79.58141
1718615135,79.87609
1718615136,79.25641
1718615137,77.9291
1718615138,77.81165
1718615139,77.87475
1718615140,77.85228
1718615141,80.25086
1718615142,80.67554
1718615143,81.59257
1718615144,81.59347
1718615145,80.79058
1718615146,79.04245
1718615147,78.91898
1718615148,78.57491
1718615149,80.26499
1718615150,79.05034
1718615151,77.9371
1718615152,77.61532
1718615153,77.43962
1718615154,77.36902
1718615155,77.49308
1718615156,77.51868
1718615157,77.51854
1718615158,77.46439
1718615159,81.89825
1718615160,80.44202
1718615161,80.0618
1718615162,80.17914
1718615163,78.89946
1718615164,77.64739
1718615165,77.53883
1718615166,81.16056
1718615167,81.038
1718615168,80.63912
