fps,et,screenshots_num
6,1718630449,19
16,1718630450,40
15,1718630451,43
11,1718630452,48
10,1718630453,48
14,1718630454,43
16,1718630455,42
17,1718630456,42
16,1718630457,41
15,1718630458,44
15,1718630459,43
13,1718630460,45
11,1718630461,34
15,1718630462,43
17,1718630463,42
16,1718630464,41
17,1718630465,42
14,1718630466,42
16,1718630467,44
15,1718630468,42
15,1718630469,43
15,1718630470,43
8,1718630471,50
12,1718630472,46
15,1718630473,43
17,1718630474,41
16,1718630475,42
16,1718630476,41
16,1718630477,43
15,1718630478,44
15,1718630479,43
7,1718630480,51
13,1718630481,45
16,1718630482,42
16,1718630483,42
16,1718630484,42
17,1718630485,41
16,1718630486,42
14,1718630487,44
16,1718630488,44
15,1718630489,42
12,1718630490,46
10,1718630491,48
10,1718630492,47
13,1718630493,46
15,1718630494,41
17,1718630495,43
17,1718630496,42
16,1718630497,41
17,1718630498,42
16,1718630499,41
16,1718630500,42
14,1718630501,46
11,1718630502,46
5,1718630503,53
13,1718630504,45
16,1718630505,43
16,1718630506,41
17,1718630507,41
16,1718630508,43
17,1718630509,41
16,1718630510,42
16,1718630511,42
15,1718630512,41
13,1718630513,46
12,1718630514,46
15,1718630515,41
17,1718630516,43
17,1718630517,41
15,1718630518,42
16,1718630519,42
15,1718630520,42
14,1718630521,35
16,1718630522,43
13,1718630523,44
10,1718630524,48
10,1718630525,48
13,1718630526,44
16,1718630527,41
17,1718630528,42
16,1718630529,42
17,1718630530,41
16,1718630531,42
16,1718630532,41
16,1718630533,43
14,1718630534,43
11,1718630535,46
8,1718630536,50
13,1718630537,45
16,1718630538,42
16,1718630539,40
17,1718630540,42
16,1718630541,41
17,1718630542,41
16,1718630543,42
17,1718630544,41
14,1718630545,44
12,1718630546,45
7,1718630547,50
10,1718630548,48
14,1718630549,44
17,1718630550,41
16,1718630551,41
16,1718630552,42
17,1718630553,41
15,1718630554,42
17,1718630555,42
16,1718630556,41
16,1718630557,39
14,1718630558,35
13,1718630559,44
11,1718630560,46
9,1718630561,48
10,1718630562,48
17,1718630563,42
16,1718630564,41
16,1718630565,42
17,1718630566,42
16,1718630567,42
16,1718630568,41
17,1718630569,42
16,1718630570,42
17,1718630571,42
16,1718630572,41
15,1718630573,41
14,1718630574,45
8,1718630575,50
10,1718630576,48
14,1718630577,42
17,1718630578,42
15,1718630579,42
17,1718630580,40
16,1718630581,36
16,1718630582,39
17,1718630583,42
16,1718630584,42
14,1718630585,43
9,1718630586,50
12,1718630587,45
15,1718630588,43
16,1718630589,40
17,1718630590,42
13,1718630591,45
16,1718630592,42
11,1718630593,46
10,1718630594,48
13,1718630595,46
15,1718630596,41
17,1718630597,41
16,1718630598,41
17,1718630599,41
16,1718630600,42
17,1718630601,42
16,1718630602,41
17,1718630603,42
15,1718630604,41
14,1718630605,44
13,1718630606,45
8,1718630607,50
11,1718630608,48
16,1718630609,42
16,1718630610,42
17,1718630611,40
16,1718630612,41
16,1718630613,42
17,1718630614,42
15,1718630615,42
16,1718630616,43
15,1718630617,43
15,1718630618,43
11,1718630619,46
11,1718630620,48
10,1718630621,49
14,1718630622,44
16,1718630623,41
17,1718630624,42
16,1718630625,42
17,1718630626,41
16,1718630627,42
16,1718630628,41
15,1718630629,42
14,1718630630,43
16,1718630631,42
12,1718630632,46
12,1718630633,45
8,1718630634,50
15,1718630635,43
16,1718630636,42
15,1718630637,41
17,1718630638,41
16,1718630639,42
16,1718630640,40
16,1718630641,34
15,1718630642,43
15,1718630643,43
12,1718630644,46
15,1718630645,42
12,1718630646,46
9,1718630647,49
11,1718630648,47
15,1718630649,42
17,1718630650,40
16,1718630651,42
17,1718630652,42
16,1718630653,42
17,1718630654,45
16,1718630655,43
16,1718630656,40
14,1718630657,46
14,1718630658,43
14,1718630659,44
11,1718630660,47
9,1718630661,49
15,1718630662,42
16,1718630663,42
16,1718630664,41
17,1718630665,42
16,1718630666,41
16,1718630667,42
17,1718630668,42
16,1718630669,42
15,1718630670,42
15,1718630671,42
9,1718630672,50
12,1718630673,46
15,1718630674,43
16,1718630675,41
16,1718630676,42
17,1718630677,42
16,1718630678,42
15,1718630679,44
12,1718630680,44
9,1718630681,50
16,1718630682,41
17,1718630683,42
16,1718630684,42
16,1718630685,41
17,1718630686,42
17,1718630687,40
15,1718630688,43
14,1718630689,42
16,1718630690,42
