et,brisque,piqe
1718627238,48.88587,27.95432
1718627239,48.67503,26.11481
1718627240,48.47388,26.9773
1718627241,48.63598,26.21892
1718627242,48.82222,26.79897
1718627243,48.69176,24.76099
1718627244,48.8174,27.02017
1718627245,50.09693,28.38623
1718627246,49.06853,28.14534
1718627247,49.05565,27.14534
1718627248,47.93548,27.98434
1718627249,48.08198,26.73277
1718627250,48.99863,27.8807
1718627251,48.49598,28.31949
1718627252,48.26905,27.54898
1718627253,48.33538,28.66947
1718627254,48.81505,27.89664
1718627255,47.52584,27.35457
1718627256,47.15056,27.41899
1718627257,47.12115,26.79901
1718627258,47.15549,27.08
1718627259,46.93535,26.05404
1718627260,46.75956,26.62164
1718627261,47.35035,27.59599
1718627262,47.59804,29.00612
1718627263,48.11808,28.51399
1718627264,48.45252,28.56053
1718627265,47.42807,26.90181
1718627266,47.38632,26.00129
1718627267,48.31513,29.18259
1718627268,47.50797,26.62811
1718627269,48.15439,28.59963
1718627270,47.44038,27.11274
1718627271,47.82209,27.92542
1718627272,46.61149,27.55891
1718627273,47.25281,27.92686
1718627274,46.90733,27.86924
1718627275,46.91215,26.89414
1718627276,47.47176,26.71857
1718627277,47.28389,27.9015
1718627278,47.08594,27.20903
1718627279,47.28951,27.31142
1718627280,47.7524,28.37287
1718627281,47.69287,27.61873
1718627282,47.85846,28.13527
1718627283,47.47847,28.2542
1718627284,47.31062,27.77238
1718627285,46.97066,28.37568
1718627286,47.30335,25.95847
1718627287,46.37292,28.04588
1718627288,46.34506,27.19791
1718627289,47.16958,27.06369
1718627290,47.27679,27.61962
1718627291,47.4247,27.01461
1718627292,47.24506,26.84026
1718627293,47.19848,28.25403
1718627294,47.18185,27.22188
1718627295,46.85127,28.24101
1718627296,47.30333,26.7267
1718627297,46.96779,27.83059
1718627298,46.57482,27.52205
1718627299,46.91298,25.8737
1718627300,47.11462,27.47604
1718627301,47.33856,27.96985
1718627302,47.53106,27.10078
1718627303,47.00295,27.92744
1718627304,47.53426,29.43836
1718627305,47.24155,28.04448
1718627306,47.17954,27.21696
1718627307,47.62536,26.9234
1718627308,47.64493,28.5724
1718627309,47.56969,27.49038
1718627310,47.30079,27.81796
1718627311,47.34603,28.93877
1718627312,47.12921,26.58716
1718627313,47.25859,27.91877
1718627314,49.12596,28.51815
1718627315,48.41597,26.90318
1718627316,47.64067,28.09994
1718627317,48.09949,28.12712
1718627318,47.45574,29.12056
